ss,en,src_text,trg_text,Cosine_Score
"[ 0.99535197 -0.04794865 -0.23696604 ...  1.0521967   2.2474306
  1.6180037 ]","[ 0.01651806 -0.00070399  0.00055894 ...  0.03635911  0.03931217
  0.0499895 ]","Kufezekiswa Kwetinhlelo Tahulumende Letibalulekile IKhabhinethi yemukela kuvulwa ngalokusemtsetfweni nguMengameli Zuma kwesibhedlela i-Dr Harry Surtie lesise Upington, eNyakatfo Kapa, mhla ti-2 Inyoni 2014.","Implementation of Key Government Programmes Cabinet welcomes the official opening by President Zuma of the Dr Harry Surtie Hospital in Upington, Northern Cape, on 2 September 2014.",0.90370107
"[ 1.0186534   0.01896779 -0.11918116 ...  0.5421228   0.45263493
  1.2328635 ]",[0.0371186  0.018161   0.00547367 ... 0.02274756 0.03505792 0.00837351],"Lokuvulwa kwalesibhedlela kwenteka ngemuva kwemalanga lamane iNdvuna yeLitiko Letemphilo Dkt Aaron Motsoaledi avule lesinye sibhedlela lesisha eNatalspruit, eGauten Lawa ngulamanye emabanga lamanyenti labalulekile eluhlelweni lwavelonkhe lwahulumende lwekwakha sakhiwonchanti loluhlose kwakha tibhedlela letinge-43 nemitfolamphilo lenge-213 kuleminyaka lesihlanu letako ngenhloso yekuhlangabetana netidzingo teluhlelo Lwemshwalense Wavelonkhe Wetemphil IKhabhinethi incoma kuboshwa nekubanjwa kwakamuva-nje ngaphansi kweMklamo lobitwa ngekutsi yi-Darling kanye nekuboshwa kwelicembu lelisolwa ngekuhlwitfwa kwemaloli lamakhul Lomklamo i-Darling sewuholele ekutfolakaleni kwemadayimane labekazuzwe ngalokungekho emtsetfweni kanye nasekubanjweni kwemphahla lebita tigidzi leti-R50, emakhaya la-15 kanye nemali yemave angaphandle letigidzi leti-43.","This comes four days after another new hospital was opened by Minister of Health Dr Aaron Motsoaledi in Natalspruit, Gauten These are amongst many important milestones in government s national infrastructure programme which will see 43 hospitals and 213 clinics built over the next five years to meet the needs of the National Health Insurance syste Cabinet commends the recent arrests and seizures under Project Darling and the arrest of a gang suspected of truck hijacking Project Darling resulted in the recovery of illegal diamonds and the seizure of R50 million in assets, 15 homes and R43 million in foreign currenc",0.90225935
[0.51268    2.1856136  0.14632615 ... 0.79682416 0.7851254  0.8648456 ],"[ 1.2776385e-02  4.6468537e-02 -3.7634932e-06 ...  2.8244967e-02
  3.4056894e-02  4.0955603e-02]","Ngasekupheleni kwalenyanga emaphoyisa atawukhipha tibalobalo temnyaka tebugebeng Letibalo tisuselwe etukwelinani lelingilo lemacala labikwe emaphoyiseni, kantsi lombiko utawuphindze uvete imphumelelo netinsayeya lekuhlangabetenwe natKukhishwa kwaletibalo kwenta kutsi sibe netinkhulumiswano letifanele tekutsi bungaciniswa kanjani budlelwano nemmango kundlelalisu lahulumende lekungenelela ngalokuphelele ekulweni nebugebeng Kute live libe nemphumelelo ekulweni nebugebengu, iKhabhinethi icela imimango kutsi idlale indzima yayo ekubikeni bugebengu kanye nasekwesekeleni tinkhundla tekuphepha temmango njengobe kulwa nebugebengu kubita kutsi ummango wonkhana wente tabHulumende uhlaba kuhlaselwa ngesihluku lesikubone","Later this month the police will release the annual crime statistic These figures are based on the actual number of cases reported to the Police, and will reflect successes and challengeThe publication of these figures allows us to engage in informed discussion on how to strengthen the partnerships with society around government s comprehensive anti-crime strategic intervention For the country to be successful in fighting crime, Cabinet urges communities to play their part in reporting crime and supporting community safety forums as the fight against crime calls for community-wide efforGovernment condemns the brutal attacks we have seen against members of the South African Police Services while on dut On Sunday, 7 September 2014 government will honour and pay tribute to these police officers who lost their lives in the line of dut Cabinet invites the nation to pay tribute these officers who died while trying to enforce the la Cabinet welcomes the announcement of a R2 billion aqua-farming facility at the Coega Industrial Development Zone in the Eastern Cape which will allocate 80 hectares to abalone farming by 2020 and create about 2 080 permanent job This project is part of Operation Phakisa that seeks to unlock the economic potential of South Africa s ocean The project has a potential to contribute in the economy by about R177 billion and create up to one million jobs by 2033.",0.8260163
[0.46514878 0.34328598 0.14275481 ... 1.0122188  1.2085488  1.4255948 ],"[ 0.00509671  0.00231753 -0.00014115 ...  0.03658132  0.04302042
  0.06122202]",kwentiwa kumalunga eMbutfo Wemaphoyisa aseNingizimu Afrika ngesikhatsi asemsebentin NgeLisontfo mhla ti-7 Inyoni 2014 hulumende utawuhlonipha lamaphoyisa lalahlekelwe timphilo tawo asemsebentin IKhabhinethi imema sive kutsi naso sihloniphe lamaphoyisa lashone ngesikhatsi etama kucinisa temtsetf IKhabhinethi yemukela simemetelo sesikhungo sekufuywa kwemfuyo,"Putting People First , will focus on intensifying especially frontline service deliver Cabinet calls on South Africans to honour exceptional public servants or Government institutions by nominating them for the National Batho Pele Excellence Awards before the closing date of 30 September 2014.",0.77909696
[0.8567156  1.0621642  0.30312246 ... 0.8321815  1.1071628  1.9030737 ],"[ 0.02077657  0.00152825 -0.00011649 ...  0.02139031  0.01959893
  0.02763078]",yasemantini setigidzigidzi leti-R2 iZoni Yekutfutfukisa Timboni tase-Coega leseMphumalanga Kapa letawuniketa umhlaba longemahektha lange-80 ekufuywa kwe-kwetimbaza nga-2020 kuphindze kwakhe imisebenti yalomphelo leyitsi ayibe ti-2 080.,"Cabinet welcomes the launch of Phase 1A, project named the Pongolapoort Bulk Water Suppl The venture estimated to cost R1,5 billion will result in the supply of potable water and the installation of bulk water and reticulation networks to 134 864 people within 16 200 household The project will bring water to the community of Jozini Local Municipality, in KwaZulu-Natal Key Cabinet decisions Cabinet approved the release of the draft Integrated Urban Development Framework for consultation with key stakeholders and for intergovernmental interactio This will seek consensus on the agenda for urban transformation in South Afric The Framework responds to President Jacob Zuma s calls for a national integrated urban development framework to deal with the legacy of apartheid spatial patterns and to assist municipalities to effectively manage rapid urbanisatio The vision of the Framework is to promote livable, inclusive and resilient cities and town It will address the legacy of spatial separation on racial and economic bases and create a more integrated, cohesive cities and town Cabinet approved South Africa s National Report on Housing and Urban Development which will be presented to the United Nation s Conference (HABITAT III) in 2016.",0.75062454
"[ 0.3660492  -0.15000512  0.37782857 ...  0.98706007  0.88026047
  2.3473675 ]","[ 0.04336433 -0.00087611 -0.00026276 ...  0.02215069  0.02874145
  0.04799599]",Lomklamo uyincenye yemkhankhaso i-Operation Phakisa lohlose kuvula emandla etemnotfo wasetilwandle taseNingizimu Afrik Lomklamo unelikhono lekufaka sandla emnotfweni walelive ngetigidzigidzi leti-R117 uphindze wakhe imisebenti lesigidzi sinye nga-2033.,"Cabinet encourages more investors to partner with Government in new economic growth opportunitie Cabinet appreciates the presence of a team of South African medical experts in the West African States of Guinea, Sierra Leone, and Liberia who are helping to fight the spread of the Ebola Viru This team of highly trained specialists is equipped with a mobile laboratory and has been there for the past two (2) weeks assisting to diagnose the disease throughout that Regio",0.7298145
[1.5558839  0.02737611 0.06478354 ... 0.98039997 1.12034    1.2253479 ],"[ 3.8879875e-02 -1.0219645e-03 -8.0784637e-05 ...  2.5705265e-02
  3.7846018e-02  1.6899794e-02]","IKhabhinethi igcugcutela labanye batjalitimali kutsi babambisane naHulumende kulamatfuba lamasha ekukhulisa umnotf IKhabhinethi ibonga kuba khona kwelitsimba letati kutekwelashwa leliseMaveni laseNshonalanga ne-Afrika eGuinea, Sierra Leone, naseLiberia lasita ekulweni nekusabalala kweLigciwane le-Ebol Lelitsimba letati leticeceshwe ngalokusetulu lihlonyiswe ngelabhorekhthri lengumahambanendlwana kantsi belisolomane likuleyandzawo kulamaviki lamabili lengcile lisita kuhlola lesifo kuso sonkhe lesa sifundz","The conference will be officially opened by Minister Ebrahim Patel welcoming delegates, including those from competition agencies around Africa and one regional competition agency, the Common Market for Eastern and Southern Africa Competition Commission Appointments Cabinet concurred with the appointment of Mr Attwell Sibusiso Makhanya as the Chief Executive Officer of Mhlathuze WateEnquiries:Phumla Williams, Acting Cabinet SpokespersonCell: 083 501 0139",0.78602934
"[ 0.9594207  -0.04854687  0.22135177 ...  0.9790108   0.80814207
  1.4312094 ]",[0.01052559 0.00030506 0.06894277 ... 0.01710777 0.01071723 0.04670055],"IKhabhinethi yemukela kwetfulwa kweSigaba 1A, semklamo wekwetfulwa kwemanti ngebunyenti lobitwa ngekutsi yi-Pongolapoort Bulk Water Suppl Lomklamo lotawubita imali lelinganiselwa esigidzigidzini si-R1,5 utawuholela ekuniketeni emanti latfutswako kanye nasekwakhiweni kwetinhleloluchumano tekwetfulwa nekusatjalaliswa kwemanti lamanyenti kubantfu laba-134 864 emakhaya la-16 200.","electricity, transport, water, roads, schools and hospitals - builds a platform for faster, more inclusive economic growtThe annual volume of capital investment by public enterprises has increased by more than 260 per cent in real terms over the past 10 year Local government s annual infrastructure spending has doubled in real terms since the late 1990 The public sector has invested over R1 trillion in infrastructure since 2009/10.",0.7449103
"[ 1.0467091  -0.02142246  0.05594778 ...  0.8689519   1.0370663
  1.3903836 ]",[0.01183977 0.00100043 0.01564025 ... 0.02958532 0.01822599 0.02645008],"Lomklamo utawuletsa emanti emmangweni waMasipala waseJozini, KwaZulu-Natal Tincumo teKhabhinethi letibalulekile IKhabhinethi ivume kukhishwa kweLuhlakamsebenti lolusakhiwa Lwekutfutfukiswa Kwetindzawo Tasemadolobheni lwekutsintsana nebadlalindzima labasembili nekutsi kucocwe ngalo etinhlakeni tahulumend Loluhlelo luhlose kutfola kuvumelana eludzabeni lwekutfutfukiswa kwetindzawo tasemadolobheni eNingizimu Afrik Loluhlaka luphendvula simemo saMengameli Zuma sekuhlanganiswa kweluhlaka lwavelonkhe loluhlanganisile lwekutfutfukisa tindzawo tasemadolobheni kute kubukanwe nemshiyandvuku welubandlululo wendlela yekuhlaliswa kwebantfu kanye nekusita bomasipala kutsi basingatse kahle kutfutseleka kwebantfu emadolobheni lokwenteka ngesivinini lesikhul Umbononchanti waloLuhlakamsebenti ukhutsata emadolobha nemadolobha lamakhulu lokuhlalekako kuwo, lahlanganisa bonkhe bantfu nalasimem Loluhlaka lutawubukana nemshiyandvuku wekuhlaliswa ngekwehlukana ngekwebuhlanga nangekwemnotfo luphindze lwakhe emadolobha nemadolobha lamakhulu lahlanganisile nalabumben IKhabhinethi ivume Umbiko Wavelonkhe waseNingizimu Afrika Wekuhlaliswa Kwebantfu kanye Nekutfutfukiswa Kwetindzawo Tasemadolobheni lokungumbiko lotakwetfulwa kuNkhomfa Yamhlabuhlangene (i-Habitat III) letakuba nga-2016.","for the 21st century to deal with challenges confronting developing and developed countries, acknowledging the increasingly important role of cities in global issues such as climate change, disasters, economic development and human right Preparations for Habitat III come at a time when South Africa is developing its Integrated Urban Policy Framework and commencing preparations for our Green paper on Human Settlement Cabinet approved the establishment of the State Property Management Agency which will oversee the management of the government propert This will be a Government Component entity under the custodianship of the Minister of Public Work Minister Nxesi will expand more on this issu Cabinet approved the amended Policy on the appointment of Insolvency Practitioners which will be published by notice in the Government Gazett The focus of the Policy is to promote consistency, fairness, transparency and the achievement of equality for persons previously disadvantaged by unfair discriminatio The biggest change that is being introduced by the amendment is the removal of the system called Requisition with a view to advance transformatio The policy will only apply to appointments made in terms of the Insolvency Act, the Companies Act and the Close Corporations Act Bills Cabinet approved that the Expropriation Bill, 2014 be tabled in Parliamen The Expropriation Act, 1975 predates the Constitution, 1996 making it imperative to align the overarching legislation governing the expropriation of property to the values and provisions of the Constitutio Minister Nxesi will expand more on this issue Cabinet s position on current issues Cabinet is encouraged by the positive economic growth recorded in the second quarter of the year in spite of difficult economic conditions in the country and abroa The pace of economic expansion remains too weak to address our challenges of poverty, inequality and unemploymen Government is fast-tracking the implementation of the National Development Plan to address our structural challenges, increase permanently our growth potential and create jobs for our peopl In this regard, our investment in infrastructure",0.8273885
"[ 0.59176093 -0.28300738  0.43748638 ...  0.3113286   1.532584
  2.4875894 ]","[ 0.01085149 -0.0012674   0.00228244 ... -0.0041555   0.01240536
  0.07695291]",Ingcungcutsela yekucala Yamhlabuhlangene yekulungiselela itawubanjwa mhla ti-18 namhla ti-19 Inyoni 2014.,The first UN preparatory conference will be held on the 17th and 18th September 2014.,0.8212364
