ss,en,src_text,trg_text,Cosine_Score
"[ 0.65002686 -0.2182538   0.08580515 ...  0.82793397  0.8285597
  1.5565352 ]","[ 0.00899773 -0.00157573  0.00270297 ...  0.02347597  0.00920073
  0.03890641]","Ikhabhinethi yahlangana ngaLesitsatfu, mhla tinge-21 Ingci e-Tuynhuys eKapTindzaba Letibalulekile Telive1.","Cabinet met on Wednesday, 21 August 2019 at Tuynhuys in Cape TownIssues in the environment1.",0.83839107
"[ 0.33716264  0.20586549 -0.15761392 ...  1.058049    1.0355916
  2.1494234 ]","[ 0.01919681 -0.00098616  0.00043149 ...  0.03200012  0.02665237
  0.05022473]","Umshwalensi waVelonkhe weTemphilo (i-NHI)Ikhabhinethi icela onkhe emalunga emmango kutsi awuhlole loMtsetfosivivinyo we-NHI, njenganyalo losetandleni tePhalamend Inchubo yePhalamende itawuphindza futsi ivete lelinye litfuba lekutsi ummango uvakalise luvo lwawo ngaloMtsetfosivivinyNasewuphasisiwe wabangumtsetfo, loMtsetfosivivinyo utawunika emandla kutsi nanome ngubani sakhamuti salelive letfu sikhone kufinyelela kutfola kunakekelwa ngekwetemphilo, ngisho nome ngabe sinemali nome site imal Lelilungelo liyatfolakala kuMtsetfosisekelo waseRiphabhliki yaseNingizimu Afrika wanga-1993 Ikhabhinethi inesiciniseko sekutsi le-NHI itawucala kusetjentiswa ngekwetigaba futsi ngendlela lenekutilandz Luhlelo lwekucala kutsi isebente lutawusungulwa futsi lushicilelwe nangabe loMtsetfosivivinyo sewuphasiswe wabangumtsetfo Kuvakashela kwaMengameli eTanzania naseNgcungcutseleni ye-SADC","National Health Insurance (NHI)Cabinet calls on members of the public to engage with the NHI Bill, which is now before Parliamen The parliamentary process will afford the public another opportunity to engage with this BilOnce it is passed into law, the Bill will give effect to universal access to healthcare to all citizens in our country, irrespective of their socio-economic backgroun This right is enshrined in the Constitution of the Republic of South Africa of 1993 Cabinet remains confident that the NHI will be implemented in a phased and responsible manne An implementation plan will be developed and published once the Bill is passed into la 2.",0.86651194
"[ 1.3789972   0.2282071  -0.20725207 ...  1.048815    0.98086727
  1.1566449 ]",[0.02959878 0.02658768 0.0010442  ... 0.03210064 0.04031121 0.06292678],"Ikhabhinethi iwutfolile umbiko lomayelana nekuvakasha kwaMengameli Cyril Ramaphosa e-United Republic of Tanzania, lokufaka ekhatsi litsimba letemabhizinisi lelikhutsata kuhwebelana nelutjalotimali emkhatsini wemave ase-Afrik Njengeluhlelo lwekutfutfukisa ummango, Mengameli uphindze futsi wavakashela","Cabinet approved the hosting of the preparatory meeting of experts for the 4th Ministerial Meeting of the ACIRC Volunteer Nations from 30 August to 3 September 2012 This supports and contributes to government s priorities in promoting continental and regional peace and stability, and ensuring that African Union (AU) decisions related to harmonisation of the ACIRC Force and African Standby Force (ASF) activities are achieve This will further ensure that the African Peace and Security Architecture is harmonised and operationaliseSouth Africa and 12 other Volunteer Nations are part of ACIRC that was established in 2013 as an interim arrangement until the operationalisation of the AS Bills1.",0.76186466
"[ 0.36158454  0.11677854 -0.00903401 ...  0.8922822   0.89094263
  1.3819972 ]","[ 1.3082334e-02  2.8573975e-04 -1.2846204e-05 ...  1.4564894e-02
  2.3369884e-02  2.9432610e-02]","eMorogoro, leyasingatsa balwelinkhululeko baseNingizimu Afrik Wafike wabeka netimbali eMazimbu Tower ngekuhlonipha kanye nekukhumbula bonkhe baseNingizimu Afrika labashona bashona basekudzingiswenMengameli Ramaphosa uphindze futsi wahola litsimba laseNingizimu Afrika kuNgcungcutsela Ye-39 Letayelekile ye-SADC yeTinhloko Tembuso, lapho umlingani wakhe waseTanzania, Mengameli John Pombe Magufuli, atsatse khona sihlalo sekuba nguSihlalo we-SADNgekwesikhundla sakhe sekuba ngulomele i-SADC eKingdom of Lesotho, Mengameli Ramaphosa wetfula umbiko lomayelana nalokwentekako kulenchubo layichubako ngesikhatsi seNgcungcutsela ye-Troika Yeluphiko Lwetepolitiki, Tekuvikela neTekubambisana kuTekuphepha lebeyibanjwe ngaLesihlanu, mhla ti-16 Ingci 201 Umhlangano We-28 We-BASICIkhabhinethi ivile ngemhlangano we-28 weBrazil, iNingizimu Afrika, i-India neChina (i-BASIC) lomayelana neNgucuko Yesimo Selitulu lebewubanjelwe eBrazil kusukela mhla ti-14 kuya mhla ti-16 Ingci 2012 Ikhabhinethi iphindze futsi yalwemukela luhlelo lolunenshisekelo lenkhulu yekuphumelela lwemave e-BASIC lolusekela tivumelwane temave emhlaba ngembili kanye nangemuva kwa-2020, nanome kunetinsayeya tetenhlalomnotfo lamave labukene nat Ikhabhinethi isesekele simemetelo lesentiwe ngemave e-BASIC kutsi emave alasatfutfukile anike tetimali letanele, kwendluliswa kwelwatsi lwetheknoloji kanye nekucecesha kute kube nekucala kusebenta ngemphumelelo kweLuhlakamsebenti Lwesivumelwane saMhlabuhlangene (i-UN) lolumayelana neNgucuko Yesimo Selitulu (i-UNFCC), Sivumelwane saseKyoto kanye neSivumelwane saseParis ngendlela lengeke yandzise tikwelti temave lasatfutfuk Tincumo Tekhabhinethi1.","State Visit to Tanzania and SADC SummitCabinet has received a report on President Cyril Ramaphosa s State Visit to the United Republic of Tanzania, which also included a business delegation to advance intra Africa trade and investmen As part of the outreach programme, the President also visited Morogoro, which hosted South African freedom fighter He laid a wreath at Mazimbu Tower in honour and memory of all South Africans who died in exilPresident Ramaphosa also led the South African delegation to the 39th Southern African Development Community (SADC) Ordinary Summit of Heads of State, where his Tanzanian counterpart, President John Pombe Magufuli, assumed the Chairpersonship of the SADIn his capacity as the SADC Facilitator to the Kingdom of Lesotho, President Ramaphosa presented a report on developments in the facilitation process during the SADC Troika Summit of the Organ on Politics, Defence and Security Cooperation held on Friday, 16 August 201 28th BASIC MeetingCabinet has acknowledged the 28th Brazil, South Africa, India and China (BASIC) Climate Change meeting that took place in Brazil from 14 to 16 August 2012 Cabinet also welcomed the ambitious climate change action undertaken by BASIC countries in support of international agreements in the pre- and post-2020 period, notwithstanding the multiple socio-economic challenges these countries are faced wit Cabinet supported the call by the BASIC countries for developed countries to provide adequate finance, technology transfer and capacity-building to facilitate the effective implementation of the UN Framework Convention on Climate Change, its Kyoto Protocol and the Paris Agreement in a manner that does not increase the indebtedness of developing countrie Cabinet decisions1.",0.9027573
"[ 0.5992193   0.63755256 -0.21464893 ...  1.0784497   0.50120616
  1.4044732 ]","[ 1.8317293e-02  3.2817479e-03 -6.9947360e-05 ...  4.3239810e-02
  6.0756300e-03  2.8178649e-02]","Lisu Lekuletsa Tinsita Leliholwa TigodziIkhabhinethi ilivumile Lisu lelisha Lekuletsa Tinsita Leliholwa Tigodzini, njengemcondvo lomusha lobalulekile ekucaleni kwekufezekisa kucala kwekusebenta kwetindlela tekuletfwa kwetinsit Lelisu, kwanyalo ligcile etigodzini letinge-44 kanye nasetigodzi tasemadolobheni lamakhulu letisiphohlongo, litawucinisekisa kutsi kunekusebenta ngekubumbana kanye nekuhlangana ekuhleleni, ekwenteni sabelotimali kanye nasekucaleni kwekusebenta kwemaphrojethi ekuletsa tinsita kuto tonkhe tigodzi ngayo yonkhe imikhakha lemitsatfu yahulumende","District Based Service Delivery ModelCabinet approved the new District Based Service Delivery Model, as an important innovation in the implementation of service-delivery programme The model, which currently focuses on forty-four (44) districts and eight metros, will ensure coherence and integration in planning, budgeting and implementation of service delivery projects in all districts by all three spheres of government",0.85459864
"[ 0.5188522   0.16491282 -0.16255425 ...  1.0692177   1.2529904
  0.7880134 ]","[1.6823160e-02 3.1459734e-03 9.1769114e-05 ... 2.8621440e-03 3.5308391e-02
 3.0875003e-02]","wavelonkhe, wesifundza kanye newendzawLelisu ligcile kuLuhlaka Lwemtsetfo Lwebudlelwana eMkhatsini Wabohulumende, lwanga-2005 (Umtsetfo we-13 wanga-2005), lowenta kutsi kube neluhlelomsebenti loluchumanisiwe naloluhlanganisiwe kutsi luhambisane naloko lokubekwe embili kutsi kucalwe ngako kutfutfukiswe, kanye netinhloso emkhatsini walemikhakha lemitsatfu yahulumend Lelisu kuhloswe ngalo futsi kwenta ncono kuhambisana kwaleminye imitamo njengemasu entfutfuko lahlanganisiwe lahlose ngco ekufezekiseni lisu kuleso nakuleso sigodzi kuyo yonkhe imikhakha yahulumendMengameli Ramaphosa utawuba ngulohamba embili kulelisu, asekelwa Lisekela laMengameli David Mabuza kanye naso sonkhe sigung Tindvuna teTifundza kanye neTigungu tato kanye naBosodolobha betigodzi nebabohulumende basekhaya, kanye neTigungu Letiphetse (ma-EXCO) tabo, batawuba yincenye yekucala kufezekisa kusebenta kwalelisu lekuletsa tinsita leliholwa tigodz 2.","national, provincial and locaThe model is anchored on the Intergovernmental Relations Framework Act, 2005 (Act 13 of 2005), which provides for a framework for a coordinated and integrated alignment of developmental priorities, and objectives between the three spheres of governmen It is also meant to enhance other alignment initiatives like integrated development plans with a clear focus of implementing one plan in each district across all spheres of governmenPresident Ramaphosa will be the champion of the model, supported by Deputy President David Mabuza and the entire executiv Provincial Premiers and their Executive and local and district Mayors, together with their EXCO, will be part of the implementation of this district-based service delivery mode 2.",0.8762758
"[ 0.43556118  0.12687042 -0.17239708 ...  0.95498157  0.4466637
  0.7404078 ]",[0.01923642 0.0014881  0.00247443 ... 0.01886045 0.02524362 0.05356395],"Umkhandlu waMengameli wekuChumana (i-PCC)Mengameli Ramaphosa ubite umhlangano we-PCC, lobe wekucala waloHulumende lokhetfwe ngeNkhwekhweti ngalomnyaka, ngaLesibili, mhla tinge-20 Ingc Lisu Lekuletsa Tinsita leliHolwa Tigodzi letfulelwe i-PCC futsi lamukelwa ngito tonkhe Tindvuna teTifundzLomhlangano uphindze futsi wavumelana ngemaphrojekthi laholwa tigodzi latawuvakashelwa nguMengamel Lemaphrojekthi afaka ekhatsi iphrojekthi lese-OR Tambo District eMphumalanga Kapa, lese-Watrerberg District eLimpopo kanye nalese-Ethekwini Metropolitan Municipality esifundzeni saKwaZulu-NataLamaphrojekthi lamatsatfu latawuvakashelwa afaka ekhatsi iphrojekthi lesendzaweni yasemaphandleni, lesendzaweni lenetimayini kanye nalesedolobheni lelikhul Nanome lamaphrojekthi ekuletsa tinsita aholwa tigodzi atawuba ngewekucala kuvakashelwa, letinye tigodzi letinge-42 kanye letisikhombisa nemadolobha lamakhulu lasikhombisa nato titawuvakashelwa nguMengameli Ramaphosa nahulumende wakhe kanye nebaholi babohulumende betifundza singakapheli sikhatsi lesibekelwe loHulumende lophetse njenganyalLomhlangano uphindze futsi watfulelwa futsi wacocisana ngeludzaba lwekuchumanisa","The meeting also agreed on the district prototyped projects to be visited by the President, which will include OR Tambo District in the Eastern Cape; Waterberg District in Limpopo and Ethekwini Metropolitan Municipality in KwaZulu-Nata The three prototyped projects to be visited include a rural district, a mining district and an urban metr Whilst these will be the starting blocks on the district-based delivery model, the remaining 42 districts and seven metros will also be visited by President Ramaphosa and his government together with the provincial government leadership in the course of this sixth AdministratioThe meeting also received presentation and discussed alignment of the nine Provincial Growth Development strategies to government s Medium Term Strategic Framework 2019",0.8400865
"[ 0.49000394 -0.23388085  0.06658837 ...  0.8986886   0.619925
  1.265763  ]","[ 0.00845663 -0.00098397 -0.0004021  ...  0.00845697  0.03761821
  0.07637662]",tindlelalisu letiyimfica tekuTfutfukisa Kukhula eTifundzeni neLuhlaka lweNdlelalisu Lwethemu Lesemkhatsini (i-MTSF) lwanga-2019 kuya ku-2024.,TICAD VII SummitPresident Ramaphosa will attend the 7th Summit of the Tokyo International Conference on African Development (TICAD VII) in Japan on 29 and 30 August 2019.,0.72849524
"[ 0.6153845  -0.17610665 -0.26680705 ...  0.93716973  1.3486133
  1.5190582 ]","[ 0.00622956 -0.00018422 -0.0009125  ...  0.05041987  0.02596166
  0.04739661]","Sivumelwane seSikhwama se-India, iBrazil neNingizimu Afrika (i-IBSA)Ikhabhinethi ikuvumile kungeniswa ePhalamende kweSikhwama se- IBSA seKulwa neBuphuya neNdlala (Sivumelwane seSikhwama se-IBSA) kutsi sivunyw LeSivumelwane sisemkhatsini waHulumende we-Republic of India naHulumende we-Federative Republic of","202 India, Brazil and South Africa (IBSA) Fund AgreementCabinet approved for the submission of the IBSA Fund for the Alleviation of Poverty and Hunger (IBSA Fund Agreement) to Parliament for ratificatio The agreement is between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Afric The IBSA Fund was created in 2004 to pioneer impact-driven and people-centred efforts for the promotion of South-South CooperatioThe fund has enabled South Africa to contribute meaningfully and substantively towards international efforts to alleviate extreme poverty and hunger in developing countrie It has also contributed successfully in promoting all the 17 SDGs in approximately twenty-one (21) partner countries 4th Ministerial Meeting of the African Capacity for Immediate Response to Crises (ACIRC)41.",0.7823354
[0.30325285 0.13808808 0.30238846 ... 1.0474178  0.8856214  1.7561026 ],[0.01173917 0.00034055 0.00453919 ... 0.01683812 0.04795585 0.06700186],"Brazil kanye naHulumende waseRiphabhliki yaseNingizimu Afrik Sikhwama se-IBSA sasungulwa nga-2004 kute sicale ngemitamo yekubuka lifutse kanye futsi nekugcila kubantfu kute kugcugcutelwe Kusebenta Ngekuhlanganyela kweMave Asatfutfuka aseNingizimLesikhwama sisite iNingizimu Afrika kutsi ikhone kufaka ligalelo lelivakalako nalelinesisindvo emitameni yemave emhlaba yekulwa nendlala kanye nebuphuya lobukhulu emaveni lasatfutfuk Iphindze futsi yafaka ligalelo ngemphumelelo ekutfutfukiseni onkhe ma-SDG la-17 cishe emaveni labambisene nawo lange-2 Umhlangano We-4 weTindvuna Wembutfo Wemphi we-Afrika Wekuphendvula Ngekushesha Etimeni Letibucayi (i-ACIRC)Ikhabhinethi ikuvumile kusingatsa emalungiselelo emhlangano wetati weMhlangano we-4 weTindvuna teMave Langemalunga we-ACIRC Ngekutitsandzela kusukela mhla tinge-30 Ingci kuy mhla ti-03 Inyoni 2012 Lokukwesekela kuphindze futsi kufake ligalelo loko hulumende lakubeke embili kucala ngako akwente ekugcugcuteleni kuthula kulelivekati kanye nasesigodzini kanye nekusimama, kucinisekisa kutsi tincumo teLubumbano lwe-Afrika (i-AU) letiphatselene nekubumba kufezekiswa kwemisebenti yeMbutfo we-AIRC ne-African Standby Force (i-ASF).","Advancing Africa s Development through Technology, Innovation and People , is aligned with the AU Agenda 2063 and continental priorities for integratio This year s TICAD VII Summit will discuss, amongst others, three overarching priorities: (i) accelerating economic transformation and improving business environment through innovation and private sector engagement; (ii) deepening sustainable and resilient society; and (iii) strengthening peace and stabilitJapan s cooperation on regional and international issues is important to advancing the African Agenda and realising the principles of South-South Cooperation Group of Seven (G7) SummitPresident Ramaphosa will lead the South African delegation to the G7 Summit in France from 24 to 26 August 2019, following South Africa s invitation to attend as a key partneThe G7 is a forum of the seven countries with the world's most industrialized and developed economies",0.8442464
