ss,en,src_text,trg_text,Cosine_Score
"[ 0.5810889  -0.04796795 -0.13451295 ...  0.20045218  0.31966612
  1.044727  ]","[ 0.03864395 -0.0012033  -0.00057512 ...  0.00059446  0.00286357
  0.01372523]",Tindzaba Letibalulekile Talelive1.,Bills1.,0.73308295
[1.6774607  0.14231272 0.17224142 ... 0.5207622  0.92819244 1.8088032 ],"[-0.00120706  0.00080831 -0.00081314 ...  0.00957474 -0.00717668
  0.00806123]",Kugomela Lubhubhane lweSifo seligciwane leKhorona (i-COVID-19),District Development Model (DDM),0.68378586
"[ 0.9880133  -0.16146596  0.3791768  ...  0.31438583  0.7998644
  2.8653116 ]",[0.02602632 0.01826003 0.03060661 ... 0.01120904 0.02822307 0.06327695],Ikhabhinethi ijabulile kutsi bantfu labangetulu kwe-260 000 bagomile ngesikhatsi seMkhankhaso wesibili weMphelasontfo yekugoma i-Vooma Vaccination Weekend lebewubanjwe eveni lonkhe kusukela mhla ti-12 kuya mhla ti-14 Lweti 2021.,Vaccination against the Coronavirus Disease (COVID-19) pandemic Cabinet was pleased that over 260 000 people vaccinated during the second Vooma Vaccination Weekend held countrywide from 12 to 14 November 2022.,0.87507135
"[ 0.9284235  -0.03511304  0.0239453  ...  0.4015088   0.46408132
  1.3617415 ]","[ 2.4152994e-02 -6.1511324e-05 -6.6961284e-06 ...  1.6329700e-02
  4.3820146e-02  2.8410228e-02]","Kufanele kutsi sikhumbule kutsi leligciwane lisengakapheli nekutsi kugoma kusivikela kutsi singaguli kakhulu, singangeniswa esibhedlela nome singaf","We must remember that the virus has not been eradicated and vaccination protects us from serious illness, hospitalisation or deat Vaccination is free to all people living in South Africa, and anyone aged 12 years and older is encouraged to vaccinat Let us vaccinate to ensure a safe and joyful festive season with our families and friend",0.76387453
"[ 0.2913016  -0.05326933  0.06335437 ...  1.1512525   0.60959005
  1.2395918 ]","[ 0.00709012 -0.00045942  0.00969888 ...  0.0333018   0.01092316
  0.01321965]","Kugoma kumahhala kuwo wonkhe umuntfu lohlala lapha eNingizimu Afrika, futsi nome ngubani loneminyaka le-12 budzala nangetulu uyagcugcutelwa kutsi agom Asigome kute sicinisekise kutsi sinesikhatsi semaholideyi ekutijabulisa lesiphephile nalesinenjabulo sinemindeni yetfu nebangani betfu",The onslaught of COVID-19 has affected all people in South Africa and the negative sentiments being perpetuated by a handful of people do not reflect the true state of cordial relations between foreigners living and working within our communities and our citizen,0.7714967
"[-0.0425245  -0.187577   -0.18938664 ... -0.00770248 -0.5896466
  0.2529343 ]","[ 0.01398539 -0.00204578  0.00195896 ...  0.01418723  0.01844996
  0.01428922]",Luhlelo Lwekutfutfukisa Tigodzi (i-DDM),Sectoral Emission Targets (SETs) Framework,0.7143632
"[ 2.5739      0.2094041  -0.01345696 ...  1.2213671   1.9490367
  1.6188314 ]","[ 0.05137499 -0.00093486  0.0006453  ...  0.02940988  0.06588632
  0.03322415]","Ikhabhinethi ikwemukele kuvakasha kwaMengameli Cyril Ramaphosa eSigodzini Ugu KwaZulu-Natal ngaLesihlanu, mhla ti-12 Lweti 2021, lokugcamise intfutfuko ye-Eastern Seaboard lefaka ekhatsi emakhilomitha lange-600 elugu lolusemkhatsini we KwaZulu-Natal neMphumalanga Kap","Cabinet welcomed the visit by President Cyril Ramaphosa to the Ugu District in KwaZulu-Natal on Friday, 12 November 2021, which highlighted the development of the Eastern Seaboard that encompasses 600 kilometres of the coastline between KwaZulu-Natal and the Eastern Cap",0.91371065
"[ 0.53752655  0.11761697 -0.06569495 ...  1.0391438   1.0631175
  1.4706578 ]","[ 0.02001707 -0.00235366 -0.0001684  ...  0.03254985  0.03258321
  0.04381806]","Intfutfuko ye-Eastern Seaboard umklamo losemcoka we-DDM, lokuhloswe ngawo kutsi kwakhiwe iminotfo yendzawo lefaka wonkhe wonkhe kute kuncotjwe umshiyandvuku welubandlululo wekuhlela kwetindzaw Lomklamo kuhloswe ngawo kutsi kuvunjululwe emandla emitfombolusito yemvelo lamakhulu alendzawo kute kube nekukhula kutemnotf 3.","The Eastern Seaboard Development is a flagship project of the DDM, which sets out to build inclusive local economies to overcome the legacy of apartheid spatial plannin The project aims to harness the potential of the vast natural endowments of the area for economic growt 3.",0.8779196
"[ 0.50271314 -0.24663042 -0.18895012 ...  0.78210753  0.5282069
  0.50123125]","[ 1.1145648e-02 -2.2620626e-03  6.4017215e-05 ...  5.1317792e-03
  1.4959469e-03 -2.1919974e-03]",Sitatimende Senchubomgomo Yesabelomali Sethemu Lesemkhatsini (i-MTBPS),Basic Education Laws Amendment Bill,0.70299923
"[ 0.4847506   0.10501274 -0.08851653 ...  1.2255889   1.2734151
  0.66665727]",[0.00844011 0.02161782 0.07510919 ... 0.02590331 0.03466248 0.03732045],"Ikhabhinethi iyesekele ngalokuphelele indlela yetetimali lechazwe ku-MTBPS leyetfulwe yiNdvuna Yetetimali Enoch Godongwana ePhalamende, eKapa ngaLesine, mhla ti-11 Lweti 2021, lesiveta umlayeto locinile wekutinikela kwetfu ekutiphatseni ngekuhlakanipha timali tahulumend","Medium Term Budget Policy Statement (MTBPS) Cabinet fully supported the financial path set out in the MTBPS presented by Finance Minister Enoch Godongwana in Parliament, Cape Town on Thursday, 11 November 2021, which sends a strong message of our commitment to prudent fiscal disciplin As part of our social commitments, 60% of our budget was allocated to housing development, free basic services, employment programmes, health, education and social grant The initiatives outlined in the MTBPS demonstrate that government has a clear plan to guide the economy through the turmoil created by the COVID-19 pandemic and place our nation on a long-term growth path Intra-African Trade Fair 2021 (IATF2021) The successful IATF2021",0.82630014
