ss,en,src_text,trg_text,Cosine_Score
"[ 0.93455607 -0.1360889   0.07388429 ...  0.60371506  1.0028262
  1.7207949 ]",[0.00735185 0.00176474 0.00226229 ... 0.01582562 0.00206992 0.03544857],"IKhabhinethi ihlangene ngaLesitsatfu, mhla ti-5 Ingongoni 2018 eTuynhuys eKap Tindzaba Letimcoka1.","Cabinet met on Wednesday, 5 December 2018 at Tuynhuys in Cape Town Issues in the environment1.",0.874407
"[ 0.42014825 -0.12715903  2.478866   ...  1.3237143   1.2770994
  0.3725185 ]","[ 0.0308608  -0.00096162  0.01049856 ...  0.03824301  0.04191711
  0.00554359]","Kukhula kwemnotfoIKhabhinethi yamukela lokukhula nga- kwemnotfo waseNingizimu Afrika ngekota yesitsatfu, lokusita lelive kutsi lingasabi sesikhatsini sekwehla kwemnotfo makota lamabili alandzelan Lamanani ekukhula abangelwe kukhula kumkhakha wetekulima (), umkhakha wetimali (); umkhakha wekukhicita () netitolo letinkhulu netekutsengiselana ().","The growth figures were driven by increases in the agricultural sector (), financial sector (); manufacturing sector () and wholesale and retail trade sales ().",0.79026765
"[ 0.5574458  -0.10712031  0.13899449 ...  0.47006762  1.584181
  1.1383792 ]",[0.02834351 0.01020401 0.00182336 ... 0.01440395 0.02400152 0.01886115],"Lamanani ekukhula akhombisa kutfutfuka kabusha kwemnotfo kanye nemitamo leyentiwe ngalesikhatsi seNgcungcutsela yeteMisebenti neKhomfa Yelutjalomali eNingizimu Afrika, utawuchubeka nekuba ncon",A process to address the backlog infrastructure maintenance has been put in place and the law enforcement agencies continue to make progress in bringing those who were involved in corruption to accoun Working with the North West leadership the appointed Administrators continue to make progress in setting in place good governance processe,0.7265074
[0.7918048  0.27384925 1.7873307  ... 0.8872126  0.96841466 1.517208  ],[0.03398744 0.00192375 0.00168895 ... 0.02844759 0.03934846 0.03224738],"IKhabhinethi ibuye ihlanganyela nebantfu baseNingizimu Afrika ekwamukeleni lokwehla kwaphethiloli kulenyanga lokufika njengendlela yekuphumuta, ikakhulukati njengoba siya esikhatsini semaholid Yonkhe imikhakha yemphakatsi iyacelwa kutsi yakhe kuloku lokuhle ngalesikhatsi sekota yesitsatfu kusita ekubekeni umnotfo weNingizimu Afrika ezingeni lelisha lekukhul","Mr Msimang has been accorded a Special Official Funeral category 1 which entails elements of military ceremonial honour in line with the policy on State and Provincial official funeral Congratulations3Cabinet congratulates Banyana on reaching the final of the 2018 Africa Women s Cup of Nation By doing so they have automatically qualified for next year s FIFA Women s World Cup in Franceabinet commends Dr Lindiwe Sidali, who made history by becoming the first African female cardiothoracic surgeon in the countr",0.7553756
[1.0538956  0.07096619 0.4794539  ... 0.73638594 1.2809162  1.3661264 ],[0.01910854 0.00155216 0.00658132 ... 0.01867231 0.02501907 0.02830281],"Lizinga Lemholo Wavelonkhe Lolizingancane (i-NMW)IKhabhinethi ibuye yamukela lokusayinwa kweMtsetfosivivinyoi we-NMW ube ngumtsetfo nguMengameli Cyril Ramaphos LoMtsetfosivivinyo ubeke umlandvo ekuvikeleni tisebenti letihola kancane nekwehlisa kungalingani emphakatsin I-NMW yekucala itawutfutfukisa imiholo yebantfu labalinganiselwa kutigidzi letisitfupha labebahola kancane eNingizimu Afrik Kutawuba nesikhatsi sekucala kusebenta kwawo kutisebenti tasemapulazini, emhlatsini netisebenti tasetindlin","The growth figures signal a rebound in the economy and together with initiatives from the Jobs Summit and South African Investment Conference, will continue to improvCabinet also joins South Africans in welcoming this month s drop in the fuel price which comes as a relief, especially as we move into a holiday perio All sectors of society are urged to build on the positive momentum during the third quarter to help place the South African economy on a new growth trajectory National Minimum Wage (NMW)Cabinet also welcomes the signing of the NMW Bill into law by President Cyril Ramaphos The Bill sets a historic precedent in the protection of low-earning workers and reduction of inequality in societ The first NMW will raise the earnings of an estimated six million South African low-earning worker There will be a phase-in period for farm workers, forestry workers and domestic worker Whilst this NMW will not end income inequality, Cabinet believes it will go a long way to breaking the back of rising inequality and persistent poverty Toyota Wessels Institute for Manufacturing Studies (TWIMS)Cabinet welcomes the launch of the newly established R56-million TWIM The institute will boost South Africa s manufacturing sector, develop world-class capabilities and drive African industrialisatio It will also accelerate the building of a manufacturing culture that the country needs to drive its domestic demands and create more jobIt is an independent and not-for-profit initiative established through grant funding from the Toyota South Africa Education Trus It has been established in partnership with the University of Pretoria s Gordon Institute of Business Science to deliver a Master of Business Administration degree specialising in manufacturing Social EconomyCabinet notes the successful Symposium on the Social Economy held by government in partnership with the International Labour Organisation (ILO) and the Government of Flanders on Friday, 30 November 2018.",0.80772084
[0.74731886 0.11068621 0.10691886 ... 1.6698852  0.6190619  0.41844544],"[ 0.01245571 -0.00344512  0.00089042 ...  0.03989609  0.00970127
  0.01578748]","Ngalesikhatsi le-NMW angeke icedze lokungalingani kwemiholo, iKhabhinethi ikholelwa ekutseni itawuhamba indzima lendze ekucedzeni lokungalingani nekuchubeka kwebuphuy",Cabinet approved publication of the Revised Expropriation Bill for public commen The revised bill adds a section that provides explicit circumstances under which land expropriation in the public interest may be without compensatio,0.6842101
"[ 0.80303246 -0.18254605 -0.17993693 ...  0.65144247  0.7642197
  0.8593566 ]","[ 0.02131621  0.00021635 -0.00083392 ...  0.02782736  0.04068699
  0.03684944]",I-Toyota Wessels Institute Yetifundvo Tekukhicita (i-TWIMS)IKhabhinethi yamukela lokusungulwa kwe-TWIMS lensha sha lebita tigidzi letingu-R56.,"Nkomazi Special Economic Zone (SEZ)Cabinet ratified a decision of the Minister of Trade and Industry, Dr Rob Davies, to designate the SEZ and to grant a SEZ Licence to the Mpumalanga Provincial Government s Department of Economic Development and TourisThe Nkomazi SEZ will be positioned as an",0.72950655
"[ 0.641329    0.22621767 -0.13951837 ...  1.4175571   1.0807077
  1.1190662 ]","[ 1.03370175e-02  1.30996667e-03 -4.37050367e-05 ...  3.20565850e-02
  4.10157107e-02  3.27964276e-02]","Lesikhungo sitawuniketa emandla kulomkhakha wekukhicita eNingizimu Afrika, utfutfukise emakhono lahamba embili emaveni futsi utfutfukise timbon Itawubuye itfutfukise mkhakha wetekukhicita lodzingwa ngulelive kute uhambise kahle tidzingo talo nekwakha lamanye ematfuba emsebent Yinhlangano letimele nalengenanzuzo lesungulwe ngetibonelelo letivela Esikhwameni Setemfundvo sakaToyota South Afric Isungulwe ngekusebentisana neNyuvesi yasePitoli kusikhungo seGordon Institute of Business Science kute kuniketwe ticu te-Master of Business Administration letibukete ekukhiciten 4.","The IMC will be supported by the approved establishment of the APRM National Governing Counci This APRM review process provides member states a space for national dialogue on governance and socio-economic indicators and an opportunity to build consensus on the way forwar Cabinet approved for South Africa to sign the Convention to establish, under international law, an intergovernmental organisation called the Square Kilometre Array (SKA) Observatory, which will be responsible for the construction and operational phases of the global SKA radio telescope project, to be located in South Africa and Australi The signing of the convention will be crucial in providing the global partnership with the appropriate governance mechanisms, which will ensure successful delivery of the projec South Africa will also be able to leverage foreign inward investment, as well as skills and infrastructure development benefits associated with the SKA projec Cabinet approved the One-Stop Border Post (OSBP) National Framework for implementatio This provides guidance towards the speedy establishment of OSBPs between South Africa and its neighboring countrie The OSBP will enhance trade facilitation without compromising national security or revenue collection through the efficient movement of goods, persons and services between South Africa and the adjoining states of Botswana, Lesotho, Namibia, Mozambique and Zimbabw It will also result in the region realising a faster border clearance and limited duplication of border agency interventions, which in turn improves trade competitiveness and movement of person by cutting down on cost and tim Cabinet approved that the National Treasury and Financial Intelligence Centre (FIC) will coordinate South Africa s preparation for the national risk assessment and upcoming mutual evaluation process which commences in mid-April 2019.",0.7988817
"[ 1.071655    0.03232433 -0.10001441 ...  0.8909549   1.6060331
  2.289368  ]","[ 3.4123033e-02  6.3883454e-05 -1.1480052e-03 ... -1.1755786e-03
  2.8131856e-02  4.3278005e-02]","UMkhakha Wetinhlangano Temmango IKhabhinethi ibonga lemphumelelo yeNkhomfa yeMkhakha Wetinhlangano Temmango lebewubanjwe nguhulumende ngekubambisana neNhlangano Yetemisebenti Mhlabawonkhe (i-ILO) naHulumende waseFlanders ngaLesihlanu, mhla tinge-30 Lweti 2018.","CondolencesCabinet joins President Ramaphosa in expressing sadness at the passing of Struggle stalwart and former High Commissioner to the United Kingdom, Mr Mendi Msimang, on Monday, 3 December 2018, following a long illnes",0.7255682
"[ 0.6869575   0.03425694 -0.18237057 ...  1.2420388   1.138074
  1.288552  ]","[ 0.02321763  0.0477404  -0.00012434 ...  0.0273313   0.03467836
  0.02092716]","Lenkhomfa beyiholwa Litiko Letekutfutfukiswa kweMnotfo kantsi isekelwa Litiko Letekutfutfukisa Emabhizinisi Lamancan LoMkhakha Wetinhlangano Temmango ufaka ekhatsi emabhizinisi netinhlangano lecondziswe ekutfoleni tinjongo tetinchubomgomo tahulumende njengekwakha ematfuba emsebenti, kubeka ndzawonye emacembu lebekancishwe ematfuba phambilini, nekuletsa timphahla netinsita emaphandlen Inemandla ekusekela lokufaka ekhatsi umnotfo nekwakha tinkhulungwane tematfuba emsebent Lenkhomfa iletse ndzawonye bosomabhizinisi betenhlalo, labakha tinchubomgomo, bacwaningi netinhlangano letingasito tahulumende, kantsi titawusita ekusungulweni kweMtsetfo Lohlongotwako Wemkhakha Wetinhlangano Temmango wanga 2019.","The symposium was led by the Economic Development Department and supported by the Department of Small Business DevelopmenThe Social Economy comprises enterprises and initiatives directed at achieving social-policy objectives such as creating jobs, mainstreaming excluded groups, and bringing goods and services to rural communitie It has the potential of supporting economic inclusion and creating thousands of additional job The symposium brought together social entrepreneurs, policymakers, researchers and non-governmental organisations, and will help in the development of a Green Paper on the Social Economy during 201 Voter registrationIn preparation for the 2019 elections, Cabinet calls on South Africans to exercise their right as responsible citizens by ensuring they have a green bar-coded ID book, smart ID card or temporary identity certificate and are registered to vote in their district The Independent Electoral Commission will hold a voter-registration weekend on 26 and 27 January 2019 and South Africans are encouraged to use the opportunity to register to vote or verify their registration statu Cabinet appeals to those who have applied for Smart IDs to collect their documents at their respective Department of Home Affairs (DHA) branches National Director of Public Prosecutions (NDPP)Cabinet applauds President Ramaphosa s appointment of Advocate Shamila Batohi as the new NDP This follows the President s consideration of five nominees shortlisted by an advisory pane The appointment brings stability to the leadership of the National Prosecuting Authority and emboldens the country s fight against crime and corruptio",0.8189972
