ss,en,src_text,trg_text,Cosine_Score
"[ 0.87361896 -0.16709965  0.00551046 ...  0.59175926  0.8761803
  1.989594  ]",[0.00571909 0.000105   0.0024912  ... 0.01500606 0.00671666 0.03687705],"IKhabhinethi ihlangene ngaLesitsatfu, mhla ti-21 Lweti 2018 eTuynhuys eKap Tindzaba Letimcoka1.","Cabinet met on Wednesday, 21 November 2018 at Tuynhuys in Cape Tow Issues in the Environment1.",0.87004894
"[ 0.27648    -0.10452124  0.2577993  ...  1.1754037   1.2138051
  1.6442517 ]",[0.02431664 0.00102257 0.01854925 ... 0.03226357 0.02163692 0.03628026],"Lutjalomali IKhabhinethi yamukela lokuvulwa ngemphumelelo kweNgcungcutsela yeLutjalomali e-Afrika lebanjwe kusukela mhla ti-7 kuya ku-9 ngenyanga yeLweti 2018 eSandton Convention Centre eGauten Bohulumende base-Afrika nemabhizinisi, tikhungo tetetimali mhlabawonkhe nalabanye balingani betentfutfuko bagcile ekwenteni i-Afrika ibe ngumgcele lolandzelako emhlabeni wonkhe kutelutjalomal","Investment Cabinet welcomes the successful inaugural Africa Investment Forum held from 7 to 9 November 2018 at the Sandton Convention Centre in Gauten African governments and businesses, international financial institutions and other development partners focused on making Africa the next global frontier in investmen At the close of the conference 45 deals, worth US$32 billion, were concluded to benefit the continen Of that, South Africa will benefit from US$billion in investment African Union (AU) Summit Cabinet is encouraged by deliberations at the AU Summit held in Addis Ababa, Ethiopia on 17 and 18 November 2018, where President Cyril Ramaphosa participate The Extraordinary Session deliberated on the ongoing reform processes which are intended to establish an effective, efficient and re-energized AU that is capable of achieving continental priorities and goals set out in Agenda 2063, which is a strategic framework for the socio-economic transformation of Africa over the next 50 year The reform of the AU is an ongoing process, with some of its recommendations already implemented, particularly in relation to the commitment to have member states of the AU assume greater ownership of financing the organisatio",0.8229107
"[ 0.7251721  -0.1851615   0.41920608 ...  0.8318792   1.5797642
  1.6270552 ]","[ 0.01613314 -0.00026288  0.00892428 ...  0.02035503  0.03673693
  0.04679896]","Nakuvalwa lenkhomfa kube netivumelwano letinge-45, letibita US$32 wetigidzigidzi, lekuvunyelwene ngato kute kuzuze lelivekati lonkh Kuloko, iNingizimu Afrika itawuzuza kusukela kutigidzi leti US$kulutjalomali",More countries continue to sign the African Continental Free Trade Agreement to ensure the Continent realises the continent-wide free-trade agreement Strategic Partnership with the European Union (EU) Cabinet is pleased with the positive outcome of the 7th South Africa,0.6956107
"[ 0.24954517 -0.11688976 -0.29037753 ...  0.3041      0.34000427
  0.18726917]","[ 0.00609703 -0.00577201  0.00039539 ...  0.01284882 -0.0060821
  0.03435907]",Ingcungcutsela yeMhlabuhlangene (i-AU),Acting Cabinet SpokespersonCell: 083 501 0139,0.46911013
[1.348065   0.5263625  0.07229338 ... 1.0532048  1.1000334  1.8721952 ],[0.00430195 0.00085398 0.01351385 ... 0.02481203 0.02944749 0.04869003],"IKhabhinethi ikhutsatwe tingcogco letentiwe kulengcungcutsela ye-AU lebanjelwe e-Addis Ababa, kulase-Ethiopia ngamhla ti-17 ne-18 Lweti 2018, lapho Mengameli Cyril Ramaphosa bekangenelel Lengcungcutsela Lesezingeni Leliphakeme idzingidze lenchubo lechubekako yekwakha kabusha i-AU lehlose kusungula indlela lesebentako, lehlelekile nalenemandla lamasha letawukhona kubeka phambilli tidzingo talelivekati netinjongo letibekiwe ku-Ajenda 2063, lekuluhlaka lwemasu lwekutfutfukisa umnotfo welivekati lase-Afrika kuleminyaka lenge-50 letak","EU Summit held on 15 November in Belgiu The outcomes and commitments made at the summit build on our unprecedented drive to place economic growth and job creation at the centre of South Africa s national agend South Africa is the only African country and one of the 10 countries globally that has a Strategic Partnership with the E The EU is South Africa s largest trading partner and largest foreign investor as a bloc, representing 7 of total Foreign Direct Investment stocks in the countr President Ramaphosa this week hosted the President of the Federal Republic of Germany, Mr Frank-Walter Steinmeier, on a State Visit to South Afric Germany is one of the largest foreign investors in South Africa, with more than 600 German companies having subsidiaries or production in the country, sustaining about 100 000 job This State Visit resulted in the signing of trade and investment agreements between the two countries, and afforded both leaders an opportunity to discuss multilateral issues and cooperate closely as non-permanent members of the United Nations (UN) Security Council for a two-year term from 2019 to 202 Land reform Cabinet noted that Parliament s Joint Constitutional Review Committee adopted its report that is in favour of amending Section 25 of the Constitution of the Republic of South Africa of 1996.",0.7864965
"[ 1.0304846  -0.1365072   0.05558162 ...  0.6164584   1.6817944
  1.3330215 ]",[0.03363298 0.00236672 0.00540525 ... 0.010945   0.03169052 0.02031491],"Lokutfutfukiswa kwe-AU kuyinchubo lechubekako, naletinye tinchubo tayo setivele tentiwe, ikakhulukati letiphatselene nalokutinikela ekubeni emave angemalunga e-AU kube ngiwo asita lenhlangano ngemal Emave lamanye ayachubeka nekusayina leSivumelwano Sekuhwebelana Kwemave ase-Afrika Mahhala kucinisekisa kutsi lelivekati liyasisebentisa lesivumelwano sekuhwebelana kwemave ase-Afrika mahhal","Cabinet urges all South Africans to use this platform and participate in a government event nearest to the Civil society and other women's organisations are encouraged to populate their calendars of events for the perioAll South Africans are urged to work together to heed the call to #HearMeToo, by listening to the plight of women, and taking action to end the scourge of all forms of violence against wome Congratulations14.",0.75469816
"[ 0.4166701  -0.02608522 -0.03596439 ...  0.6776316   1.109087
  1.3549767 ]",[0.02256966 0.06234898 0.00024366 ... 0.00861415 0.03876838 0.03273195],"Budlelwano Lobunemasu nemave eLubumbano lwase-Europe (i-EU) IKhabhinethi iyatfokota ngalemiphumela lemihle yaleNgcungcutsela yesi-7 ye-EU neNingizimu Afrika lebeyibanjwe ngamhla ti-15 Lweti eBelgiu Lemiphumela netetsembiso letentiwe kulengcungcutsela kwakhiwe lokukhutsala kwetfu lokungenhla kwekubeka kukhula kwemnotfo nekwakhiwa kwematfuba emsebenti enkhabeni yeluhlelo lwavelonkhe lwaseNingizimu Afrik INingizimu Afrika ngilo kuphela live lase-Afrika nalinye lalamave lali-10 mhlabawonkhe laneBudlelwne Lobunemasu kanye ne-E I-EU ingumlingani lomkhulu kunabo bonkhe le iNingizimu Afrika ihwebelana naye nemtjalimali wangaphandle lomkhulukati njengemlingani, imelele 7 yesitoko Selutjalomali Lemave Angaphandle kuleliv Mengameli Ramaphosa kuleliviki bekavakashelwe nguMengameli waseFederal Republic of Germany, Mnu Frank-Walter Steinmeier, ngesikhatsi Avakashele eNingizimu Afrika ngekweMbuso, njengoba kunetinkapani taseGermany letingetulu kwe-600 letinemabhizinisi noma letinetikhungo tekukhicita kulelive, letidale imisebenti lelinganiselwa ku-100 000.",The award is in recognition of her lifelong remarkable achievements and efforts in nurturing and furthering the cooperation between France and South Africa in the field of Science and Technolog The ceremony will be held in at the residence of the French Ambassador to South Africa in Pretori AppointmentsAll appointments are subject to the verification of qualifications and the relevant clearanc Provincial heads of the Directorate for Priority Crime Investigation:1 Free State: Brigadier Kubandran Moodley; and1 North West: Major General Dumisani Patrick Mboth Reappointment of Adv Makhosini Solomon Msibi as the CEO of the Road Traffic Management Corporation (RTMC).,0.8287711
"[ 0.6206497  -0.17092936  0.0069938  ...  1.5419723   0.9595449
  3.1877248 ]",[0.0152916  0.02106676 0.00182432 ... 0.01786396 0.02841211 0.04336887],"Lokuvakasha ngekweMbuso kubangele kutsi kusayinwe tivumelwano tekuhwebelna nekutjala imali emkhatsini walamave lamabili, kwaniketa nalabaholi lababili kutsi bacocisane ngetindzaba letibatsintsa bobabili nekusebentisana ngalokusondzelene njengemalunga langakagcwali Esigungu Setekuvikela Kumhlabubuhlangene (i-UN) sikhatsi lesineminyaka lemibili kusukela nga-2019 kuya ku-2020.",Members of the National Executive as well as provincial and local government leaders will undertake portfolio/sector-specific events throughout the country through community-engagement initiative Detailed government programmes can be accessed from wwgoza/16DaysofActivism2018.,0.7236286
"[ 0.34228393 -0.1670161  -0.01692585 ...  1.3049057   1.1285207
  1.9152243 ]","[ 0.03268703 -0.00115114  0.00383429 ...  0.02629807  0.0332258
  0.04061402]",Kulungiswa kwemhlaba IKhabhinethi inake kwekutsi Ikomidinhlanganisela Yekubuyeketwa kweMtsetfosisekelo yasePhalamende ivume umbiko wayo lohambisana nekuchitjiyelwa kweSigaba 25 seMtsetfosisekelo weRiphabhulikhi yaseNingizimu Afrika wanga-1996.,"Cabinet also pledges support to the 2018 Festive Season Road Safety campaign, launched by the Minister of Transport, Dr Blade Nzimande, in Limpopo at the weeken The launch coincided with the annual two-day Road Safety Summit and the UN s World Day of Remembrance for victims of road crashe",0.698882
"[ 1.0631865   0.06162661 -0.2954431  ...  1.615301    0.75943637
  1.2582422 ]","[ 0.01284377 -0.00027038 -0.00025075 ...  0.0220845   0.03230778
  0.02996046]",Lokuchibiyela kutawenta kutsi umbuso ukhone kwaba umhlaba ngaphandle kwesincepheteliso ngekwetinshisekelo temmang Lombiko walekomidi ulindzeleke kutsi udzingidvwe Libandla Lavelonkhe kute kucociswane ngaw,"The amendment will make it possible for the State to expropriate land without compensation in the public interes The committee s report is expected to be tabled in the National Assembly for debat A public consultation process saw numerous organisations making submissions on the Bill and public hearings were held in all nine province The Constitution has so far been amended 17 times through a consultative and inclusive proces Government remains committed to a responsible land reform approach that is in the best interests of everyon Cabinet affirms that government respects the rule of law and will, at all times, act in accordance with the Constitutio",0.735619
