ss,en,src_text,trg_text,Cosine_Score
"[ 0.92549074 -0.16745785  0.1036438  ...  0.61814684  1.0026435
  1.9845724 ]",[0.00899721 0.00171331 0.00308382 ... 0.01466928 0.00160575 0.03453512],"Ikhabhinethi ihlangane ngaLesitsatfu, mhla ti-18 Inyoni 2019, eTuynhuys, eKap Tindzaba letibalulekile taleLive1.","Cabinet met on Wednesday, 18 September 2019 at Tuynhuys in Cape Town Issues in the environment1.",0.8616494
"[ 0.3218664  -0.21559212 -0.35615963 ...  0.6302988  -0.04697622
 -0.23307161]","[ 0.00631438 -0.00034288  0.00144111 ...  0.01417828  0.00084277
  0.00351987]",Imodeli yeKutfutfukisa yeSigodzi,District Based Development Model,0.8121477
"[ 0.9652932   0.61737365 -0.06958062 ...  1.4018239   0.7573677
  0.80183065]","[ 0.01379101  0.00585441 -0.00015953 ...  0.02979975  0.01689306
  0.01979869]","Ikhabhinethi iyakwemukela kwetfulwa ngalokusemtsetfweni nguMengameli Cyril Ramaphosa, kweModeli yeKutfutfukisa yeSigodzi lensha kuMasipala weSigodzi i-OR Tambo, eMphumalanga Kap Lemodeli ihlanganisa tinhlaka tahulumende totintsatfu kutsi tisebentisane, tibambisane tiphindze futsi tihlanganise umsebenti wato ikakhulu kulesigodzi kute kulungiswe tinsayeya tentfutfuko nekukhutsata kwetfulwa kwetinsita, kutsengwa kwetintfo netinsita lapha kuleli kanye nekwakha imisebent Lemodeli icinisekiswe yiKhabhinethi, tinhlaka tahulumende wendzawo, tiphatsimandla tendzabuko kanye neMkhandlu waMengameli Lochumanisako (i-PCC).","Cabinet welcomes the official launch by President Cyril Ramaphosa, of the new District Based Development Model in the OR Tambo District Municipality, in the Eastern Cap The model brings together the three spheres of government to collaborate, cooperate and integrate their work with special reference to the district to address developmental challenges and promote service delivery, localised procurement and job creatio This model was endorsed by Cabinet, local government structures, traditional authorities and the President s Coordinating Council (PCC).",0.91466844
"[ 0.8620344  -0.10793813 -0.36404562 ...  0.6807726   0.92577404
  0.84564036]",[0.02058258 0.00567139 0.00419348 ... 0.02198998 0.02777532 0.05585682],Nanoma Sigodzi sase-OR Tambo sibe sekucala kwetfula lemodeli,"Whilst OR Tambo District was the first to officially launch this model, it will be rolled-out to all 44 districts and 8 metros across the countr",0.72355133
"[ 0.88023525 -0.2863887  -0.03607497 ...  0.923167    1.597733
  1.1526059 ]","[-1.6544443e-03  6.1555773e-05 -5.7231862e-04 ...  1.2474894e-02
  1.1522068e-02  6.3500799e-02]","ngalokusemtsetfweni, itawucala kusetjentiswa kuto tonkhe letigodzi letinge-44 nemadolobhakati la-8 kulo lonkhe lelive lakits",The Report will be deposited at the SDG Summit during the 74th United Nations (UN) General Assembly session in September 2019.,0.6299367
"[ 0.5438743   0.4577367  -0.0948522  ...  1.1403646   0.68085474
  0.8148546 ]","[ 2.9156188e-02  3.4316388e-04 -1.1071468e-05 ...  1.9506030e-02
  3.8099881e-02  7.5753932e-03]","Iletsa hulumende dvute nebantfu ngekubandzakanya takhamuti nalabatsintsekako ekwentiweni kwelisu linye lekwetfula tinsita letinyenti letinkhulu kuphindze futsi kwakhiwe ematfuba etemnotfo esigodzini lesisisekel Mengameli Ramaphosa uvule ngalokusemtsetfweni Umshwalensi waVelonkhe weTemphilo (i-NHI) emtfolamphilo esigodzini saseLusikisiki, lotawuchuba umkhankhaso wekunakekelwa ngetemphilo ngalokufananak Lomtfolamphilo ufakwe, emkhatsini waletinye tintfo, tisetjentiswa, tinsita letiphutfumako letihamba embili kanye neliwadi letekubeleka lelisebenta imini nebusuku (ema-awa lange-24).","It brings government closer to the people by involving citizens and stakeholders in the development of one plan to deliver a plethora of services and create economic opportunities at a basic district leve President Ramaphosa officially opened the National Health Insurance (NHI) ready Lusikisiki village clinic, which will drive universal healthcar",0.8455787
"[ 1.3936507   1.4920274  -0.11774369 ...  0.60111606  1.2419683
  1.0947543 ]",[0.04343284 0.01590985 0.00072054 ... 0.00383592 0.0419788  0.01930249],Mengameli Ramaphosa uphindze wakhulumisana nemmango weSigodzi sase-OR Tambo ngeBudlova beBulili waphindze watfola sidzingo lesikhulu sekutsi kube neTikhungo teThuthuzela letinyenti kulendzawo nekusungulwa ngekushesha kwemalabhorethri e-NDA eMphumalanga Kapa Kulwa neBudlova beBulili (i-GNV)Ikhabhinethi ijoyina Mengameli Cyril Ramaphosa ekuceleni bonkhe bantfu baseNingizimu Afrika kutsi basebentisane kuvinjwe budlova nekubulawa kwabomake nebantfwan,President Ramaphosa also engaged the OR Tambo District community on Gender Based Violence and identified the critical need for more Thuthuzela Centres in the area and the urgent establishment of a DNA laboratory in the Eastern Cape Fight Against Gender-Based Violence (GBV)Cabinet joins President Cyril Ramaphosa in his call for all South Africans to work together to stop the violence and the killing of women and childre,0.90131104
"[ 0.4365467   0.8331203  -0.00236889 ...  0.9213224   0.6174275
  0.603837  ]","[ 1.8546302e-02  3.3268597e-02 -1.5208225e-05 ...  2.0172272e-02
  3.0850681e-02  4.2079944e-02]","Ekuhlaleni kweTindlu tePhalamende toTimbili itolo, Mengameli wetfule tinyatselo letiphutfumako tekulwa nebudlova bebulili","In a Joint Sitting of Parliament yesterday, the President tabled emergency measures to combat gender-based violence and ensure enhancement of the implementation of the outcomes of the 2018 Presidential summit of GBThe emergency measures announced by the President which will be implemented in the next six months include urgent legislative measures to curb GBV, urgent training of police, prosecutors and magistrates/judges who deal with GBV cases, urgent strengthening of the Judicial system, urgent inclusion of GBV in school curriculum, urgent",0.66693544
"[ 0.54079896 -0.11444027 -0.2039108  ...  0.7056085   0.77610606
  2.0974705 ]","[ 2.0336501e-02  1.4065750e-02 -6.4945205e-05 ...  1.5502588e-02
  5.7387361e-03  4.6577863e-02]",nekucinisekisa kwentiwa kancono kufezekiswa kwemiphumela yengcungcutsela yeLihhovisi laMengameli yekulwa ne-GBV yanga-2012 Letinyatselo letiphutfumako letimenyetelwe nguMengameli letitawufezekiswa kuletinyanga letisitfupha letitako tifaka ekhatsi,"establishment of more and capacitation of the Thuthuzela support centre The intervention also includes a special focus on men as the perpetrators of rape, abuse and killing of women and girlThese emergency measures will be undertaken by the proposed Gender-Based Steering Committee, which will be located in the Presidency, comprising government and the non-government (NGOs) structures to oversee implementatioThe President announced that resources, through the mainstreaming process within departmental budgets, would ensure implementation within the next six month",0.74122465
"[ 1.0865723   0.6064175  -0.08508239 ...  1.1290362   0.98175603
  0.29518992]","[ 0.02195112  0.00091851 -0.00025818 ...  0.03546402  0.00211377
  0.01173469]","tinyatselo temtsetfo letiphutfumako tekuvimba i-GBV, kuceceshwa kwemaphoyisa, bashushisi nabomantji/emajaji ngekushesha labukana nemacala e-GBV, kuciniswa kwenchubo yetebulungiswa ngekushesha, kufakwa ngekushesha kwe-GBV kukharikhulamu yesikolwa, kusungulwa ngekushesha kwetikhungo letinyenti tetinsita teThuthuzel Lolungenelelo lufaka ekhatsi kugcila ngalokukhetsekile kubobabe njengebabhebhetseli bekudlwengula, kuhlukubeta kanye nekubulawa kwabomake nemantfombatanLetinyatselo letiphutfumako titawentiwa Likomidi leBulili Leliholako leliphakanyisiwe, lelitawutinta eHhovisi laMengameli, lelitawufaka ekhatsi hulumende neTinhlangano letingekho ngaphasi kwahulumende (ema-NGO) letitawubukana nekufezekiswMengameli umemetele kutsi imitfombolusito, kunchubo lenkhulu kulwabiwomali lwematiko, lutawucinisekisa kufezekiswa kungakapheli letinyanga letisitfupha letitak","The assessment which was led by the Department of Planning, Monitoring and Evaluation (DPME) entailed consultations to obtain perspectives and insights from various stakeholder These included business, labour, academics, non-governmental organisations and various government department Colloquiums in this regards were also held, which included eminent persons from our continen The report highlights areas of progress such as universal access to basic education; expansion to higher education, access to free health services in the public sector and the implementation of the social wag",0.80483675
