ss,en,src_text,trg_text,Cosine_Score
"[ 0.89038324 -0.21916325  0.03675339 ...  0.5010316   0.8394617
  1.9248248 ]",[0.01039466 0.00256371 0.02043192 ... 0.01349563 0.00181677 0.03409466],"Ikhabhinethi beyihlangene ngaLesitsatfu, mhla ti-16 Imphala 2019, eTuynhuys, eKap Tindzaba letibalulekile taleLive1.","Cabinet met on Wednesday, 16 October 2019 at Tuynhuys in Cape Town Issues in the environment1.",0.86689186
"[ 0.337075   -0.14684679  0.24202868 ...  1.1813293   1.1532379
  1.4143251 ]","[ 0.00997474 -0.00063153  0.00342431 ...  0.03519866  0.0376513
  0.03238346]",Inkhomba yeMhlaba yeKuchudzelanaIkhabhinethi iyakwemukela loko lokutfolwe yiNkhomba yeMhlaba yeKuchudzelana yemnyaka yeMhlangano weTemnotfo weMhlaba lekhombisa kutsi iNingizimu Afrika seyikhuphuke ngetindzawo letisikhombisa; lokuyenta ihehe kakhulu batjalimali kanye nekwenteka kwekutsi ingakha ematfuba emisebenti ledzingeka kakhulLombiko ubeka kwekutsi iNingizimu Afrika seyibhalise,Global Competitiveness Index Cabinet welcomes the findings of the World Economic Forum s annual Global Competitiveness Index that shows South Africa has moved up seven places; making it more attractive for investors and the possibility of creating much-needed job The report states that South Africa has registered,0.87880105
"[ 0.16355866 -0.3300733  -0.41397843 ...  0.02854627  0.09300795
 -0.16684227]","[ 2.2233895e-03  4.3021708e-05  7.1657303e-04 ...  8.8075129e-04
 -7.8301067e-03 -1.5235413e-03]",inchubekelembili lenhle kakhulu,remarkable progress,0.7868934
"[3.1222323e-01 4.4315703e-02 9.1302249e-04 ... 1.0844966e+00 9.8618430e-01
 1.1880602e+00]","[ 0.00854832 -0.00125618  0.00835512 ...  0.02912622  0.04809696
  0.04690693]","mayelana nekhwalithi yesikhungo, njengekubuyisela lutinto lwemandla etikhungweni tembuso letinyenti, kanye nekwenta kancono lulawulo lolunemandla futsi lolongako lwemkhakha wahulumende kanye nekubusa ngekubambisanINingizimu Afrika iphindze yatfola emaphuzu la-100","with regards to institutional quality, such as in restoring the balance of powers across different state entities, and enhancing administrative efficiency of the public sector and corporate governanc South Africa also achieved a score of 100 for its",0.8596477
[1.1853778  0.17974672 0.10901508 ... 0.87420505 0.89462674 1.5127989 ],"[ 0.01612592 -0.00077102  0.00551109 ...  0.00604743  0.0387574
  0.04468778]","etimakethe tayo tekulingana lokutfutfukisiwe, temshwalensi kanye netikweleti , yaphindze futsi yaphuma yaba ye-19 emhlabeni wonkhe njengesikhungo setimal Lombiko uphindze futsi unika lelive emaphuzu lasetulu ngekuba","well-developed equity, insurance and credit markets , and ranked 19th globally as a financial hu The report also scores the country highly for having",0.8480947
"[ 0.82035625 -0.09557007  0.02150359 ...  0.42417717  0.81476796
  0.5653435 ]","[-0.00103094 -0.00156622  0.0033479  ...  0.00512637  0.01228708
  0.00801733]",nesakhiwonchanti setitfutsi lesihamba embili kulesigodzi,one of the most advanced transport infrastructures in the region,0.7768736
"[ 0.48520038 -0.01912262 -0.03311541 ...  0.9870265   1.6283169
  1.8907454 ]","[ 0.02251253 -0.00186869  0.00265639 ...  0.04449943  0.03983064
  0.0479048 ]",(liphume laba le-45) kwatsi ngebukhulu bemakethe (laba le-35).Lokutfola emaphuzu lancono kucinisekisa kutsi tingenelelo tahulumende ekuciniseni titini tekwakha tekuvusetela umnotfo seticala kukhombisa imiphumela lemihl Ikhabhinethi imema bantfu baseNingizimu Afrika kutsi bakhele kuloku lokuhle lesekuzuziwe lapho Sikhulisa iNingizimu Afrika Sikanyekany 2.,The improved ranking affirms that government s interventions in strengthening the building blocks of reviving the economy are beginning to yield positive result Cabinet calls on South Africans to build on these remarkable achievements as we Grow South Africa Togethe 2.,0.8282665
[1.2793651  0.20622653 0.17638886 ... 0.9540716  1.8410645  1.9096198 ],"[ 0.03418395 -0.00041639  0.01289919 ...  0.02687229  0.05663316
  0.0478192 ]","LutjalomaliIkhabhinethi iyalwemukela lutjalomali lwakaToyota yaseNingizimu Afrika eKenya lolutawenta lelive lihlanganise kabusha emakhithi eToyota Hilux lakhicitwe kusikhiciti salenkampani lesiseThekwin Loku kuhambisana nekutfutfukisa kuhwebelana ngekhatsi e-Afrika kanye nekucinisa umkhakha wekukhicita timoto kulelivekatNjengencenye yekuheha batjalimali labanye labanyenti, Mengameli Cyril Ramaphosa kulelive uphindze wakhulumisana nebatjalimali nebaholi bemabhizinisi laseceleni lengeta kuNgcungcutsela ye-6 ye-Financial Times Africa eLondo Wetfula inkhulumo yekuvula lengcungcutsela, lebeyigcile etindzabeni tebhizinisi nematfuba emaveni ase-AfrikYesibili Ingcungcutsela yeLutjalomali yeNingizimu Afrika itawubanjwa kusukela mhla ti-5 kuya kumhla ti-7 Lweti 2019.","This is in line with advancing intra-African trade and strengthening the automotive manufacturing sector in the continen As part of attracting more investors, President Cyril Ramaphosa this week also engaged investors and business leaders on the sidelines of the 6th Financial Times Africa Summit in Londo He delivered the opening address at the summit, which focused on business affairs and opportunities in African countrie The second South Africa Investment Conference will take place from 5 to 7 November 2019.",0.860082
"[ 0.94340146 -0.15341192 -0.11823875 ...  0.81389296  1.8201554
  1.5064436 ]",[0.02494191 0.00085414 0.00158797 ... 0.02759226 0.03412759 0.01573565],Lekhomfa itawuphindze futsi ifune kugcogca ihlanganise tigidzigidzi tetigidzigidzi leti-Rkulutjalomali lolusha kuleminyaka lesihlanu letako iphindze futsi ikhutsate lelive kutsi libe yindzawo yekutjala imali lenconotwak 3.,"The conference will again seek to mobilise Rtrillion in new investments over the next five years and promote the country as a preferred investment destination Water conservation As we approach the summer months, Cabinet calls on all people in South Africa to use water wisely and sparingl",0.75313437
"[ 1.2812723   0.34852675 -0.14514448 ...  1.7435229   1.9225777
  2.387346  ]","[ 0.04318714 -0.00033802  0.0066793  ...  0.01749638  0.04990139
  0.05795027]","Kongiwa kwemantiLapho sisondzela etinyangeni telihlobo, Ikhabhinethi icela bonkhe bantfu baseNingizimu Afrika kutsi basebentise emanti ngekuhlakanipha nangekuwong Ikhabhinethi iphidze futsi incoma emalunga emmango ngekuchubeka nekubeketela ngesikhatsi sekuvalwa kweMklamo weManti weLesotho Highlands lebekuhlelwe Tiphatsimandla teKutfutfukiswa kweLesotho Highlands kanye neTiphatsimandla te-Trans-Caledon Tunnel ngeMphala nangeLweti 2019.",Cabinet also commends members of the public for their continued patience during the planned shutdown of the Lesotho Highlands Water Project by the Lesotho Highlands Development Authority and the Trans-Caledon Tunnel Authority during October and November 2019.,0.8212023
