ts,en,src_text,trg_text,Cosine_Score
"[ 1.6657157  -0.04601862 -0.29967648 ...  1.6215091   1.1398438
  0.75143313]","[ 0.03643501 -0.00062304 -0.00039118 ...  0.04449521  0.03910555
  0.01157768]","Xiyimo xa Khabinete mayelana na timhaka ta nkoka eka nkarhi wa sweswi Khabinete yi joyina rixaka na vaaki va matiko ya misava eka ku khongelela tata wa rixaka, khale ka Phuresidente Nelson Mandel Eka nkarhi lowu wo tika, hinkwerhu ka hina a hi kombiseni rirhandzu na ntwelavusiwana na ku endla leswaku Madiba a tinyungubyis","Cabinet joins the nation and the international community in praying for the father of the nation, former President Nelson Mandel At this difficult time, let us all show love and compassion and make Madiba prou",0.8725828
"[ 0.6787957  -0.05868518  0.09027118 ...  1.0016218   1.6404719
  1.1030015 ]",[0.0074142  0.00076929 0.00824418 ... 0.01545785 0.04434732 0.02837804],Khabinete yi tivisiwile hi siku ra xitsundzuxo ra vu 58 ra ku sayiniwa ka Tsalwa ra Ntshuxeko leri sayiniweke hi siku ra 26 Khotavuxika 1955 leri nga masungulo ya xidemokirasi na Vumbiwa ra hin Khabinete yi kombela maAfrika-Dzonga hinkwavo ku,Cabinet noted the 58th anniversary of the signing of the Freedom Charter signed on the 26th June 1955 which is the foundation of our democracy and Constitutio Cabinet calls on all South Africans to,0.8856721
"[-0.23271672 -0.93411016  0.8060342  ... -0.20630954  0.33175015
  0.24084282]","[-0.00188318 -0.00081121  0.01650468 ...  0.00225723  0.00533891
  0.00380338]",Tlanga Xiphemu xa Vona,Play Your Part,0.84332585
[0.28222254 0.8990355  0.05776224 ... 0.97012854 0.9627262  1.6881498 ],"[ 0.02176938 -0.00094855  0.00710172 ... -0.00104089  0.02532698
  0.04696469]","xa ku teka tiko ku va kusuhi na xivono xa Afrika-Dzonga leri nga xilo xin we, ro ka ri nga yi hi rixaka, ro ka ri nga yi hi rimbewu, ra xidemokirasi na ku humelel Khabinete yi amukela ku tiyimisela ku sungula hi vuntshwa hi Ndzawulo ya Rihanyo, kun we na valavisisi ku lawula timhaka leti vangaka mitlhontlho eka matshalatshala man we eka ku lwisana na HI Nakambe Khabinete yi amukela milulamiso hi Ndzawulo ya Rihanyo eka ku tivisa ku nghenela lokuntshwa ko tala eka swiyenge leswi nga kona leswi katsaka ku lemukisa hi HIV na AIDS, na magoza yo hunguta khombo ra ntlulelo wa HI Khabinete yi rhumela marito yo chavelela mayelana na nhlaselo lowu khomisaka tingana eka Nhlangano wa Matiko (UN) hi Nhlangano lowu Tivekaka eMogadishu, eSomalia hi siku ra 19 Khotavuxika 2013 leswi nga siya 15 wa vanhu lava hundzeke emisaveni ku katsa maAfrika-Dzonga vambirh Hi kombela mitlawa hinkwayo ya swa tipolitiki ehandle ka maendlelo ya swa tipolitiki eSomalia ku byela vanhu ku venga madzolonga na ku tivisa swivilelo swa vona eka Mfumo wa Nhlengelo wa Somalia hi ndlela ya kahle na ndzivalelan Khabinete yi kombela maAfrika-Dzonga hinkwavo ku tinyiketela 67 wa timinete ka nkarhi wa vona hi Siku ra Nelson Mandela (18 Mawuwani) ku pfuna ku cinca miganga ya ka vona na Afrika-Dzonga ku va kahl Nkhuvo wa lembe leri wu ta tlangeriwa ehansi ka nhlokomhaka leyi nge","Cabinet welcomes the launch of the Department of Basic Education campaign called 94+ Projects for Madiba to celebrate Nelson Mandela s birthday and legac The campaign aims to improve infrastructure in over 94 schools to become state-of-the-art institutions of quality learnin The campaign gives hope and dignity to schools across the countr During Mandela Month from July 2013, the department will be leading the handover of completed new schools per week as part of the commitment to improve quality basic educatio",0.80751234
"[ 1.1527543  -0.11410228 -0.14108367 ...  0.47709233  0.9699158
  1.8197956 ]","[ 0.02562277 -0.00078416  0.00147889 ...  0.00489066  0.03733931
  0.03805981]",Teka goza; tlhontlha ku cinca; endla leswaku siku rin wana na rin wana ri va Siku ra Mandela,Take action; inspire change; make every day a Mandela Day,0.85489684
"[ 0.64105266  0.19373398 -0.06269168 ...  0.918236    0.46929774
  1.3820473 ]",[0.01231127 0.00678089 0.00169792 ... 0.03154896 0.02103291 0.04293018],"hi ku kongomisa eka nsirhelelo wa swakudya, ndhawu yo tshama na vuswikoti byo hlaya no tsal Khabinete yi tivisiwile leswaku tanihi xiphemu xa Siku ra Nelson Mandela, xiyenge xa phurojeke yo sunguriwa ya makhadi ya vutitivisi ya Smart ID yi ta simekiw Ku simeka loku i ku fikelela nkoka wa hina ka swa khale na ku herisiwa ka nkarhi wo karhi wa matimu ya mapasi eAfrika-Dzong Smart ID i khadi leri nga na ku hlangana na vuswikoti byo amukela vuxokoxoko ku suka eka vatirhisani va nkarhi wa sweswi na va nkarhi lowu tak Holobye wa Ndzawulo ya Timhaka ta Xikaya u ta nyika vuxokoxoko byo tala eka xitiviso xo koma lexi kunguhatiweke ku nga ri khal Khabinete yi amukela ku simekiwa ka pfhumba ra Ndzawulo ya Dyondzo ya Masungulo leri vuriwaka 94+ Tiphurojeke ta Madiba eka ku tlangela siku ra yena ro velekiwa na ndzhaka ya Nelson Mandel Pfhumba ri kongomisa eka ku antswisa miako yo tlula 94 wa swikolo ku va swi hundzuka tindhawu to dyondzela ta xiyimo xa le henhl Pfhumba ri nyika ku tshemba na ntikelo eka swikolo etikweni hinkwar Hi nkarhi wa Nhweti ya Mandela ku suka hi Mawuwani 2013, ndzawulo yi ta rhangela ku nyikeriwa ka swikolo leswintshwa leswi nga hela hi vhiki tanihi xiphemu xa ku tiboha ku endla xo karhi ku antswisa nkoka wa dyondzo ya masungul Khabinete yi amukela ku hetisiwa na ku nyikeriwa ka Buloho ra Ndzhaka ra Hosi Dalibhunga eka muganga wa Mvezo lowu rhangeriwaka hi Mandla Mandela, ntukulu wa khale ka Phuresidente Nelson Mandela, hi siku ra 18 Mawuwani 2013.","Cabinet noted that as part of the Nelson Mandela Day, the phased roll-out of the Smart ID card will be launche This launch is a significant break with our past and the end of the passbook era in South Afric The smart ID is a contactless card with a capability to accommodate information from various stakeholders now and in futur The Minister of Home Affairs will provide more details in planned briefing in due cours",0.8371813
"[ 0.9444964   1.5060412  -0.02243255 ...  1.2368137   0.82511204
  0.77696615]",[0.02911056 0.06297566 0.00493125 ... 0.02306831 0.0231762  0.00751566],"Ku nyikela swi ta kotlana na siku ra ku velekiwa ka khale ka Phuresidente Tatana Nelson Mandela, loyi a nga ta va na 95 wa malembe hi vukhale hi siku ler Khabinete yi tivisiwile hi nkhuvo wa xitsundzuxo eAfrika-Dzonga, wa Siku Nhlangano wa Matiko ya Misava ra ku lwisana na Ku tirhisiwa ka Swidzidziharisi hi ndlela yo Biha na ku yirisiwa ka ku Ngungumerisa hi siku ra 26 Khotavuxika 2013, eKimberle Siku leri a ri tirhisiwa ku tshikilela nkoka wa ku tirhana na mitlhontlho leyi nga hlangana na misava, ku katsa vugevenga, HIV na AIDS, ku tsana ka vumunhu, madzolonga ya le mindyangwini na ku biha emirini ka lavantshw.","Cabinet noted South Africa s commemoration of the United Nations International Day against Drug Abuse and Illicit Trafficking on 26 June 2013, in Kimberle The Day was used to emphasise the importance of dealing with challenges facing the world, including crime, HIV and AIDS, moral degeneration, domestic violence and teenage pregnanc	.",0.8462031
[0.3769072  0.35805947 0.11658996 ... 1.2743653  0.45564064 0.4465253 ],"[ 0.0163801   0.00247851 -0.00015297 ...  0.01147028  0.03764055
  0.02121151]","Khabinete yi amukela ku rhurheriwa ka Nhlengeletano ya Sayense, Thekinoloji na Vutumbuluxi leyi nga ta va kona ku suka hi masiku ya 20 ku fika 21 Mawuwan Nhlengeletano yi ta vulavula hi swibumabumelo swa xiviko xa Komiti yo Kambela ya swa Vuholobye, ku antswisa vukondleteri na ku hlanganisa exikarhi ka Maendlelo ya Tiko ya Vutumbuluxi na ku ndlandlamuxa mbulavurisano exikarhi ka mfumo, vumaki na xiyenge xa dyondz.","The summit will address a recommendation of the Ministerial Review Committee report, improved coordination and integration within the National System of Innovation and strengthened dialogue between government, industry and academi	.",0.8238383
"[ 0.61397594  0.09365821 -0.01942932 ...  1.1237806   0.92625797
  1.4813247 ]","[ 1.7604835e-02 -1.1987005e-03  8.5142456e-05 ...  4.1910052e-02
  9.7090835e-03  4.7422320e-02]","Khabinete yi amukela xiviko xa nhluvuko lowu endliweke emugangeni wa ka Muyexe eGiyani, eXifundzeninkulu xa Limpopo eka vuhumelerisi bya ku tiboha ku endla swo karhi leswi endliweke hi mfumo ku antswisa vutomi bya vanh Khabinete yi yisa emahlweni yi vuyelela ku vilela ka Phuresidente ka leswaku swiyenge hinkwaswo swa mfumo swi fanele ku hatlisisa vukorhokeri ku ya hilaha hi makungu lama ku twananiweke ha won.","Cabinet welcomes the report on progress made in Muyexe village in Giyani, Limpopo province in the implementation of commitments made by government to improve the lives of the peopl Cabinet further echoed the President s concern that all levels of government should speed up delivery as per the agreed plan	.",0.8984535
"[ 0.72890526 -0.15691991 -0.09946629 ...  0.55522925  0.88079464
  0.97137666]",[0.02122176 0.00255803 0.0017348  ... 0.02288259 0.01887554 0.02820562],"Khabinete yi amukela nsimeko wa SIP-18 hi Mugqivela, hi siku ra 29 Khotavuxika 2013 leswi hlamuselaka eka timhaka ta miako hi xikongomelo xa mphakelo wa mati na nkulul Phurojeke yi ta vona leswaku ku nyikiwa ka mphakelo wa nkarhi wo leha wa mati ku fikelela swilaveko swa vaaki na ku seketela ku kula ka ikhonom.","Cabinet welcomes the launch on Saturday, 29 June 2013 of SIP-18 which relates to the issues of infrastructure for the purpose of delivering on water and sanitatio The project will ensure the provision of sustainable supply of water to meet social needs and support economic growt	.",0.89045024
