tn,en,src_text,trg_text,Cosine_Score
[0.4366518  0.44736776 0.01793765 ... 0.87592506 1.2355967  1.0329367 ],[0.01372402 0.05552156 0.00196921 ... 0.01895779 0.00923167 0.01863729],"Kabinete e ne e tshwere kopano ya yona ka la bo, 7 Seetebosigo 2017, kwa Tuynhuys, Motsekapa Merero ya ga jaanong Kabinete e boeleditse boikuelo jwa ga Moporesitente Jacob Zuma jwa gore maAforika Borwa a tshwaragane kgatlhanong le tirisodikgoka le go bogisiwa ga basadi le bana, le go ikuela mo go maAforika Borwa otlhe go tsaya dikgato ka ponyo ya leitlho tsa go fedisa setlwaedi seno mo metseng ya ronSeno se latela leeto la ga Moporesitente kwa Elsies River, kwa Motsekapa, mo go tshegetseng letsholo la Imbizo la Ntwa Kgatlhanong le Boseny Leeto leno gape le nopotse go nna mo tlalelong ga basadi le bana mo metseng ya ronMoporesitente o ne a swetsa ka gore o tla boela kwa lefelong leno go tlhotlhomisa dikgwetlho tse dintsi tsa bosenyi le dipolao, bogolosegolo mo baneng le gore boramolao ba tla tokafatsa jang ditirelo tseo ba di abelang baagi ba fo Kabinete e amogetse go phasaladiwa ga pegelo ya Dipatlisiso tsa Malapakakaretso tsa 2016, e leng seo se tsweletseng go bontsha kgatelopele e e leng teng mo go tsenyeng tirisong manaane a puso mabapi le go tokafatsa matshelo a maAforika Borwa, bogolosegolo a baagi bao mo malobeng ba neng ba sa neelwe dit honDipalo di bontsha gore puso e dira go tlala seatla mo go tlameleng baagi ka dintlo, mo malapa a maAforika Borwa a nnang mo dintlong tsa","Issues in the Environment Cabinet reiterates President Jacob Zuma s call for South Africans to unite against violence and abuse of women and children, and calls on all South Africans to take urgent steps to eradicate this scourge in our communitie This follows the President s visit to Elsies River in Cape Town in support of the Fight against Crime Imbiz This visit once again highlighted the vulnerability of women and children in our societThe President undertook to return to the area to look into the many challenges of crime and murder, especially of children and how law-enforcement authorities would improve their services to the communit Cabinet welcomes the release of the General Household Survey 2016, which continues to show progress in the implementation of government programmes to improve the lives of South Africans, especially the previously disadvantaged communitie The statistics show that government is making inroads in providing housing, with South African households living in",0.8700711
[0.6102621 0.3778628 4.805023  ... 1.1342791 0.7744359 1.5987748],"[ 0.00436155 -0.00046618  0.10326497 ...  0.02534816  0.01753017
  0.008768  ]","kgotsa mo dintlong tseo puso e thusanang le moreki go di duelela ka dipalo tse di oketsegileng go tloga mo go 5% ka 2002 go fitlha mo go 13,5% ka 2016.Dipatlisiso tseno gape di bontsha gore manaane a thuso ya tlhokomelo ya set haba a oketsegile go tloga mo go 12,7% ka 2003 go fitlha mo go 29,7% ka 2016.Gape go na le koketsego e e nopotsweng mo go tlameleng ka metsi, motlakase le kgeleloleswe, e leng sengwe se se botlhokwa thata mo maitlhomong a pusong ya Aforika Borwa a go baakanya diphoso tsa puso ya tlhaolele ka go tlamela baagi botlhe ka ditlamelo tsa motheKabinete, le fa go le jalo, e nopotse gore le fa ikwadiso kwa thutong e kgolwane e oketsega, le fa e le ka lebelo le le kwa tlase, ke bathobatsho ba le 3,3% ba ba mo magareng ga dingwaga di le 18 le 29 ba ba ithutelang pele fa go bapisiwa le 18,8% ya maIndia/maAsia mme 17,5% ke ya basweu mo bathong ba dingwaga tse di nopotswenKe fela 3,5% ya makhalate ao a neng a ithutela pele mo ngwageng wa 2016.Dipatlisiso di bontshitse gape le phokotsego go tloga mo go 23,8% go fitlha mo go 11,8% ya malapa a a robalang ka tlala, e leng sesupo sa kgatelopele mo go samaganeng le baagi ba ba leng mo khumanegong e e tseneletsen Kabinete gape e tsibogetse Dipatlisiso tsa Badiri mo Kotareng tseo di dirilweng mo kotareng ya ntlha ya ngwaga tseo di bontshitseng fa ikonomi e kgonne go tlhola gape ditiro tse dingwe di le 144 000.","The survey also shows that government s social-assistance programmes indicates an increase from 12, 7% in 2003 to 29,7% in 2016.There is also a marked increase in access to water, electricity and sanitation, which is an important marker for the South African Government s ambition to redress the wrongs of apartheid and provide basic services to all the peoplCabinet has, however, noted that while higher education enrolments are on the increase, albeit at a slow pace, only 3, 3% of black Africans aged 18 to 29 years were studying as opposed to 18, 8% of Indian/Asian individuals and 17, 5% of the white population in this age grou Only 3, 5% of the coloured population was studying during 2016.The survey further indicated a decrease from 23, 8% to 11, and 8% of households that experienced hunger, which shows progress in addressing communities living in extreme povert Cabinet noted the Quarterly Labour Force Survey for the first quarter of the year that showed the economy adding 144 000 job These numbers were offset by an increase in the number of job-seekers by 433 00 peopl Cabinet reaffirms its commitment to continue partnering with the private sector and labour in its attempts to address the country s unemployment challenge Cabinet welcomes the launch of the refurbished Babelegi Industrial Park in Hammanskraal as part of government s plans to accelerate economic development and job creation in the are The R42-million project is part of government s Revitalisation of Industrial Parks Programme and one of six parks that are being revitalised across the country for broader economic and industrial developmenCabinet encourages local industries and businesses to consider expanding operations to industrial parks to access the various support measures which are available to further develop their businesse Cabinet was briefed by Minister of Finance, Mr Malusi Gigaba, on the latest South Africa s Gross Domestic Product (GDP) figures, which contracted",0.87379164
[1.0141034 0.2254668 3.2487187 ... 0.8805706 0.8298462 1.4356304],"[ 0.00268142 -0.00062358  0.04526813 ...  0.03688131  0.03155871
  0.03614649]","Dipalo tseno di rotloeditswe ke koketsego ya batho ba le 433 000 bao ba senkang ditirKabinete e gatelela maikemisetso a yona a go tswelela go dirisana mmogo le lekala la poraefete le mekgatlho ya badiri mo maitlhomong a yona a go samagana le dikgwetlho tsa naga tse di mabapi le botlhokatir Kabinete e amogetse go thankgololwa ya Intaseteri ya Diphaka ya Babelegi kwa Hammanskraal jaaka karolo ya puso ya go potlakisa tlhabololo ya ikonomi le go tlhola ditiro mo lefelong lePorojeke eno e e jeleng R42 milione ke karolo ya puso ya Lenaane la Tsosoloso ya Mafelo a Diintaseteri mme gape ke le lengwe la mafelo ao a le marataro ao a tsosoloswang mo nageng gore a kgone go tlhabolola ikonomi ya diintaseterKabinete e rotloetsa diintaseteri tsa fa gae mmogo le dikgwebo go ka fudusetsa dikgwebo tsa bone kwa mafelong ao a diintaseteri gore ba iponele ditshegetso tse di farologaneng tseo di leng teng go ka atolosetsa pele dikgwebo tsa bon Kabinete e ne ya tsiboswa ke Tona ya Matlole, Rre Malusi Gigaba, ka tshedimosetso ya jaanong e e ka ga dipalo tsa Seelosotlhe sa Ditlhagisiwa tsa Naga mo Ngwageng (GDP) sa Aforika Borwa, seo se aparetsweng ke 0,7% mo kotareng ya ntlha ya 2017.Dipoelo tse di bokoa thata tseno tseo di neng di sa solofelwa di kwa tlase thata go gaisa tsa Tshekatsheko ya Tekanyetsokabo ya 2017, tseo di neng disolofetse kgolo ya GDP mo ngwageng wa 2017 go gola ka 1,3%.","The agriculture, forestry and fishing industry rebounded in the first quarter of 2017 with an increase of 22, 2%.There are green shoots that the country can leverage to boost its own economic growth outloo These include improving global growth, stabilising commodity prices, more favourable climate conditions, reliable electricity supply and less volatile labour relationAs a matter of urgency, Cabinet calls on business, labour and the broader society to partner with government to intensify our growth programme and improve confidence so as to arrest the decline and set the economy on a higher trajectory, to achieve inclusive economic growt In this regard the Minister of Finance will meet with business leaders in a bid to formulate strategies to counter economic recession and achieve inclusive growtCabinet endorsed a full media briefing by the Minister of Finance to share with South Africans the interventions government will embark upon within the current budget framewor Cabinet further reaffirms the adopted budget framework for the countr The rating agencies Fitch and Standard & Poor s affirmed South Africa s long-term foreign currency debt ratings of",0.8367623
"[ 0.5402332  -0.07047293  0.6434581  ...  1.2934763   1.9878026
  2.4604986 ]","[1.0643227e-02 6.4776752e-05 3.9638649e-03 ... 3.1844024e-02 4.5678124e-02
 2.1778775e-02]","Seno, gareng ga tse dingwe, se tlhodilwe ke go se dire sentle ga tlhagisodikuno, kgwebisano, diintaseteri tsa dijo le tsa marobalLe fa go le jalo, ikonomi e ne e sa tshegediwa ke kgolo mo intasetering ya meepong le ya mo mawatleng e leng e e tlhatlogileng ka 1.","This has been attributed to, among other things, the contraction of the manufacturing, trade, catering and accommodation industrieThe economy was nevertheless supported by growth in the mining and quarrying industry which increased 1.",0.8653391
[0.7077472  0.13448113 1.6991359  ... 1.2116859  0.8192341  1.1581653 ],"[ 0.01979864 -0.00135362  0.00324526 ...  0.03008545  0.02170202
  0.01490396]","Temothuo, intaseteri ya dikgwa le boreatlhapi di itharabologetswe mo kotareng ya ntlha ya 2017 ka koketsego ya 22,2%.Go na le dikgato tseo naga e ka di tsayang go thusa go tshegetsa sebopego sa kgolo ya ikonomi ya yon Tseno di akaretsa go tokafatsa kgolo mo lefatsheng, go somarela ditlhwatlhwa tsa dithoto, go nna le maemo a loapi a a siametseng naga, go nna le tlamelo ya motlakase e e tshepagalang le go nna le dikgogakgogano tsa badiri tse di senang tshenyKabinete e ipiletsa mo dikgwebong, mekgatlhong ya badiri le mo set habeng ka botlalo go dirisana le puso mo go matlafatseng manaane a rona a kgolo ya ikonomi le mo go direng gore babeeletsi ba nne le tshepo e kgolo mo nageng ya rona gore re kgone go kgaotsa kwelotlase mme re kgone go godisa ikonomi, go fitlhelela kgolo ya ikonomi e e akaretsang botlhMo ntlheng eno, Tona ya Matlole e tla kopana le baeteledipele ba dikgwebo mo maitekong a go tlhama ditogamaano tse di tla samaganang le kwelotlase ya ikonomi le go ka fitlhelela kgolo ya ikonomKabinete e amogetse tsiboso ka botlalo ya bobegakgang e e dirilweng ke Tona ya Matlole go tsibosa maAforika Borwa ka ga dikgato tseo puso e tla di tsayang go latela letlhomeso la ga jaana la tekanyetsokab Kabinete gape e ne ya gatelela go amogelwa ga letlhomeso la tekanyetsokabo la nag Ditheo tsa Tshekatsheko Maemo a Ikonomi e leng sa Fitch le sa Standard & Poor s ba netefaleditse gore Aforika Borwa e balelwa mo maemong a dikoloto tsa pakatelele tsa madi a dinaga tsa kwa ntle a","Cabinet welcomes the 2017 Report from the International Congress and Convention Association, which continues to rank South Africa as the top business events destination in Africa and the Middle Eas The report was released in May 2017 in Frankfurt, GermanSouth Africa remains one of the world s most popular tourist destinations and continues to top the rankings also on the World Economic Forum Travel s global travel and tourism competitiveness index as released in April 2017.Cabinet would like to see more of South Africa s smaller towns and cities bidding for smaller meetings where they can meet the hosting requirement This will help to improve the geographic distribution of tourism beyond the major centres and spread the wealth generated by these events more equitabl.",0.8271291
"[ 0.40712443  0.33869988 -0.06326213 ...  0.7258025   0.7829118
  0.9729843 ]","[ 1.1679085e-02  2.0427665e-02 -2.0027053e-05 ...  2.3796976e-02
  1.9070528e-02  9.7978441e-03]","BB+ .Seno se tla morago ga gore Tona Gigaba a buisane le makala a poraefete go netefatsa gore tiro e e kopanetsweng ya puso, kgwebo, mekgatlho ya badiri le set haba e a tswelela, le gore maikano a a tserweng a a diragadiwKabinete e gateletse gore maAforika Borwa a tshwanetse go tswelela go dira ba tshwaragane, bogolosegolo fa fo na le mathata mme ba dire ka natla go netefatsa gore naga e boela mo maemong a yona a dipeelets Kabinete e amogetse ditsereganyo tse di dirilweng kwa kopanong ya Komiti ya Botsamaisi e e Kopanetsweng tebang le Dimaraka tse di Tlwaelegileng tsa Borwa (MERCOSUR) le tsa Mokgatlho wa Lekgetho wa Dinaga tsa Borwa jwa Aforika (SACU) mo malobeng o o tshwaretsweng mo nagenMakoko a dumelane gore mmogo a tla sekaseka dit hono tsa go tsholetsa Tumelano ya Dikgwebisano tse di Tlhokegang (PTA) ya MERCOSUR ka go akaretsa ditheo tsa yona tsa tsholetso ya dikgwebisano, mekgatlokitso ya dikhomese, makala a poraefete mmogo le Dintlo tsa Boambasatara mmogo le tsa barongwa ba batswantlPTA ya MERCOSUR-SACU e tlamela baitseanape ba fa gae ka dit hono tsa go tsenela dimaraka tsa go feta batho ba ba fetang ba le 280 milionKabinete e ikuela mo go bagwebi ba naga ba diromelwantle go tsaya t hono eno ya PTA ka fa ditlhagisiwa tsa ka fa nageng ga jaana di kgona go tsena mo lenaneong la MERCOSUR ka lekgetho le le tlhokegang la ditlhagisiw Kabinete e swabisitswe ke tshwetso ya Amerika (USA) ya go ikgogela morago mo Tumelanong ya PariTumelanong ya Paris, eo e tla simololang go dira ka botlalo ka 2020, e ikaegile ka seabe sa tsenyoletsogo seo dinaga ka bo tsona se itlhophetseng sone e le go fitlhelela dipeelo tsotlhe tseo dinaga ka bo jotlhe mo lefatsheng di di utlwanetsenAforika Borwa e ikueletse mo nageng ya Amerika go ipatla e ipatlisise ka tshwetso ya bone mme e swetse ka go boela mo thulaganyong eno ya dinagants Mmemorantamo wa Ditumelano (MoU) magareng ga Novartis, Lekgotla la Dipatlisiso ka tsa Boitekanelo la Aforika Borwa mmogo le Lefapha la Saense le Thekenoloji o rulaganyetsa tsela ya go tshegetsa bontsi jwa ditekelelopatlisiso tsa boitekanelo le go tlhoma bokgoni jwa dipatlisiso mo kontinentenTumelano eno tla kgontsha gore go nne le manaane a dipatlisiso a a kopanetsweng mo malwetseng a a nopotsweng a a fetelanang le a a sa fetelaneng, ya tokafatsa phitlhelelo ya maAforika Borwa ya melemo e e sa tswang go tlhamiwa mmogo le go godisa bokgoni jwa dipatlisiso mo nageng le mo kontinentenKabinete e dumela gore go santse go tlhokagala gore go nne le terisanommogo magareng ga ditheo tsa puso le tsa poraefete, e ga e na pelaelo gore tseno di ka kgona go samagana le dikgwetlho tse dintsi tse go tobanweng nats.","BB+ .This comes amid Minister Gigaba s engagements with the private sector to ensure that the joint work of government, business, labour and civil society continues, and that the pledges made are fulfilleCabinet reiterates that South Africans must continue to act in unison, especially during difficult times and work even harder to ensure that the country reclaims its investment grade statu Cabinet welcomes deliberations at the inaugural Joint Administration Committee for the Common Market of the South (MERCOSUR) and the Southern Africa Customs Union (SACU) recently held in the countrThe parties agreed to jointly consider opportunities to promote the MERCOSUR-SACU Preferential Trade Agreement (PTA) by including their trade promotion agencies, chambers of commerce, private sector, and their respective embassies and foreign mission The MERCOSUR-SACU agreement provides local exporters with the opportunity to tap into a market of more than 280-million peoplCabinet calls on all the country s exporters to take advantage of the PTA as local products are now able to enter the MERCOSUR bloc at preferential duty rate Cabinet expressed regret at the decision of the United States of America (USA) to withdraw from the Paris AgreemenThe Paris Agreement, which will be fully operational by 2020, is premised on contributions determined by countries themselves towards collectively agreed global goalSouth Africa has called on the USA to reconsider its position and recommit to the multilateral proces The Memorandum of Understanding between Novartis, the South African Medical Research Council and the Department of Science and Technology, paves the way to boost the volume and quality of clinical trials and build research capability on the continenThe agreement will allow for joint research programmes in selected communicable and non-communicable diseases, improve South African patients' access to innovative medicines, and build the country and continent's research and development capabilitieCabinet believes that there is room for more public-private partnerships, and is convinced that these can lead the way in addressing the many pressing challenges we fac",0.86264426
[0.7367354  0.05193153 0.40955377 ... 0.86391884 1.2116393  1.9167786 ],[0.01260694 0.02105279 0.01411015 ... 0.03182274 0.01259042 0.03725845],"Kabinete e amogetse Pegelo ya 2017 go tswa kwa Mokgatlhong wa Bodit habat haba wa Kgothakgothe le Kopanokgothakgothe, o o tswelelang go balela Aforika Borwa mo maemong a a kwa godimo mo go tshwareleng mekete ya dikgwebo mo Dinageng tsa Aforika le mo Dinageng tsa Botlhabagar Pegelo e ne ya gololwa ka Motsheganong 2017 kwa Frankfurt, GermanAforika Borwa e tswelela go nna e nngwe ya dinaga tse di itsegeng thata mo lefatsheng tsa bojanala mme e tswelela go balelwa kwa maemong a a kwa godimo mo Foramong ya Ikonomi ya Lefatshe mo Maetong a go eta leftshe ka bophara mmogo le mo go bapisiweng ga maemo a dikgaisanong tsa bojanala jaaka go phasaladitswe ka Moranang 2017.Kabinete e ka rata go bona tse dingwe tsa ditorotswana tsa Aforika Borwa di tsenela go ka nna baamogelabaeng ba dikopano tse dinnye moo ba ka kgonang go fitlhelela ditlhokwa tsa go nna baamogelabaen Seno se tla kgontsha go tokafatsa go anama ga bojanala go feta ditikwatikwe tse dikgolo mmogo le go phasaladiwa ka go lekalekana merokotso e e tlisiwang ke go tshwarwa ga mekete en.","that are purported to implicate Ministers, officials and private individuals in alleged wrongdoinCabinet remains fully committed to good governance and at the same time, it also notes that all persons are presumed innocent until proven guilty in terms of our ConstitutioCabinet urges all who have information about any wrongdoing by government officials or Ministers to inform the law-enforcement agencies so that investigations can be undertakeIt is aware that some cases have already been opened, and the police are undertaking the necessary investigation All who are affected by the emails are urged to cooperate with the law-enforcement agenciePresident Zuma has rebutted the allegation that was published by a Sunday newspaper that he owns a house in Dubai in the United Arab Emirates Cabinet decisions Cabinet was apprised of the 4th performance quarterly progress reports for 2016/17 (January-March 2017) on the implementation of priority outcomeCabinet s oversight over the implementation of the Medium Term Strategic Framework 2014 to 2019, results in improved service deliver This takes us closer to the realization of the National Development Plan s (NDP) Vision 2030.Government has made considerable progress in implementing its 14 priority outcomes and advancing the objectives of the ND Challenges affecting implementation and action required to improve delivery were also identifieThe GCIS is coordinating cluster media briefings, which are scheduled to take place from 9 to18 June 2017.",0.8157595
[0.7447205  0.63813376 0.3161795  ... 0.7555081  1.0039628  1.0620866 ],"[ 3.22928354e-02  1.18558705e-02 -5.83048604e-05 ...  1.95992496e-02
  8.33876338e-03  1.35303615e-02]","Kabinete e ikuela mo go maAforika Borwa go nna ba ntshitse matlho dinameng kgatlhanong le dikgang tseo e leng tsa maaka, bogolosegolo mo mafaratlhatlheng a ditlhaeletsano mabapi le basetsanyana le basadi ba ba latlhegileng, ba ba utswitsweng le ba ba thopilweng ka dikgok Mebudubudu e e runtseng kwa KwaMashu, gaufi le Durban ka ntlha ya go phasaladiwa ga dikgang tsa maaka tse di ka ga go utswiwa ga bana mo lefelong leo mmogo le tse di ka ga go thopiwa ka dikgoka ga mosetsanyana kwa Naledi, Soweto ka mokganni wa Toyota Quantum eo go neng ga phasaladiwa le dinomoropolata tsa yona di ne tsa tuma thata mo mafaratlhatlheng a ditlhaeletsano, mme kwa bokhutlhong go ne ga lemogwa gore ga di nna bonnetMatshosetsi ano le dikgang tseno tsa maaka le go phasaladiwa ga tshedimosetso e e senang boammaruri di dira gore baagi ba nne mo letshogong mme gape di senyetsa sepodisi nako le didirisiw Re ikuela mo baaging go se phasalatse le go se abelane dikgang tse di senang boammaruri mo mafaratlhatlheng a ditlhaeletsano, go fitlha ba nna le bonnete jwa gore ke tsa boammarur.","Cabinet calls on South Africans to be vigilant of fake news, in particular the increase in false posts on social media over missing, kidnapped and abducted girls and wome The recent outbreak of violence in KwaMashu, near Durban over fake reports of children being abducted in the area and the alleged abduction of a girl in Naledi, Soweto by persons in a Toyota Quantum with registration number included went viral on social media, which was later found to be untruThese hoaxes, fake news and the dissemination of false information cause panic among our communities and waste time and resources of the polic We appeal to people not to repost and disseminate fake news on social media, until they have verified the authenticit.",0.8940252
"[ 0.30201113 -0.49962646 -0.58708143 ... -0.16502623 -0.28862402
  1.034543  ]","[-0.00164478 -0.00301828  0.00062759 ...  0.00708716  0.00240758
  0.02499706]",Kabinete e tshwentswe thata ke dipegelo tsa bobegakgang tse di ka ga,Cabinet has noted with serious concern the media reports on the,0.7321515
"[ 0.50052595 -0.64000064 -0.71656454 ... -0.24043407  0.37931782
  0.09686843]","[ 0.00841915  0.00048203 -0.00094202 ...  0.00689763  0.0004645
 -0.00072479]",diimeili tse di phasaladitsweng ntle le tetla ya beng ba tsona mme go sena bonnete ka ga tsone,leaked emails,0.64195013
