tn,en,src_text,trg_text,Cosine_Score
"[ 1.3070663  -0.33401972  0.5753277  ...  0.72014165  0.6874203
  2.3375325 ]",[0.01058964 0.00087134 0.00423191 ... 0.01402189 0.00869461 0.02905181],"Kabinete e ne e tshwere kopano ya yona ka Laboraro, 26 Seetebosigo 2019 kwa Tuynhuys kwa Motse Kapa Merero ya ga Jaanong1.","Cabinet met on Wednesday, 26 June 2019 at Tuynhuys in Cape Tow Issues in the environment 1.",0.83132184
"[ 0.90004134  0.30458695 -0.07808162 ...  0.9799528   0.64153147
  0.8123671 ]","[ 0.00994234 -0.00018567  0.00294822 ...  0.03229869  0.02410697
  0.02921582]","Puo ya Maemo a Set haba (SoNA) SoNA ya ntlha ya tsamaiso ya borataro ya temokerasi ya Moporesitente Cyril Ramaphosa mo bekeng e e fetileng, e rotloeditse le go tsosolosa maAforika Borwa otlhe go direla isago ya botlhe e e tsweletseng pel SoNA ya tsamaiso e nt hwa e mepa tsela ya go tsenngwa tirisong ga taolelo ya ditlhopho e e amogetsweng ke lekoko le le busang go tswa kwa bathong ba ron Seno se tlhalosa gore ka go dira mmogo, re tla tokafatsa matshelo a maAforika Borwa le go godisa ikonomi ya naga ya rona, ka go mekamekana le botlhokatiro, bohuma le go sa lekalekaneng tseo re tsweletseng go di itemogel Boipiletso jwa ga Moporesitente Ramaphosa ka ga tumelano ya tirisanommogo ya loago bo tlhoka seabe sa maAforika Borwa otlhe go dira mmogo go fenya dikgwetlho tsa rona le go baya naga mo tseleng ya kgolo e kgolwan Seno se tsenyeletsa go oketsa lephata la intaseteri, go matlafatsa intaseteri ya meepo, go tshegetsa lephata la temothuo, go tokafatsa motheo wa bokgoni jwa ba wa ba rona le go dira gore go nne bonolo gore bajanala ba etele naga ya ron Jaaka maAforika Borwa, re tshwanetse go tswelela go rotloetsa le go tshegetsa diintaseteri tsa selegae le go reka dikungo tsa selega Tiro e e boima e puso e tla e tsayang e ikaegile go dintlha tsa botlhokwa di le supa tseo e tla di salang morago mo sebakeng sa dingwaga di le tlhano tse di latelang, le go neela phetogo go Leano la Tlhabololo la Boset haba (NDP) le go isa kwa go fitlheleleng Ponelopele ya 2035.","President Cyril Ramaphosa s first SoNA of the sixth democratic administration last week, inspired and galvanized all South Africans to work towards a shared prosperous futur SoNA 2019 charts the course for the implementation of the electoral mandate received by the governing party from our peopl This sets out how working together, we will improve the lives of South Africans and grow the economy for our country, by addressing the persistent realities of unemployment, poverty and inequalit President Ramaphosa s call for a new social compact requires the contribution of all South Africans working together to overcome our challenges and place the country on a path of greater growt This includes expanding the industrial sector, strengthening the mining industry, supporting the agricultural sector, improving the skills base of our youth and making it easier for tourists to visit the countr As South Africans, we must continue to encourage and support local industries and buy local product The hard work that government will undertake is anchored in seven key priorities that it will pursue over the next five years, and give effect to the National Development Plan (NDP) and our drive to attain Vision 2035.",0.9014837
"[ 0.47416237  0.27676696 -0.01106468 ...  0.9098501   0.5676939
  0.65647763]","[-0.00019689 -0.00042189  0.0010821  ...  0.02533566  0.02288115
  0.03390057]","Ngangisano ka ga SoNA e tlhagisitse botlhokwa jwa go baakanya ikonomi le dikarolo tse di phutlhameng tsa didirisiwa tsa puso ya rona mo go tsenngweng tirisong ga taolelo ya ditlhoph Seno se tla re lebisa mo go fitlheleleng Aforika Borwa yo re mo batlang le Aforika Borwa wa ditoro tsa rona jaaka e tlhalositswe mo Ponelopele ya 2030 ya ND Kabinete e ikuela go badirammogo botlhe ba loago, kgwebo, bodiri, baagi le mekgatlho ya sepolotiki, go matlafatsa maiteko a ba a tshwaraganetseng go dira naga ya rona lefelo le le botoka la botlhe le go arogana maikarabelo go itlhaganedisa tsela ya kgolo ya nag Karolo ya rona jaaka puso e tla nna go oketsa le go menagana maiteko a rona jaaka Moporesitente a laetse go tlosa dikgoreletsi tsa kgolo ya ikonomi ya rona le go aga bokgoni jwa maphata a puso go direla batho ba ron Mo sebakeng sa Phukwi, Ditona tse di farologaneng di tla neela ka dipolelo tsa Tlhopho ya Tekanyetsokabo ya bona, moo maano a tiro a tla ribololwang go ya pele gore go tle go fitlhelelwe ponelopele e Moporesitente a e beileng fa pele ga set haba Kgwedi ya Ba wa","us reparing the economy and reparing the broken parts of our state machinery in the implementation of the electoral mandat This will lead us to achieve the South Africa we want and the South Africa of our dreams as encapsulated in Vision 2030 of the ND Cabinet calls on all social partners, business, labour, civil society and political formations, to reinforce their collaborative efforts in making our country a better place for all and take shared responsibility for accelerating the country s growth trajector On our part as government we will redouble and triple our endevours as directed by the President to remove an impediments to the growth of our economy and build the capacity of our state organs to deliver to our peopl During July, respective Ministers will table their Budget Vote statements, in which practical plans will further be unveiled in order to realise the vision that the President has put before the natio 2.",0.8884071
[1.1385796  0.38255063 0.16375953 ... 1.4120909  1.3027234  0.7359398 ],"[ 0.0103178   0.00125328 -0.00020112 ...  0.03187902  0.02487749
  0.04348553]","Kgwedi ya Ba wa ya Seetebosigo ke segopotso se se botlhoko sa karolo e e tshamekilweng ke ba wa ba rona mo go bakeng maemo ao a re lebisitseng kwa kgololesegong ya ron SoNA ya Moporesitente e baya ikonomi e e golang le go tlhamiwa ga ditiro tsa ba wa kwa setlhoeng sa tiro ya tsamaiso ya Boratar Moporesitente ka thulaganyo ya Setheo sa Boset haba sa Tlhabololo ya Ba wa o buisane le diseketara tse di farologaneng tsa ba wa go tsenyeletsa le ba ba tshelang ka bogolofadi, ba wa ba ba nang le dikgwebo, ba botaki le barutegi pele ga SoNA ya gagwe, ka fa tlase ga thitokgang:","The June Youth Month is a stark reminder of the role played by our youth in creating conditions that led to our freedo The President s SoNA puts the growing of the economy and the creation of jobs for our young people at the epicenter of the Sixth administration s wor The President engaged with various sectors of young people including those living with disabilities, youth in business, in the arts environment and academia prior to his SoNA organised by the National Youth Development Agency under the theme:",0.85303414
"[ 0.19925916 -0.41422272 -0.8744592  ... -0.35380176 -0.12762885
 -0.30160162]","[ 2.0218941e-03  4.8297548e-05 -1.6892428e-03 ... -8.7214186e-04
  3.9420803e-03  3.3922119e-03]",Dingwaga di le 25 tsa temokerasi,25 years of democracy,0.85050297
"[ 0.98025215 -0.9008777  -0.37712997 ... -0.26739356  0.91294897
  0.4887566 ]","[ 0.0125517   0.02671606 -0.00066924 ...  0.00668285  0.02221753
  0.00510652]",go keteka kgaratlho ya ba wa .,celebrating youth activism .,0.54325986
"[ 0.5607567   0.71933657 -0.02926818 ...  1.2039251   0.651936
  0.7941498 ]","[ 0.01071454  0.00115031 -0.00022718 ...  0.02877572  0.0200703
  0.00762179]","Puisano eno ya Ba wa le Moporesitente e gateletse mathata le dikgwetlho tse di tsweletseng tse ba wa ba rona ba lebaganeng natso tseo di tlhokang tsereganyo ya ka bonako ya puso ya ron Mo ntlheng eno re batla go netefatsa gore manaane a a farologaneng a puso, go tsenyeletsa le Lenaane la go neelwa T hono Gape, mmogo le letsholo la Tirelo ya Ba wa ya Boset haba le la go Thapiwa ga Ba wa mo Ditirong e leng a Lefapha la Thuto ya Motheo, a dira go bonagala mo go baakanyetseng ba wa ba rona go ka simolola go tsena mo ditiron Le fa go le jalo re tlhoka go oketsa mmogo le go menagana maiteko a rona jaaka naga mo go tlhameleng ba wa ba rona ditiro tseo di tlhokegang that Gore re kgone go dira jalo ke maikarabelo a rona go tlhotlhetsa kgolo ya ikonomi ya rona jaaka Moporesitente a laets Re a itse gore ga go kitla go nna bonolo, re a itse gore ga go kitla go nna le tharabololo ya ka bonako go tsosolosa ikonomi fela re a itse gape gore e tshwanetse go direlwa naga ya rona le ba wa ba ron Kabinetse e ikuela mo makaleng otlhe go tsaya sesupo go tswa go Moporesitente le go dirisana ka bojotlhe le ba wa mo go direng mmogo go batla ditharabololo tsa tiro mo dikgwetlhong tse ba di itemogelan Le rona re tla tshameka karolo ya rona mo go tokafatseng tiragatso ya ikonomi ya rona go tlhamela ba wa ba rona ditiro Kagose wa ya puso","This Presidential Youth Dialogue reaffirmed the continued difficulties and challenges faced by our youth that needs urgent intervention by our governmen In this regard we want to confirm that various government programmes, including the Department of Basic Education s Second Chance Programme, the National Youth Service and the Youth Employment Service initiative, go a long way in preparing our youth for the work environmen We nonetherless need to double and triple our efforts as a country in creating the much needed jobs for our young peopl For us to do so it is incumbent upon us to ignite the growth of our economy as directed by our Presiden We know it will not be easy, we know there will not be quick solutions turning around the economy but we also know that it must be done for the sake of our country and our yout Cabinet calls on all sectors to take their cue from the President and to actively engage young people in working together to find practical solutions to challenges they experienc We will also do our part in improving the performance of our economy to create jobs for our young people Reconfiguration of government",0.87973607
[0.82354236 0.5886599  0.38114876 ... 0.8302005  0.8359068  0.82922393],[0.0022861  0.00209009 0.03107661 ... 0.0305586  0.01867867 0.05138236],"MaAforika Borwa a neile tsamaiso ya borataro taolelo e e tlhamaletseng go itlhaganedisa kgolo ya ikonomi e e tsenyeletsang botlhe, ba dire ka potlako go mekamekana le bohuma, go tokafatsa ditirelo tsa puso, go lwantsha bonweenwee le go fedisa dikgato tsa go goga puso ka nk Kabinete e netefatsa gore phetolo yotlhe ya puso e tla nolofatsa le go tokafatsa thebolo ya ditirelo go batho ba rona ka go tlhoma puso e e bonolo, e e dirang ka thata e bile e nonofile eo e arabelang ditlhoko tsa maAforika Borwa Ditumelano tsa kgwebo Kabinete e amogetse go saeniwa ga ditumelano di le 93 magareng ga batlamedi ba ditirelo ba Aforika Borwa le dikhamphani tsa China, go reka dikuno tsa selegae go di romela kwa China, ka konteraka ya boleng jo bo lekanyediwang go R27 bilione, eo e tla matlafatsang kgolo le go tlhama ditirMo godimo ga seo, e le nngwe ya ditumelano tse di saenilweng e ne e le tumelano ya peeletso e e tsenyeletsang peeletso ya Koporasi ya Intaseteri ya Dikoloi ya Beijing mo polanteng ya go aga dikoloi mo mafelo a tlhabololo ya kgwebo kwa Coeg Ke intaseteri ya go aga dikoloi mo Aforika Borwa tebang le mamaraka wa Aforika Borwa fela gape le dimmaraka tse dingwe kwa mafelong a mangw Ditumelano tseno ke karolo ya maitlamo ao a tlhageletseng mo tumelanong e e tseneletseng ya togamano ya tirisanommogo ya 2010, le maitlamo a le robedi a magolo a a dirilweng kwa Foramomg ya Tirisano ya dinaga tsa China le Aforika Dipalopalo tsa diphatlatiro tsa kgweditharo nngwe le nngwe Lefapha la Dipalopalo la Aforika Borwa (StatsSA) le golotse Patlisiso ya Tiro ya Kgweditharo nngwe le nngwe mo kgweditharong ya ntlha ya 2019 mo bekeng e e fetilen Dipatlisiso di rebotse koketsego ya ditiro di le 22 000 (+) go tswa go 10 152 000 go ya go 10 174 000 mo lekaleng la kgwebo e e lolameng e e seng ya temothu Seno se bakilwe thata ke dikoketsego mo diintasetering tse di latelang: ditirelo tsa baagi, meepo le dikwari, ditirelo tsa ditlhagiso le kgweb Palogotlhe ya tiro e oketsegile ka 76 000 kgotsa 0,8% ngwaga ka ngwaga magareng ga Mopitlwe 2018 le Mopitlwe 2019.","South Africans have given this sixth administration a clear mandate to accelerate inclusive economic growth, act with greater urgency to tackle poverty, improve government services, fight corruption and end state captur Cabinet confirms that the macro reorganization of government will streamline and improve service delivery to our people through a seamless, cost-effective and efficient government that is more responsive to the needs of South Africans Trade agreements Cabinet welcomed the signing of ninty-three (93) agreements between South African suppliers and Chinese companies, to buy local products for export to China, with a contract value calculated at R27 billion, which will strengthen growth and the creation of jobIn addition to that, one of the agreements signed was an investment agreement that covers the Beijing Auto Industrial Cooperation s investment in the auto-manufacturing plant in the industrial development zone of Coeg It is an investment to build vehicles in South Africa for the South African market but also for markets elsewher These deals are part of commitments which came out of the existing comprehensive strategic partnership agreement of 2010, and the eight major commitments made at the Forum on China-Africa Cooperation Quarterly employment statistics The Statistics South Africa released the Quarterly Employment Survey for the first quarter of 2019 in the past wee Findings show an increase of 22 000 jobs (+) from 10 152 000 to 10 174 000 in the formal non-agricultural business secto This was largely due to increases in the following industries: community services, mining and quarrying, manufacturing and business service Total employment increased by 76 000 or 0,8% year-on-year between March 2018 and March 2019.",0.8687904
[0.619684   0.3865982  0.6533001  ... 1.1246772  0.98598903 2.2658615 ],[0.02641724 0.02427101 0.00178953 ... 0.04381012 0.04246152 0.03961467],Kabinete e etse tlhoko tswelopele eno e e namatshang fela e santse e eme ka le lereng go santse go le go gontsi go re tshwanetseng go go dira go tokafatsa tiragatso ya makala otlhe a ikonomi ya rona le go tlhama ditiro tse di tlhokegang thata mo nageng ya ron Go fitlha ga jaana Kabinete e ikana go dirisana mmogo le makala otlhe a set haba sa Aforika Borwa go tsenyeletsa le lephata la poraefete Paka ya Lekgetho Lekgetho le le kgobokantsweng go tswa mo lekgethong la letseno le netefatsa gore puso e na le bokgoni jwa go neelana ka ditirelo tse di tlhokegang thata le tshegetso ya loago go dimilione tsa baagi ba ba leng dikobo dikhutshwan Kabinete e rotloetsa maAforika Borwa go ipaakanyetsa go romela lekgetho la lotseno la bona la setlha sa lekgetho la 2018/19.,To this end Cabinet commits to work with all sectors of our South African society including the private sector Tax Season The revenue generated from income tax ensures government has the capacity to provide much-needed services and social support to millions of less fortunate communitie Cabinet encourages South Africans to prepare their tax submission for the 2018/19 tax seaso Appropriate and efficient revenue collection enables government to ensure fiscal sovereignt Taxpayers who are registered for eFiling or use the new South African Revenue Service s MobiApp can file their income tax returns from 1 July 2019.,0.8296927
[1.2521284  1.949567   0.08523493 ... 1.9071406  1.6489105  3.550427  ],[0.01601174 0.05438299 0.01053591 ... 0.03369308 0.02431094 0.05258862],Go kgobokanya lekgetho go go nonofileng go maleba go kgontsha puso go netefatsa gore naga e na le taolo ya matlol Baduelalekgetho ba ba ikwadiseditseng eFiling kgotsa go dirisa MobiApp ya Tirelo ya Lekgetho ya Aforika Borwa ba ka romela dipoelo tsa bona tsa lekgetho go tloga ka la bo 1 Phukwi 2019.,"South Africans who earn less than R500 000 per year and meet certain other criteria, do not need to file tax returns Crime fighting Cabinet has noted with concern the spate of the killing of members from law-enforcement officer In September 2018, twenty-eight (28) members of the police were reported to have been kille Since the beginning of 2019, twenty-six (26) police officers have been kille",0.7186072
