nso,en,src_text,trg_text,Cosine_Score
"[ 0.8693294   0.02823591 -0.20969637 ...  0.66917926  1.0268472
  0.94206077]","[ 0.00789666 -0.00097428 -0.00011812 ...  0.02512508  0.03644316
  0.01628192]",Maemo a Kabinete ka ga merero ye e lego ditabeng ka seemong sa bjale Kabinete e laedit e go se kgotsofat we ke dikgwabokaseboka t e di sa t wago go dirwa t a ba omi ka Moepong wa Lonmin ka Marikana t e di feledit ego ka go ngala mo omo le go,"The hosting of the KPCS meetings will contribute to the promotion of the diamond industry and tourisSouth Africa s position as chair of the KPCS gives recognition to the key role that South Africa plays in the international diamond secto As the chair South Africa aims to strengthen international trade relations, with a view to consolidate and increase the African footprint within the KPCS and contribute to a safer global environment Bills",0.7987815
"[ 0.63454187 -0.10875353 -0.5236773  ...  0.58296955  0.44188502
 -0.04326193]","[ 2.4759699e-02  6.7548605e-04 -1.3628546e-07 ... -1.0469443e-02
  1.7014105e-02 -1.0404555e-03]",iti wa ga t welet,Working together to protect childre,0.47799873
"[ 0.46951118 -0.0172983   1.2535459  ...  0.80889046  0.8229226
  1.4543883 ]",[0.01973989 0.0137928  0.01884313 ... 0.01576011 0.0097819  0.02680079],Thulano go begilwe gore e mabapi le merero ya bont i bja kemedi ye e akaret ago Mokgatlo wa Boset haba wa Ba omi ba Moepong (NUM) le Mokgatlo wa Ba omi ba Moepong le ba Kago (AMCU).Kabinete e ipilet a go baetapele ba mekgatlo ye ka bobedi (NUM le AMCU) go rarolla dithulano t a bona ka khut o gomme ba beye dikgahlego t a naga le t a ba omi pele ga se sengwe le se sengw Ba omi ba swanet e go lemoga gore go ngala mo omo mo go sego gwa,"Cabinet s position on prominent issues in the current environment Cabinet expressed concern at recent labour unrest at Lonmin s Marikana Mine which has led to the downing of tools and a disruption of productivit The dispute is reported as centering around issues of majority representation involving the National Union of Mineworkers and the Association for Mining and Construction Unio Cabinet appeals to the leadership of both unions (NUM and AMCU) to resolve their dispute amicably and put the interests of the country and workers above everything els Workers must be aware that the unprotected strike could have serious consequences not only for themselves, but for the future of the mine and that of their jobCabinet also appeals to Lonmin management to do everything possible to make sure that the problems are resolved as soon as possible without further damag It is in the best interest of the country for both unions and management at Lonmin to demonstrate required levels of leadership and industrial relations managemen Cabinet fully supports the preliminary findings from the investigation into the unauthorised landing of a civilian aircraft at Waterkloof Air Force BasCabinet stressed that the safety and sovereignty of South Africa is of paramount importanc Violation of laws and rules relevant to the ports of entry and facilities of strategic national importance must be dealt with firmly and without fear or favou Those who are found to infringe and compromise regulations must face the full might of the la Cabinet welcomes the work by Government Departments which has been reported on by various Ministers during the departmental Budget Vote Cabinet notes that the coverage afforded to the Budget Votes assists in empowering citizens with information and holding government accountabl",0.80817294
"[ 0.4696187   0.16666251 -0.19948491 ...  0.7577894   0.8195335
  0.66783607]","[ 0.01024166  0.05157422 -0.00012455 ...  0.04048027  0.03331786
  0.03793947]","irelet ega go ka ba le ditlamorago t e di sa kgahli ego e sego fela go bona, eup a go bokamoso bja moepo le go me omo ya bonKabinete e ipilet a gape go ba taolo ya Lonmin go dira se sengwe le se sengwe se se kgonagalago go netefat a gore mathata a rarollwa ka pela ka fao go kgonagalago ka ntle le tshenyo ye nngw Ke kgahlegong e kaone ya naga go mekgatlo ya ba omi ka bobedi le go ba taolo ya Lonmin go laet a maemo ao a nyakegago a boetapele le a taolo ya dikamano ka intasterin Kabinete e thekga ka botlalo dikutollo t a peleng go t wa ka dinyaki i ong t a mabapi le go ka kotama mo go sego gwa dumelelwa ga sefofane sa banamedi ka Boemafofaneng bja Ma ole bja WaterklooKabinete e gatelet e gore polokego le maatla a pu o a Afrika Borwa a bohlokwa kud Go tshelwa ga melao le melawana ye e amanago le mafelo a go tsenela ka nageng le mafelo a togamaano a bohlokwa bja boset haba go swanet e go kgalemelwa ntle le kwelobohloko le ka ntle ga go t hoga le go rata yo mongw Bao go hwet wago ba tshela le go se obamele melaotshepet o ba swanet e go lebana le maatla ka botlalo a mola Kabinete e amogela mo omo wo o dirilwego ke Dikgoro t a Mmu o wo go begilwego ka ona ke Ditona t e di fapafapanego ka nakong ya Dipolelo t a Ditekanyet","Cabinet welcomes the signing of an action plan to implement the Memorandum of Understanding on Biodiversity Conservation and Protection between South Africa and Vietna	The Implementation Plan will run until 2017 and will assist efforts to combat crime involving wildlife, particularly rhino poachin Cabinet reiterates that Government is committed to addressing the scourge of rhino poaching and reaffirms that perpetrators will be prosecute Cabinet welcomes the announcement by the Department of Home Affairs to pilot the Smart ID card system, which further consolidates our national identity and enhances national securit	This key milestone holds the potential to speed up government services, while cutting down on crime and corruption involving identity documentCabinet calls on South Africans to support this process so that by 2020 we are all in receipt of a Smart ID Card as a form of national identificatio Cabinet condemns the attack on a United Nations convoy in Abyei, Sudan, which resulted in the deaths of a tribal chief and an Ethiopian peacekeepe This regrettable incident threatens the stability of Abyei as well as the progress recently achieved by Sudan and South Suda Cabinet",0.8161703
"[ 0.5771174   0.04776726 -0.24302189 ...  1.8420255   0.6031902
  0.7139623 ]","[ 0.02263242 -0.00115793  0.06316757 ...  0.02395647  0.01257191
  0.01628591]",Kabinete e lemoga gore sebaka sa kga o se se filwego Dipolelo t a Ditekanyet o se thu a go maatlafat a badudi ka tshedimo o le go dira gore mmu o o be le boikarabelo go bon Kabinete e amogela dipoledi ano magareng ga Kgoro ya Thuto ya Motheo le Mokgatlo wa Baruti i wa Temokrasi wa Afrika Borwa (SADTU) t e di feledit ego ka go fegwa ga go tsenela kgwabokasebokKabinete e ipilet a go bakgathatema ka moka ka lefapheng la thuto go rarolla dithulano t a bona gore thuto ya bana e se ke ya,"Cabinet welcomes the discussions between the Department of Basic Education and the South African Democratic Teachers' Union (SADTU) which led to the suspension of protest actio	Cabinet calls on all stakeholders in the education sector to resolve their disputes so that education of our young people is not compromise Cabinet noted the Quarterly Labour Force Survey (QLFS) which shows an increase in the unemployment rate from 24,9 per cent to 25,2 per cenGovernment is accelerating measures, such as the state-led infrastructure drive, to increase employment through Public Sector intervention",0.8136384
"[ 1.5415688  -0.03466928  3.7648902  ...  1.0083332   0.9686789
  0.9996479 ]","[ 0.02835658  0.04346696 -0.00034821 ...  0.03853464  0.04713745
 -0.00334577]",iti w Kabinete e lemoga ka ga Dinyaki i o t a Kotara t a Ba omi (QLFS) t e di laet ago koket ego ka palong ya batho bao ba sa,"The community s request was to discuss the escalating illegal drug trafficking and abuse problem in the areGovernment, together with the community, has committed to accelerate the intervention programme to stop the scourge that is destroying young peopl	.",0.69756293
[0.67331433 0.06422906 3.8665493  ... 0.87849766 1.2393805  1.5925558 ],[0.00636844 0.02594759 0.00507674 ... 0.03705351 0.04070715 0.06715352],"omego go tloga go dipersente t e 24,9 go fihla go t e 25,2.Mmu o o akgofi a magato, a go swana le lesolo la mananeokgoparara le le etilwego pele ke mmu o, go oket a me omo ka go tsenagare ga Lefapha la Mmu Mmu o gammogo le ba omi le dikgwebo di tsebagadit e semmu o Kwano ya Set haba ka ga Go thwala Bafsa Me omong ka Moranang 2013.","Cabinet welcomed that the 50th anniversary of the Organisation of African Unity which will be celebrated on Africa Day, 25 May 2013.Cabinet highlighted that the solidarity of the OAU in excluding the apartheid government from its organs uplifted our struggle for freedom and attainment of democracSouth Africa will join the continent in commemorating the 50th Anniversary of the African Unio The activities include a month-long exhibition of contemporary visual arts in the SADC region from 24 May to 28 June 2013.",0.76666576
"[ 0.5270584   0.18507722 -0.08221799 ...  1.063222    1.233974
  1.4007154 ]","[ 0.01244416 -0.00016974  0.00050239 ...  0.0218226   0.02698388
  0.03889106]","Se se t wela pele go laet a boikgabo bja mmogo bja go rarolla bothata bja tlhokego ya me om Se bont ha gabotse boikgafo bja lefapha le bja go tsenya letsogo ka twant hong ya tlhokego ya me omo go bafsa ka go bea dinepi o t e di bonagalago le dinako t a go phethagat a seo ka katlego, go hlokomela le go sekaseka mmogo ditsenogare t e di bonwegKabinete e t wela pele go ba le boitshepo bja gore magato ao a","This further demonstrates a collective commitment towards addressing the issue of unemploymen It maps out individual sector pledges to contribute in fighting youth unemployment with concrete targets and time frames for successful execution, monitoring and collective evaluation of the identified intervention	Cabinet remains confident that measures already underway will assist the country to create new jobs and realise its target of five-million new jobs by 2026.",0.8091265
"[ 0.59180593 -0.02498131 -0.01757464 ...  1.1016631   0.9126215
  2.6110842 ]","[ 0.02070405 -0.00020546  0.00044615 ...  0.03056882  0.04143487
  0.05042961]",et ego a phethagat wago a tla thu a naga go hloma me omo e meswa le go fihlelela dinepi o t a yona t a go ba e hlomile me omo ye dimilione t e hlano ka ngwaga wa 2026.,Solid progress was noted from a number of departments in improving services in the are The commitment demonstrated by all parties lays a solid foundation for ongoing engagement toward a sustainable agrarian secto 2.,0.6661451
"[ 0.69981873  1.663512   -0.05253953 ...  1.256782    1.288114
  1.2131383 ]","[ 0.02461829 -0.00129222  0.00696305 ...  0.02341411  0.02240797
  0.01580532]","Kabinete e amogela go saenelwa ga leanotiro la go phethagat a Memorantamo wa Kwe i ano ka ga Pabalelo le T hirelet o ya Mehutahuta ya Diphedi magareng ga Afrika Borwa le VietnaLeanophethagat o le le tla dirwa go fihla ka 2017 gomme le tla thu a masolo a go lwant ha bosenyi bjo bo amanago le diphoofolo t a naga, kudukudu go bolawa ga dit hukud Kabinete e bu elet a gore mmu o o ikgafile go rarolla bothata bja go bolawa ga dit hukudu le go tii et a gape gore basenyi ba tla seki w Kabinete e amogela tsebi o ye e dirilwego ke Kgoro ya Merero ya Selegae go thomi a go tsenya tiri ong ga tshepedi o ya karata ya Boitsebi o, yeo e tii et ago boit hupo bja rena bja boset haba le go maatlafat a t hirelet o ya boset habMetheo ye ye bohlokwa e na le bokgoni bja go akgofi a ditirelo t a mmu o, mola ka go le lengwe e fokot a bosenyi le bomenet a bja mabapi le dipukwana t a boitsebi Kabinete e ipilet a go maAfrika Borwa go thekga tshepedi o ye gore ka 2020 re be re amoget e Karata ya Boitsebi o ka moka ga rena bjalo ka mokgwa wa boit hupo bja boset hab Kabinete e kgalema tlhaselo ya batseta ba Mokgatlo wa Dinagakopano t a Lefase ka Abyei, Sudan, ye e feledit ego ka mahu a kgo i ya set haba seo le ya motli akhut o wa ka Ethiopi Tiragalo ye ya maswabi e t ho et a seemo sa go hloka dikgaruru ka Abyei gammogo le kgatelopele ye e sa t wago go fihlelelwa ke Sudan le Borwa bja Sout Kabinete e sola tlhaselo ya Syria ka ma ole a t hirelet o a Israel Kabinete e ipilet a go Mokgatlo wa Dinagakopano t a Lefase go ba le taolo go mebu o ya ka ntle go hlompha maatla a pu o a Syria le go dumelela badudi ba Syria go","The child and youth dialogues are being conducted in all provinces as a build up to the launch of Child Protection Week and the Conferenc As part of awareness-raising, Child Protection Week will be launched together with the orphans, vulnerable children and youth (OVCY) Conference on 27 May at the Inkosi Albert Luthuli International Convention Centre in KwaZulu-Nata	Cabinet calls on all South Africans to contribute towards the protection of our children and create a safe and secure environmen South Africans can visibly demonstrate their support by wearing a green ribbon as a symbol of life, growth, hope, care and support for our future leader	The focus of Child Protection Week and the Orphans, Vulnerable Children and Youth Conference is on child participation in our society and communities so that children are heard on matters affecting the",0.84787273
