nso,en,src_text,trg_text,Cosine_Score
"[ 0.8858703   0.15184736 -0.19660969 ...  0.86918783  0.15526825
  0.8247903 ]","[ 0.00970249 -0.0008918  -0.00017069 ...  0.03388255  0.03385841
  0.04849155]","Maemo a kabinete ka ga merero ye e lego ditabeng seemong sa bjaleKabinete e amogela go tsebagat wa semmu o ga Lesolo la Operation Phakisa ka Mopresidente Jacob Zuma, leo le akgofi ago kabo ya ditirelo ka go diri a maano a phethagat o ao a nago le dintlha ka botlalo, ditiro t a go rarolla mathata le t e di bonalago t e di ka godi ago kgol","Cabinet s position on current issuesCabinet welcomes the launch by President Jacob Zuma of Operation Phakisa, which fast-tracks delivery through detailed implementation plans, problem-solving and practical actions to drive growt The Department of Environmental Affairs will be the first department to lead collaboration with the industry, labour, civil society and academia to work together to unlock the economic potential of our oceanIn 2010, the ocean economy",0.80432475
"[ 0.5184269   0.40625054 -0.14133243 ...  0.93989867  0.9926708
  1.0929862 ]","[ 0.01272101 -0.00116275  0.00475984 ...  0.03089327  0.03365162
  0.05535451]","Kgoro ya Merero ya Tikologo e tla ba kgoro ya mathomo ye e tlago eta pele tiri ano le diintasteri, le ba omi, set haba sa badudi le dirutegi go","The summit is expected to bring US and African business executives together to discuss investment and business opportunities in AfricThere will also be side meetings for American and African Chief Executive Officers (CEOs) and an African Growth and Opportunity Act (AGOA) Ministerial Meetin These meetings are aimed at strengthening relations between United States and Africa particularly on trade and investmen	The envisaged outcomes are: the encouragement of regional integration on the continent; support for various African Union economic development programmes, peace and security, including the extension of AGOA; climate change and environment protection issues; and assistance to meet the Africa 2063 vision goalThe Department of Science and Technology will launch the National Science Week (NSW) on 2 August 2014 under the theme:",0.72904134
"[ 0.59681106 -0.1367874   0.41189715 ...  1.1376697   1.119212
  1.5937067 ]","[ 0.00632345 -0.00094912  0.03798999 ...  0.05219383  0.03921745
  0.06849419]","oma mmogo go thankgolla bokgoni bja mawatle a rena go t a ekonomKa 2010, ekonomi ya ka lewatleng, ka ge gape e tsebja bjalo, e bile le seabe go R54 bilione go Palomoka ya Dit welet wa t a ka Nageng mo Ngwageng (GDP) ya Afrika Borwa, gomme e bile le seabe sa go hloma me omo ye e ka bago ye 316 000.","or blue economy, as it is also known - contributed about R54 billion to South Africa s Gross Domestic Product (GDP), and accounted for approximately 316 000 job Evidence shows that South Africa s oceans could contribute up to R177 billion to GDP by 2033.",0.8220374
"[ 0.44307584 -0.37525228  0.9409532  ...  0.5495433   0.7180238
  2.6157408 ]",[0.00667092 0.01881584 0.00080727 ... 0.03036452 0.03018324 0.02467957],Bohlatse bo laet a gore mawatle a Afrika Borwa a ka ba le seabe sa go fihla go R177 bilione go GDP ka 2033.,"The launch will be joined by the Pan African Parliament which will also pay tribute to the Pan African Women s Organisation and its role in liberating South African womeA number of activities are planned for the month of August to celebrate the gains made by South Africa in changing the lives of South African wome The main event on 9 August will take place in Durba The Department of Arts and Culture, as the lead department of Women s Month, will l also launch the 20 Best Moments for Women during Augus These key events mark achievements by exceptional local women and the gains made by all South African wome The details of these events will be announced in due coursPresident Jacob Zuma is scheduled to lead a delegation to participate in the United States-Africa Leaders",0.59773254
"[ 0.4438726  -0.04875402  3.1898568  ...  1.4934964   1.2739326
  1.3336164 ]",[0.0235063  0.00048938 0.06523619 ... 0.0226552  0.02386641 0.01346583],"Lewatle gape le na le bokgoni bja go hloma me omo ya thwii ya magareng ga ye 800 000 le ye milione o te Maemo a a kgolo a laet a bonyane bja dipersente t e nne t a kgolo ya ngwaga ka ngwaga ka go bobedi seabe sa GDP le go tlhomo ya me omBolemi bja ka meetseng a lewatle, dinamelwa t a ka meetseng, oli ya ka lewatleng le go utolla gase le t hirelet o ya mawatle ka moka ga t ona di bonwe bjalo ka mafapha ao a nepi it wego a ekonomi ya ka lewatlen Laporathori ya kabo ya ditirelo e hlomilwe ka fase ga lefelo le lengwe le le lengwe go thu a go rarolla ditlhohlo t e bohlokwKabinete e leboga maAfrika Borwa ka moka le lefase ge le kgathile tema ka go Let at i la Bodit habat haba la Nelson Mandela la ngwaga w MaAfrika Borwa go t wa karolong e nngwe le e nngwe ya naga ya rena a arabile boipilet o bja go","The ocean also has a potential to create between 800 000 and one million direct job These growth levers reflect at least 4 percent annual growth in both Gross Domestic Product contribution and job creatioMarine aquaculture, marine transport, offshore oil and gas exploration and marine protection have all been identified as focus areas of the blue econom A delivery lab has been established under each area to help resolve critical challengeCabinet thanks all South Africans and the world for participating in this year s Nelson Mandela International Da South Africans from every part of our country answered the call to dedicate their time and energy towards making a differenc	The clean-up operation beautifies our surroundings and ensures the preservation of our environmen As part of this campaign, the Department of Cooperative Government and Traditional Affairs (Cogta) dispatched about 150 Municipal Technical officials across municipalities to take part in this clean-up campaign, but also to support municipalities throughout the yeaCampaigns such as the",0.8658573
[1.0705298  0.03160539 0.0696691  ... 1.4840522  1.0899812  1.870151  ],"[ 2.9979390e-03 -2.7755433e-04 -9.5433068e-05 ...  2.7253602e-02
  2.2623569e-02  4.4594426e-02]","omi a nako le maatla a bona go dira phapanLesolo la tlhweki o le botsefat a tikologo ya rena le go netefat a gore tikologo ya rena e a lotw Bjalo ka karolo ya lesolo le, Kgoro ya Tiri ano ya Makala a Pu o le Merero ya Set o e phatlaladit e bahlankedi ba Masepala ba t a Sethekniki bao ba ka bago ba 150 go ralala le mebasepala go yo t ea karolo ka lesolong le la tlhweki o, eup a gape go thekga mebasepala ngwaga ka mokMasolo a go swana le","The MTSF contains detailed five year implementation plans for the NDP, with targets, indicators, roles and responsibilities and timeframes for the implementation of key actions - to enable systematic and evidence-based monitoring of the implementation of the NDThe MTSF builds on government s experience and learning during the 2009- 2014 administration, when outcomes-based planning, monitoring and evaluation were introduced for the first tim During that period delivery agreements were developed, monitored and evaluated for the 12 priority outcomes of government which included quality basic education, a long life for all South Africans, safety and security, inclusive growth and decent employment and rural development and land refor	During the 2014-2019 administration the number of outcomes has been increased to 14, with the addition of two new outcomes - social protection and social cohesion and nation buildin All in all, these 14 outcomes cover all the chapters of the ND The Ministry of Planning, Monitoring and Evaluation will hold a media briefing on the MTSF shortlCabinet approved that South Africa hosts the Global Smart Partnership Dialogue in October 2014 under the theme:",0.75909936
"[ 1.8012372  -0.2636161  -0.10049211 ...  0.00798022  1.1301228
 -0.01259838]","[ 2.3520594e-02 -9.4140145e-05 -4.2551372e-04 ...  2.3098527e-03
  1.3365812e-02  5.0761714e-03]",War on Leaks,War on Leaks,0.7404098
"[ 1.0684371  -0.3870216  -0.2941629  ...  0.05757522  0.7952795
 -0.27701262]",[0.01808907 0.00028138 0.01135677 ... 0.01957283 0.00612201 0.02646502],ao a thibago meetsi ao a dutlago,"60th anniversary of the Women s charter as part of the 20 years of Freedom, Moving Women s Agenda Forward!",0.43044746
"[ 0.46377638 -0.2248848  -0.16434968 ...  0.32776037  0.96417797
  0.76736176]","[ 0.03703928 -0.00131543  0.00322999 ...  0.01940194  0.00834559
  0.06438739]",a tla t wela pele fao e lego gore bafsa bao ba sa,Upcoming events	President Jacob Zuma will launch Women s Month at the Union Buildings on 31 July 2014 under the theme:,0.49033332
"[ 0.911699    0.02073191 -0.14490527 ...  1.3068511   1.0867195
  0.64865017]","[ 0.00162071  0.03110209 -0.00018525 ...  0.01020391  0.02759001
  0.02306827]","omego le maloko a mangwe a set haba a tlago hlohlelet wa go tsenela masolo a mmu o go loki a go dutla ga meets Kabinete e ipilet a go dit haba go dira gore dinoka le meela ya meetse e dule e hlwekile e bile e hloka dilabi, ka ge se se na le seabe go maemo a bophelo a makaone, ao a bolokegilego le ao a hlomphegag Dinoka le meela ye e","Leveraging Science, Technology and Innovation (STI) for Socio-economi Transformation through Smart Partnership Principles .The dialogue provides a platform for Heads of States, business leaders, scientists, academics and student leaders to exchange ideas and experiences related to science, technology and innovatio Furthermore the dialogue seeks to boosting socio-economic transformation, development and growth in AfricThe hosting will also address the aims and objectives of the National Development Plan on improving science and technology for socio-economic transformation in South Africa and on improving our innovative edge in the region, the continent and globall 3.",0.74614996
