nso,en,src_text,trg_text,Cosine_Score
"[ 1.2354851  -0.23378615  0.14413325 ...  0.5885285   0.73069257
  2.2169936 ]",[0.00735185 0.00176474 0.00226229 ... 0.01582562 0.00206992 0.03544857],"Kabinete e kopane ka Laboraro, 5 Manthole 2018 mo Tuynhuys ka Motsekap Merero Ye Bohlokwa Seemong Sa Bjale1.","Cabinet met on Wednesday, 5 December 2018 at Tuynhuys in Cape Town Issues in the environment1.",0.85942125
[0.7092583  0.23673198 3.4225504  ... 1.416715   1.8999503  0.63898915],[0.013082   0.00051118 0.001039   ... 0.0316698  0.0188811  0.03670207],"Kgolo ya ekonomiKabinete e amogela kgolo ya 2,2% mo ekonoming ya Afrika Borwa nakong ya kotara ya boraro, yeo e thu ago go nt ha naga maemong a fasefase a ekonom Dibopego t a kgolo di hlohleledit we ke kgolo ka lekaleng la temo (), lekala la dit helete (); lekala la t welet o () le lekala la mabenkelekgoparara le dikgwebjana t a ditheki o le papat o ().","using green energ It will be supported by mixed services such as warehousing and logistic This forms part of is the Maputo Development Corridor project, which is a major trade corridor which connects Gauteng, Limpopo and Mpumalanga with Maputo in Mozambiqu It comprises, among other things, roads, ports and railwayIt will contribute towards accelerating growth, attract foreign and domestic direct investment, expand the manufacturing sector and create employment in the regio Cabinet has approved the signing of the rollover Economic Partnership Agreement (EPA) with the United Kingdom (UK) once the last outstanding technical issues are resolved and the internal administrative issues are finalise",0.7662999
"[6.5960568e-01 6.9789165e-01 1.2208597e-03 ... 8.4030122e-01 1.1671935e+00
 1.4825541e+00]",[0.02922234 0.00460121 0.00079874 ... 0.02721927 0.01487889 0.01585872],"Dibopego t a kgolo di bont ha go kaonafala ga ekonomi gomme mmogo le mananeo go t wa go Samiti ya Me omo le Khonferense ya Dipeelet o ya Afrika Borwa, di tla t wela pele go kaonafalKabinete e na le maAfrika Borwa mo go amogeleng go fokot ega ga ditheko t a dibe wa t eo e lego kimollo, kudu ka ge re lebile nakong ya makhut","The NMW will immediately benefit more than six million workers and help address the level of inequality and poverty in South Afric This landmark proclamation will extend our social net to the most vulnerable peopl International Anti-Corruption DayIn commemoration of the UN s International Anti-Corruption Day on Sunday, 9 December 2018, Cabinet reaffirms the country s fight against corruption in both the private and public sector The JCPS Cluster has prioritised the fight against this scourge in line with government s zero-tolerance stance towards corruptio Corruption is a societal problem that must be fought by everyone as it hinders socio-economic development and increases poverty by diverting resources away from where they are most neede",0.7737154
[1.0661985  0.05989661 1.6877404  ... 1.2291248  1.176839   1.2434691 ],[0.01910854 0.00155216 0.00658132 ... 0.01867231 0.02501907 0.02830281],"Makala ka moka a set haba a kgopelwa go aga mo moyeng wo mobotse nakong ya kotara ya boraro go thu a go bea ekonomi ya Afrika Borwa tseleng ya kgolo ye mpsha Moputso wa Fasefase wa Set haba (NMW)Kabinete e amoget e gape go saennwa ga Molaokakanywa wa NMW go ba molao ke Mopresidente Cyril Ramaphos Molaokakanywa o dira mohlala wa histori mo go t hirelet eng ba omi bao ba amogelago moputso wa fase le phokot o ya go se lekalekane mo set haben NMW ya mathomo e tla godi a meputso ya tekanyet o ya dimilione t e tshela t a ba omi bao ba amogelago moputso wa fase ba Afrika Borw Go tla ba le nako ya phethagat o ya ba omi ba dipolaseng, ba omi ba dithokgeng le ba omi ba ka gaLe ge NMW ye e ka se fedi e go se lekalekane, Kabinete e kgolwa gore e","The growth figures signal a rebound in the economy and together with initiatives from the Jobs Summit and South African Investment Conference, will continue to improvCabinet also joins South Africans in welcoming this month s drop in the fuel price which comes as a relief, especially as we move into a holiday perio All sectors of society are urged to build on the positive momentum during the third quarter to help place the South African economy on a new growth trajectory National Minimum Wage (NMW)Cabinet also welcomes the signing of the NMW Bill into law by President Cyril Ramaphos The Bill sets a historic precedent in the protection of low-earning workers and reduction of inequality in societ The first NMW will raise the earnings of an estimated six million South African low-earning worker There will be a phase-in period for farm workers, forestry workers and domestic worker Whilst this NMW will not end income inequality, Cabinet believes it will go a long way to breaking the back of rising inequality and persistent poverty Toyota Wessels Institute for Manufacturing Studies (TWIMS)Cabinet welcomes the launch of the newly established R56-million TWIM The institute will boost South Africa s manufacturing sector, develop world-class capabilities and drive African industrialisatio It will also accelerate the building of a manufacturing culture that the country needs to drive its domestic demands and create more jobIt is an independent and not-for-profit initiative established through grant funding from the Toyota South Africa Education Trus It has been established in partnership with the University of Pretoria s Gordon Institute of Business Science to deliver a Master of Business Administration degree specialising in manufacturing Social EconomyCabinet notes the successful Symposium on the Social Economy held by government in partnership with the International Labour Organisation (ILO) and the Government of Flanders on Friday, 30 November 2018.",0.850955
"[ 0.26979962  0.02705863 -0.18609543 ...  0.6088966   0.9437007
  1.4621805 ]","[ 1.03370175e-02  1.30996667e-03 -4.37050367e-05 ...  3.20565850e-02
  4.10157107e-02  3.27964276e-02]","oma kudu go fokot a go se lekalekane mo go golago le bohloki bjoo bo t welago pele Institute ya Toyota Wessels ya Dithuto t a T welet o (TWIMS)Kabinete e amogela go thakgolwa ga TWIMS ye mpsha ya R56 milion Institute e tla thu a lekala la t welet o la Afrika Borwa, ya godi a bokgoni bja maemo a godimo le go hlahla tlhabollo ya diintasteri t a Afrik E tla akgofi a gape go agwa ga set o sa t welet o seo naga e sa nyakago go hlahla dinyakwa t a yona t a gae le go hlola me omo ye ment Ke lenaneo leo le ikemego gape la go se be le dipoelo leo le hlomilwego ka thekgo ya dit helete go t wa go Trasete ya Thuto ya Toyota ka Afrika Borw Le dirilwe ka tiri ano le Institute ya Kgwebo ya Disaense ya Gordon ya Yunibesithi ya Pretoria go aba tikrii ya Master of Business Administration yeo nepi ago t welet o Merero ya Mekgatlho ya LeagoKabinete e tsebisit e ka Simposiamo sa Merero ya Mekgatlho ya Leago seo se swerwego ka katlego seo se swerwego ke mmu o ka tiri ano le Mokgatlo wa Me omo wa Bodit habat haba (ILO) le Mmu o wa Flanders ka Labohlano, 30 Dibatsela 2018.","The IMC will be supported by the approved establishment of the APRM National Governing Counci This APRM review process provides member states a space for national dialogue on governance and socio-economic indicators and an opportunity to build consensus on the way forwar Cabinet approved for South Africa to sign the Convention to establish, under international law, an intergovernmental organisation called the Square Kilometre Array (SKA) Observatory, which will be responsible for the construction and operational phases of the global SKA radio telescope project, to be located in South Africa and Australi The signing of the convention will be crucial in providing the global partnership with the appropriate governance mechanisms, which will ensure successful delivery of the projec South Africa will also be able to leverage foreign inward investment, as well as skills and infrastructure development benefits associated with the SKA projec Cabinet approved the One-Stop Border Post (OSBP) National Framework for implementatio This provides guidance towards the speedy establishment of OSBPs between South Africa and its neighboring countrie The OSBP will enhance trade facilitation without compromising national security or revenue collection through the efficient movement of goods, persons and services between South Africa and the adjoining states of Botswana, Lesotho, Namibia, Mozambique and Zimbabw It will also result in the region realising a faster border clearance and limited duplication of border agency interventions, which in turn improves trade competitiveness and movement of person by cutting down on cost and tim Cabinet approved that the National Treasury and Financial Intelligence Centre (FIC) will coordinate South Africa s preparation for the national risk assessment and upcoming mutual evaluation process which commences in mid-April 2019.",0.8435867
"[ 0.5724218   0.31290975 -0.15488231 ...  1.1130947   0.6949373
  0.8849893 ]","[ 0.02321763  0.0477404  -0.00012434 ...  0.0273313   0.03467836
  0.02092716]","Simposiamo se be se etilwe pele ke Kgoro ya Tlhabollo ya Ekonomi e thekgilwe ke Kgoro ya Tlhabollo ya Dikgwebo t e DinnyanMerero ya Mekgatlho ya Leago e akaret a dikgwebo le mananeo ao a nepi ago dinepo t a dipholisi t a leago go swana le go hlola me omo, go amogela dihlopha t eo di se a akaret wago, le go tli a t e dibotse le ditirelo dit habeng t a magaen E na le bokgoni bja go thekga go akaret wa ga ekonomi le go hlola dikete t a me omo ya tlalelet","The symposium was led by the Economic Development Department and supported by the Department of Small Business DevelopmenThe Social Economy comprises enterprises and initiatives directed at achieving social-policy objectives such as creating jobs, mainstreaming excluded groups, and bringing goods and services to rural communitie It has the potential of supporting economic inclusion and creating thousands of additional job The symposium brought together social entrepreneurs, policymakers, researchers and non-governmental organisations, and will help in the development of a Green Paper on the Social Economy during 201 Voter registrationIn preparation for the 2019 elections, Cabinet calls on South Africans to exercise their right as responsible citizens by ensuring they have a green bar-coded ID book, smart ID card or temporary identity certificate and are registered to vote in their district The Independent Electoral Commission will hold a voter-registration weekend on 26 and 27 January 2019 and South Africans are encouraged to use the opportunity to register to vote or verify their registration statu Cabinet appeals to those who have applied for Smart IDs to collect their documents at their respective Department of Home Affairs (DHA) branches National Director of Public Prosecutions (NDPP)Cabinet applauds President Ramaphosa s appointment of Advocate Shamila Batohi as the new NDP This follows the President s consideration of five nominees shortlisted by an advisory pane The appointment brings stability to the leadership of the National Prosecuting Authority and emboldens the country s fight against crime and corruptio",0.80458957
"[ 0.42445305  0.7485921  -0.20303755 ...  0.8691591   0.98013425
  1.0691589 ]","[-0.00122523  0.0354963  -0.00046197 ...  0.03455108  0.00754096
  0.0248861 ]","Simposiamo se kopant hit e bagwebi ba t a leago, badiradipholisi, banyaki i i le mekgatlo yeo e sego ya mmu o, gomme se se tla thu a ka go dira Sengwalo sa Dit hi inyo","comprising police intelligence agents, detective services, public order policing, private security authorities and DHA officials",0.7919157
"[ 1.0751207  -0.14849348 -0.18566674 ...  0.69713795  1.6674694
  1.6445283 ]","[ 0.03120065 -0.00144785  0.00943694 ...  0.01762273  0.0493026
  0.09442428]","sa Merero ya Mekgatlho ya Leago ka 201 Go ingwadi et a go kgethaGo itoki et a dikgetho t a 2019, Kabinete e ipilet a go maAfrika Borwa go",AMCEN is a permanent forum where African Ministers of the Environment deliberate and decide on environmental issues of relevance to the Continen South Africa assumes its chairship from 2019 to 2021.,0.74961764
"[ 0.6987218  -0.02148001  0.02310615 ...  1.1593244   1.6442181
  2.7918208 ]","[ 0.0283886  -0.00090731  0.01421779 ...  0.01223671  0.02977803
  0.06589204]","omi a ditokelo t a bona bjalo ka badudi ba maikarabelo go kgonthi a gore bana le pukwana ya boitsebi o ye talamorogo, le karata ya boitsebi o goba setifikeiti sa boitsebi o sa nakwana gomme ba ingwadi edit e go kgetha dileteng t a bon Khomi ene ya Dikgetho ya go Ikema (IEC) e tla ba le mafelelo a beke a boingwadi o bja bakgethi ka la 26 le la 27 Pherekgong 2019 gomme maAfrika Borwa a hlohlelet wa go","The NDB was established by the Brazil, Russia, India, China and South Africa (BRICS) bloc to mobilise resources to support infrastructure and sustainable development projects in BRICS countries, and other emerging markets and developing countrieThe 17th Ordinary Session of the African Ministerial Conference on the Environment (AMCEN) in June/July 2019.",0.7914307
"[ 0.7702574   0.9454846  -0.2646238  ...  0.75910395  0.8953968
  1.344231  ]","[ 0.02131621  0.00021635 -0.00083392 ...  0.02782736  0.04068699
  0.03684944]",omi a sebaka se go ingwadi et a go kgetha goba go lekola maemo a bona a boingwadi Kabinete e ipilet a go bao ba dirilego dikgopelo t a Dikarata t a Boitsebi o go ya go di t ea makaleng a bona a Kgoro ya Merero ya Selegae (DHA) Molaodimogolo wa Boset haba wa Bot hot hisi bja Set haba (NDPP)Kabinete e lebogi a Mopresidente Ramaphosa ka go thwala Moatbokheiti Shamila Batohi bjalo ka NDPP yo mofs Se ke ka morago ga ge Mopresidente a lebeledi it e bahlaolwa ba bahlano bao ba kgethilwego ke phanele ya dikelet,"Nkomazi Special Economic Zone (SEZ)Cabinet ratified a decision of the Minister of Trade and Industry, Dr Rob Davies, to designate the SEZ and to grant a SEZ Licence to the Mpumalanga Provincial Government s Department of Economic Development and TourisThe Nkomazi SEZ will be positioned as an",0.81383795
