nso,en,src_text,trg_text,Cosine_Score
[0.48464724 0.04553337 0.14110862 ... 0.6603991  1.0280675  1.7099732 ],"[ 0.00973413 -0.00097415  0.00518443 ...  0.03251591  0.0346596
  0.0538458 ]","Phethagat o ya Mananeo a Bohlokwa a Mmu oKabinete e amoget e diphetho t e di dumelet wego ka Samiting ya bo 25 ya Mokgatlo wa Selekane sa Afrika (AU) ye e beago Afrika tseleng ye mpsha ya tlhabollo le kgolo yeo e tlago kgont ha khonthinente go t ea maemo a yona a maleba ka merero ya lefase ka bopharDiphetho t e di akaredit e go hloma se ole se setee seo se kopanego ge ngwaga o fel Baetapele ba tshephi it e go akgofi a go tsenya tiri ong ga Lebotho la Ma ole la Komanamadulaabapile la Afrika (ASF).Kabinete e retile maithomelo ao a t erwego ke AU go ba le kopanyo ye kgolo ya ka seleteng le kgwebi ano ka go thomi a semmu o ditheri ano t a go hloma lefelo la kgwebi ano ye e lokologilego la ka khonthinenteng leo le tlago kgont ha dikamano t e di tiilego magareng ga diekonomi t a AfrikKabinete e amoget e gape kopano ya Ditona t a AU t e di rwelego Maikarabelo go Merero ya Bong le Basadi t eo di swerego kopano ya t ona ka la 12 Phupu 2015, go latela Ditheri ano t a Maemo a Godimo (HLP) t a bo 2 t a AU ka ga Tekatekano ya Bong le Matlafat o ya Basadi ye e swerwego go thoma ka la 10","The Cabinet statement is now available in all official languages Implementation of Key Government Programmes Cabinet welcomed the resolutions adopted at the 25th African Union (AU) Summit which places Africa on a new path of development and growth that will enable the continent to take its rightful place in global affairResolutions included a united and functioning single military by the end of the yea Leaders pledged to accelerate the operationalisation of the African Standby Force (ASF).Cabinet applauded the initiative by the AU towards greater regional integration and trade through the launch of negotiations for the establishment of a continental free trade area that will forge stronger ties between African economie Cabinet also welcomed the meeting of the African Union Ministers Responsible for Gender and Women s Affairs held their meeting on the 12th of June 2015, following the 2nd AU High Level Panel on Gender Equality and Women s Empowerment (HLP) which was held from the 10th",0.87491226
"[ 0.66367424 -0.24752061 -0.05616385 ...  0.5819183   0.35703304
  0.87817633]","[ 0.01626099 -0.00207434  0.00983637 ...  0.02240172  0.01520712
  0.0329963 ]","12 Phupu 2015 ka fase ga Kopano ye e Tlwaelegilego ya bo 25 ya Kopanokgothekgothe ya AU, ka fase ga Morero wa:","12th of June 2015 at the margins of the 25th Ordinary Session of the AU Assembly, under the Theme:",0.853057
"[ 0.6273734   0.14347582 -0.15445602 ...  1.1146545   1.1847035
  0.24358797]","[-6.5777371e-05  5.5150583e-04 -1.5376422e-06 ...  5.2541114e-02
  2.5662037e-02  1.2673058e-02]","Dira gore go kgonagale ka go Akaret a Basadi ka Thu o ya Dit helete ka Lefapheng la Kgwebo ya Temo .Dipoelo t a dikopano t e t e pedi e bile Kwano le Boipilet o bja go Dira se Sengwe mabapi le go Akaret a Basadi ka Kgwebong ya Tem Boipilet o bjo bja go Dira se Sengwe bo ipilet a go Dinagamaloko go dira t e di latelago, magareng ga t e dingwe go:Phethagat a ditokelo t a basadi go fihlelela, go laola, go ba beng le go holega go methopo ya dit helete, go akaret wa phihlelelo go ditshepedi o t a theko ya dithoto t a set haba ka Thutong, ka tlhabollong ya tshedimo o le ya mabokgoni, ka ditheknolot ing t a boithomelo le ditiro, go matlafat a le go hlabolla matlafat o ya ekonomi ya basadi ka go kgwebo ya temo;Maatlafat a masolo a go hlama tikologo ye kaone go basadi go dira kgwebo ya temo le mananeokgoparara a temo ka go thibela le go arabela dithulano ka Khonthinenteng, go rarolla, go beakanya le go fokot a diabe t a phetogo ya klaemete, le go rarolla seabe sa mauba le masetlapelo a tlhagNolofat a tlhabollo ya kgwebo ya temo le mananeokgoparara a temo ka go diri a met hene, boithomelo bja t a theknolot i le tlhabollo ya mabokgoni go basadi; Mo dikgweding t e mmalwa, baithuti ba marematlou ba tla be ba","Make it Happen Through the Financial Inclusion of Women in the Agribusiness Sector .The outcome of the 2 meetings was a Declaration and a Call for Action on Financial Inclusion in Agribusines The Call for Action calls Member States to among othersImplement women s right to access, control, ownership and benefit from financial resources, including access to public procurement processes in Education, information and skills development, innovative technologies and practices, to capacitate and develop women s economic empowerment in agribusiness;Intensify initiatives to create a conducive environment for women to conduct agribusiness and the agricultural value chain through prevention and responding to conflict on the Continent, addressing, adapting and mitigating climate change impacts, and addressing the impact of epidemics and natural disaster",0.8907583
"[ 0.591204    0.12581536 -0.04282808 ...  1.0365583   0.9702805
  1.0355471 ]","[ 1.7519346e-02 -4.3497635e-05  4.2327000e-03 ...  7.4938913e-03
  3.5455227e-02  3.1454947e-02]",ngwala ditlhahlobo t a bona t a mafelelong a ngwag Kabinete e ipilet a go Baithuti ba Marematlou wa 2015 go dira dikgopelo e sa le nako go dihlongwa t a thuto ya godingwana bjalo ka karolo ya Lesolo la Dira Dikgopelo mo Lebakeng le/ la Kgetha Tlhahli ka ga Me omo leo le dirwago ngwaga ka ngwaga ke Kgoro ya Thuto ya Godingwana le TlhahlRe ipilet a go baithuti go hlokomela gore ba ithute Dipalo le Mahlale ka ge e le mafapha a thuto ao a tlago i a kgolo ya ekonomi ya rena maemong a godingwanBoithomelo le boitlhamelo ke dilo t e bohlokwa t e di godi ago ekonomi ka nagen,"Facilitate the development of agribusiness and agricultural value chains through mechanisation, technological innovation and skills development for women;In a few months, matric learners will be seating for their final year examination Cabinet calls on the Class of 2015 to apply early for admission to institutions of higher learning as part of the Apply Now/ Khetha Career Guidance Campaign that is undertaken annually by the Department of Higher Education and TraininWe urge learners to also consider Mathematics and Science as fields that will take our economic growth to higher level",0.8545276
"[ 0.84944296  0.04602047 -0.01893627 ...  1.2769121   1.031103
  0.798716  ]","[ 2.1664100e-02 -2.9822605e-04 -7.8873571e-05 ...  3.4876447e-02
  2.7433515e-02  7.3983348e-03]","Bafsa le bona ba swanet e go utolla dibaka t e di hwet agalago ka Dikholet eng t a Thuto ya Sethekniki le ya Me omo ya Matsogo t eo di phatlalet ego le naga go tlalelet a diyunibesithi, t e di akaret ago Yuinibesithi ye e sa t wago go hlongwa ya Sol T Plaatje ka Kapa Leboa le Yunibesithi ya Mpumalanga Diphetho t e Bohlokwa t a KabineteKabinete e dumelet e semmu o sephetho sa go bea Lefelo la Tlhabollo la Diintasteri la Maluti-A-Phofung (MAP IDZ) ka Tshiame (Industriqwa-1A), Harrismith, ka Profenseng ya Foreisetat E dumelet e gape go fa Koporasetlhabollo ya Foreisetata Phemiti ya Mo omo ya lefelo lGo bewa ga MAP IDZ go tla hloma sefala seo se theilwego go dikgokaganyo (Logistics Hub) seo se tla bago dikhilometara t e 10 ka ntle ga Harrismith (lefelo la kgale la Industriqwa), kudu go loki a difatanaga, go t welet a dilo t e nnyane, go","Young people must also explore opportunities that are available at Technical and Vocational Education Training colleges situated across the country in addition to universities, which include the newly established Sol T Plaatje University in the Northern Cape and the University of Mpumalanga Key Cabinet decisionsCabinet ratified the decision to designate the Maluti-A-Phofung Industrial Development Zone (MAP IDZ) at Tshiame (Industriqwa-1A), Harrismith, Free State Provinc",0.89968395
"[ 0.6157569  -0.22734772 -0.15572113 ...  0.7552898   1.31027
  1.3483573 ]","[ 0.02864476 -0.00262559 -0.00040691 ...  0.02873954  0.02047059
  0.03054129]",oma dit welet wa t a temo/ mafapha a dikgokagany Kabinete e dumelet e gore Afrika Borwa e,"BHP Billiton Awards on 9 July 2015 at Emperors Palace, Kempton Park under the theme:",0.69450676
"[ 0.38428712  0.25726634 -0.08140796 ...  0.9899697   1.1361551
  1.3113401 ]","[-3.1768010e-05  2.8502483e-02  3.1990497e-03 ...  2.4644824e-02
  1.5775159e-02  3.3627111e-02]","omi ane le Panka ya Peelet o ya Mananeokgoparara a Asi Panka ye e lebelet e kudu Selete sa Asia le sa Oceania go thekga dipeelet o go mananeokgopararGo kgatha tema ga Afrika Borwa go tla matlafat a dikamano t a yona go t a kgwebo ka seleteng gomme go tla bont ha gape thekgo go ditlhologelo t a tlhabollo t a ka seletenKabinete e dumelet e go romelwa ga Ditona t a Kgoro ya Toka le Ditirelo t a Tshokollo le ya Kgoro ya Sephodisa bjalo ka bao ba rwelego maikarabelo a go phethagat a maikarabelo a Mmu o mabapi le karolo ya 9 (2) ya Molao wa Thibelo le Phedi o ya Tshotlo ya Batho wa 2013.Ditona t e ka bobedi di tla rwala maikarabelo a go hlabolla mananeo ao a ikemi edit ego go thibela le go fedi a go sotlwa ga batho e lego seo se t wet ago pele tokelo ya motheo go tokologo le t hirelet ego ya batho ka ge go hlagi it we ka go karolo ya 12 ya MolaotheKabinete e dumelet e go romelwa ga Tshepedi o ya Tlalelet o, Tlhabollo le Tiri ano magareng ga Set haba sa Yuropa le Dinagamaloko t a yona ka Palamenteng go yo dumelelwa semmu Tshepedi o ye ya Tlalelet o e hlokomet e go tsena ga Rephabliki ya Croatia go Mokgatlo wa Selekane sa Yuropa (EU) yeo e ilego ya tsenywa ka moragonyana ka Tshepedi onGo godi wa ga EU go tla kaonafat a phihlelelo ya mebaraka ya Afrika Borwa ka go EU, gomme se se tla felet a ka go hloma dibaka t a me omo, go thu a kgolo ya ekonomi, le go kaonafat a dikgetho t a badiri","It also approved the granting of Operator Permit for this zone to the Free State Development CorporatioThe MAP IDZ designation will establish a logistics-orientated platform (Logistics Hub) 10 kilometers outside of Harrismith (the old Industriqwa site), primarily to service the automotive, light manufacturing, agro-processing and distribution/ logistics sectorCabinet approved that South Africa joins the Asian Infrastructure Investment Ban The Bank focuses on Asian and Oceanic Region in supporting the infrastructure investment South Africa s participation will strengthen its growing business relationships with the region and will also demonstrate solidarity with the region s development aspirationCabinet approved the designation of the Ministers of Justice and Correctional Services and Police as responsible for the fulfillment of the State s responsibilities in terms of section 9(2) of the Prevention and Combating of Torture of Persons Act, 2013.Both Ministers will be responsible for the development of programmes aimed at preventing and combating of torture which promotes the fundamental right to freedom and security of the person as provided for in section 12 of the ConstitutioCabinet approved submission of the Additional Protocol to the Trade, Development and Cooperation Agreement between the European Community and its Members States to Parliament for ratificatioThe Additional Protocol takes into account the accession of the Republic of Croatia to the European Union (EU) which join later into the Protoco The enlargement of the EU will improve SA s market access into the EU, which will lead to creation of job opportunities, fostering economic growth, and improve consumer choice This is in line with the National Development Plan vision of creating employment, growing the economy and promotion of exportCabinet approved that the relevant international standards and other scientific measures be implemented with a view to ensuring adequate risk management is applied when importing cattle and bovine productThis alignment of South Africa s import requirements with international scientific guidelines, will strengthen the county s position in international trad This will broaden access to sufficient, safe and nutritious food for people and animals through strategic sourcing and will increase job creation through importation of beef products intended for further processing in South Africa Bills Cabinet approved the introduction of the Criminal Matters Amendment Bill, 2015 into ParliamenThe amendments provide for changes to the laws pertaining to infrastructure-related offences such cable theft, telephone line Stricter provisions are provided for the granting of bail, sentencing of offenders and creating a new offence to criminalise damage to essential infrastructure caused by tampering or interfering with the functioning of basic services through criminal activitThe bill once passed will ensures that mechanisms are put in place to safeguard infrastructure, in which much needed public investment is placed, to ensure that the country meets its economic growth targets and increases employmen Cabinet approved the introduction of the revised Promotion and Protection of Investment Bill, 2015 into ParliamenThe Bill reaffirms that South Africa remains open to foreign investment, provides adequate security and protection to all investors, and preserves the sovereign right of the South African Government to pursue developmental and transformational public policy objectiveThis is in support of the National Development Plan s (NDP) objective of promoting investment and export growth to stimulate sustainable growth and development in South Afric Cabinet approved publication of the Copyright Amendment Bill, 2015 in the Government Gazette for wider consultatioThe Bill amends the Copyright Act, No 98 of 1978 and the Performers Protection Act, No 11 of 1967, which are outdated as they do not consider developments at multi-lateral level nor do they have provisions that deal with digital issueThe Bill addresses the licensing of copyright work/ material in relation to commissioned work to prevent commercial exploitatio This will help government to address the plight of musicians and performers by ensuring that royalties are paid on time by recording companies and broadcasters as most of them are dying as pauper Cabinet approved the introduction of the Public Service Commission Amendment Bill, 2015 to Parliamen This amends the Public Service Commission Act 46 of 1997.The Bill deals with the instance of a renewal of a Commissioner s term and also provides for the chairperson to designate one of the commissioners to act as the chairperson during the absence of both the chairperson and the deputy Cabinet s position on current issues",0.8510702
"[ 0.55687636  0.1498684  -0.18003914 ...  0.8293323   0.9474347
  0.8484286 ]","[ 4.99444455e-03  4.72653732e-02 -1.18195985e-05 ...  2.30764914e-02
  2.65347194e-02  3.84187214e-02]","Se se sepelelana le nepo ya Leanotlhabollo la Boset haba ya go hloma me omo, go godi a ekonomi le go t wet a pele diromelwantlKabinete e dumelet e gore melawana ya maleba ya bodit habat haba le dikelo t e dingwe t a mahlale di tsenywe tiri ong ka nepo ya go netefat a gore taolo ya maleba ya dikotsi e a phethagat wa ge go tsenywa dikgomo le dit welet wa t e di amanago le dikgomo ka nagenGo amanya mo ga dinyakwa t a go tsena ka nageng t a Afrika Borwa le ditlhahli t a mahlale t a bodit habat haba go tla matlafat a maemo a naga ka kgwebi anong ya bodit habat hab Se se tla oket a phihlelelo go dijo t e di lekanego, t e di bolokegilego le t a phepo ka batho le diphoofolo ka go diri a maano a go di hwet a gomme se se tla oket a tlhomo ya me omo ka go tsenya dit welet wa t a nama ya kgomo ka nageng t eo di tlogo","to ensure that the most serious crimes of concern to the international community as a whole must not go unpunished and that their effective prosecution must be ensured by taking measures at the national level and by enhancing international cooperatio More particularly, South Africa will enter into multilateral and bilateral negotiations with other African countries to expedite the reform of the African Court on Human and Peoples Rights and other regional tribunal This will ensure that serious crimes against humanity can be promptly and efficiently dealt with by these bodies and that a complementarity scheme exists whereby such crimes may be prosecuted by either the ICC or the regional bodieSouth Africa will shortly make arrangements to enter into formal discussions with the ICC on the matters which are of concern to iSouth Africa will prepare a report in respect of its interaction with the ICC in terms of Article 97 and the difficulties which it experienced in terms of Article 98(2) and submit that to the next meeting of the Assembly of State PartieSouth Africa will also propose amendments to the Rome Statute of the International Criminal Court to clarify and amplify the consulting and cooperation obligations of the ICC towards such StateEngagements with the AU and African states will also commenc",0.80339926
"[ 1.0611932   2.6140044  -0.07054581 ...  0.9409018   0.9087179
  0.728308  ]","[ 0.0370294   0.04636607 -0.00019975 ...  0.03406667  0.0296321
  0.04576818]","ongwa go t wela pele ka Afrika Borwa MelaokakanywaKabinete e dumelet e go tsebagat wa ga Molaokakanywapheto wa wa Merero ya Bosenyi, wa 2015 ka PalamentenDipheto o t e di hlagi a dipheto o go melao ye e amanago le melato ye e amanago le mananeokgoparara ya go swana le go utswa metato le mathale a megal Ditlhagi o t e di tlogago di tii et we di a fiwa mabapi le go fiwa ga peila, go romelwa kgolegong ga basenyi le go hlama bosenyi bjo boswa go dira gore tshenyo ya mananeokgoparara e be bosenyi ka ge e ditela goba e","Cabinet welcomes the Cuban Five who were arrested in the US in 1998 and convicted of crimes ranging from espionage to murde The five were sent to the USA as part of a network called La Red Avispa to investigate the activities of militant Cuban exile groups plotting to overthrow Fidel Castro s regim Cabinet thanks the government of Malawi represented by the SA Higher Commissioner Ms Cassandra Mbuyane-Mokone for facilitating the repatriation of the two South African children (14) and a (20) who were removed from the care of their grandmother in Mpumalanga to Malawi in July 2014 by a woman who posed as a former teache Today, Minister of Social Development Bathabile Dlamini, will receive the children Upcoming events Cabinet calls on all South Africans to participate in the upcoming celebration of Nelson Mandela Month in July under the theme:",0.80168545
"[ 1.0463973  -0.2483563  -0.09554917 ...  0.18194406  0.81650734
  0.14007497]","[ 0.01982136 -0.00354473  0.00240819 ...  0.00245551  0.00415463
  0.02043036]",iti a go,Irrelevance of official capacity1.,0.49899662
