nso,en,src_text,trg_text,Cosine_Score
"[ 0.17205152 -0.19321631 -0.14536564 ... -0.0350545  -0.06341035
  0.9523844 ]","[ 2.0932527e-03 -2.0482007e-04  4.8137208e-05 ...  1.0729753e-03
  1.5222355e-03  7.8740353e-03]",Merero Seemong sa Bjale1.,MESSAGES1.,0.74912024
[1.4630382  0.13001205 0.19402152 ... 0.79579633 0.7631527  1.7492311 ],"[ 0.02435023 -0.0001398   0.00151231 ...  0.00084613  0.00388187
  0.00481936]",Lenaneo la Moento la Coronavirus (COVID-19),COVID-19 Recovery,0.7313032
"[ 1.1535425   0.162893   -0.1058504  ...  0.88633764  1.052679
  0.9963066 ]","[1.0110038e-02 2.1592286e-05 6.4710733e-03 ... 2.1729706e-02 1.3326902e-02
 2.6229749e-02]","Kabinete e sedimo it we ke Kgoro ya Maphelo ka ga kgatelopele ya mabapi le go Phethagat wa ga Lenaneo la Moento, leo le akaredit ego epitemiolot i (e lego lekala la t a kalafo leo le","Coronavirus Disease (COVID-19) vaccine roll-out Cabinet was apprised by the Department of Health on the progress of the Vaccination Roll-out Programme, which included epidemiology (the branch of medicine which deals with the incidence, distribution and possible control of diseases and other factors relating to health) and surveillanc Cabinet noted the decline in new infections, as well as hospital admissions and reported death case",0.7842315
"[ 1.035586    0.17354517 -0.06465302 ...  0.53713465  0.59328085
  0.9665896 ]","[ 0.00879858  0.00037165  0.00016172 ... -0.00152542  0.02494773
 -0.00265947]","omago ka tiragalo, go phatlalala le kgonagalo ya go laola malwet i le mabaka a mangwe a go amana le maphelo) le tekodi i","Discussions focused on vaccine production in Africa, and ways in which to improve the business environment and increase investmen",0.70621705
"[ 7.1753371e-01  1.8260504e-04 -3.0348286e-02 ...  8.6412668e-01
  5.5504566e-01  1.2393380e+00]",[0.00684221 0.00437038 0.02805333 ... 0.03458225 0.03138989 0.02398215],"Kabinete e lemogile ka ga go fokot ega ga diphetet o t e diswa, ga balwet i ba amogelwago dipetlele le ga mahu ao a begwag","Cabinet however noted the increase in infection reproduction rate The Department of Health assured Cabinet that more work is being done to understand and contain the reported school cluster outbreaks, particularly in the Eastern Cap",0.74761194
[1.0455331  0.0054945  0.22464877 ... 0.5661821  1.0062957  0.6116952 ],"[ 0.02289198  0.02190624 -0.00030724 ...  0.031755    0.02218191
  0.01730921]",Le ge go le bjale kabinete e lemogile ka ga go oket ega ga dipalopalo t a go ikoket a ga diphetet,Cabinet was briefed on the outcomes of the assessment of South Africa on its Anti-Money Laundering and Combating the Financing of Terrorism measure,0.676208
"[ 0.6676976   0.00896578 -0.21820317 ...  0.39494413  0.34358507
  0.59239274]","[ 0.00460638  0.00355184 -0.00075625 ...  0.01097265 -0.0068672
  0.00854664]",Kgoro ya Maphelo e netefaledit e Kabinete gore go,Tourism for Inclusive Growth,0.6341095
[0.6050673  0.03158047 0.48260915 ... 0.82195896 0.9635259  1.2967572 ],"[ 1.5982460e-02 -1.8432756e-03 -3.5672670e-05 ...  7.1652741e-03
  3.8004644e-02  1.7405322e-02]","ongwa ka maatla go kwe i a le go laola diphetet o t eo di begilwego ka dikolong, kudukudu ka Kapa Bohlabel","APPOINTMENTS All appointments are subject to the verification of qualifications and the relevant clearance Ms Andiswa Oyama Jass as Chief Financial Officer at the Department of Forestry, Fisheries and the Environment (DFFE).",0.7064606
"[ 0.7852204   1.8802308  -0.11756882 ...  1.1080629   1.2920612
  0.7219915 ]","[ 0.0241888  -0.00071414  0.00441473 ...  0.01314616  0.02012846
  0.01307292]","Le ge go le bjale, Kabinete e ipilet a go batswadi, baithuti le makgotlataolo a dikolo go netefat a gore go obamela kudu go apara dimaseke, go dira gore go be le tsenyomoya, go tlogela sekgoba magareng ga batho le pabalelo ya maphelo ya go hlapa diatl Go obamela kudu ditshepedi o t a maphelo t eo e sego t a dihlare go t wela pele go ba boit hirelet o bjo bo","Meanwhile, Cabinet appeals to parents, learners and school governing bodies to ensure strict adherence to the wearing of masks, ventilation, social distancing and handwashing hygien Strict adherence to the non-pharmaceutical health protocols remains the most effective defence against the spread of the viru By 31 August 2021, more than 12 568 525 doses of COVID-19 vaccines had been administered across the countr The increased number of vaccination sites, and extended vaccination days and the provision of free transport by provinces, will result in a significant increase in the number of people who will be fully vaccinate",0.8089983
"[ 0.5176623  -0.0783382   0.17852016 ...  0.43749854  0.63142204
  0.913246  ]","[-0.00051858  0.00644579 -0.00014911 ...  0.00301229  0.00357119
  0.03851256]",omago kudu kgahlanong le go phatlalat wa ga baerase y,Sawutana and many other innocent women who may not have been reported by the medi,0.64418197
