zu,en,src_text,trg_text,Cosine_Score
"[ 0.03760462 -0.15648672  0.25043914 ...  1.2200748   1.3221841
  2.9356027 ]","[-9.2853926e-04 -9.7492608e-05  2.4249554e-02 ...  3.7217401e-02
  2.3567244e-02  6.7258529e-02]",IKhabhinethi ihlangane eTuynhuys eKapa Izindaba Ezisematheni IKhabhinethi iyamukelile imiphumela yeNgqungquthela Ejwayelekile yeziNhloko Zemibuso kanye Nohulumeni yama-37 Yenhlangano Yokuthuthukiswa Kwamazwe aseNingizimu ne-Afrika (i-SADC) ebisingethwe eNingizimu Afrika kusukela mhla ziyi-9 kuya mhla zingama-20 kuNcwaba 2017 ngaphansi kwendikimba ethi:,Cabinet met at Tuynhuys in Cape Town Issues in the environment Cabinet welcomed the outcomes of the 37th Southern African Development Community (SADC) Ordinary Summit of Heads of State and Government held in South Africa from 9 to 20 August 2017 under the theme:,0.8946602
"[ 0.48883057  0.06232228 -0.190837   ...  1.127982    1.4889853
  2.0868576 ]","[ 1.33422995e-02 -2.82980531e-04 -3.11500444e-05 ...  1.61480587e-02
  5.40079735e-02  6.39985874e-02]","Sisebenzisana noMkhakha Ozimele Ekuthuthukiseni Imboni kanye Nochungechunge Lokuthengwa Kwempahla Lwesifunda .Ingqungquthela igxile ekuqalisweni ukusebenza kweQhinga le-SADC Lokwenziwa Kwezimboni kanye Nomkhombandlela wokudlondlobalisa ukukhula komnotho kanye nentuthuko esifunden Iqhinga lihlose ukushintsha isakhiwo seminotho yesifunda bese likhuthaza ukwengezwa kobunani ngokugxila emisebenzini yokulungiswa kwemikhiqizo yezolimo, ukuhlomula ngezimbiwa kanye nemikhiqizo yezimony Ingqungquthela igcizelele isidingo sokuba nemiphumela ephathekayo nebambekayo ezophucula ingcebo yezw IKhabhinethi nayo njengoMongameli uJacob Zuma ibonga iNkosi Yohlanga uMswati III, uSihlalo ophumayo we-SADC, ngegalelo lakhe elisemqoka kanye nobuholi bakhe, njengoba iNingizimu Afrika ithatha izintambo zomsebenzi wokuba nguSihlalo we-SADC kusukela ngoNcwaba 2017 kuya kuNcwaba 2012.","Partnering with the Private Sector in Developing Industry and Regional Value Chains .The summit focused on the implementation of the SADC Industrialization Strategy and Roadmap to accelerate economic growth and development in the regioThe strategy seeks to change the structure of the economies of the region and promotes value-addition with focus on agro-processing, mineral beneficiation and pharmaceutical The summit emphasized the need to have concrete outcomes that leverage on our national endowmentCabinet joins President Jacob Zuma in thanking His Majesty King Mswati III, the outgoing Chairperson of the SADC, for his valuable contribution and leadership, as South Africa assumes the role of chair of the SADC from August 2017 to August 2012.",0.8516748
"[ 1.2131464  -0.13202783 -0.10982694 ...  0.920343    1.5154171
  1.5661656 ]","[ 0.01566741 -0.00185932  0.00081816 ...  0.01258318  0.03986602
  0.05340284]","IKhabhinethi ithulela isigqoko bonke abantu besifazane, futhi idlulisa ukubonga okusuka ngaphakathi enhliziyweni kulabo ababambe iqhaza ekugubheni nasekubungazeni abantu besifazane njengoba sesiyivala Inyanga Yabantu Besifazane, ngaphansi kwendikimba ethi:","Cabinet salutes all women, and extends heartfelt thanks to those who participated in celebrating and commemorating women as we close Women s Month, under the theme:",0.89069694
[0.41154072 0.14365621 2.958051   ... 1.2068655  1.2092295  1.2666179 ],[0.00098537 0.01124598 0.05130933 ... 0.01183198 0.02709249 0.02312784],"Unyaka ka-OR Tambo: Abantu Besifazane Babumbene Ukuqhubela iNingizimu Afrika Phambili .Yize abantu besifazane sebezuze izinto ezibalulekile eNingizimu Afrika, kuningi okusadinga ukwenziwa kanti futhi izinhlelo zikahulumeni zizoqhubeka nokubeka eqhulwini ukubandakanywa kwabantu besifazane ekuthuthukisweni kwemiphakathi yethu, umnotho kanye nezw Abantu besifazane basaqhubeka nokubhekana namazinga angamukelekile okuhlukunyezwa kanye nodlame, ububha kanye nokungasebenz IKhabhinethi iwuqaphelile Umbiko Wokhondolo Lobubha okhishwe ngabesikhungo Sezezibalo eNingizimu Afrika (i-Stats SA) futhi izowubhekisis IKhabhinethi igcizelele isibophezelo sayo ezinhlelweni zayo ezicheme nabantu abahluphekayo, ikakhulukazi njengoba ziqondene nezingane eziqhamuka emakhaya ahlwempEminyakeni engama-23 eyedlule, uhulumeni usekhuphule uhlelo lwemali yesibonelelo sikahulumeni kubantu abahluphekayo kanye nababuthakathaka lwasuka ebantwini abay izigidi eziwu-2,7 lwaya kwabayizigidi eziyi-17.","The Year of OR Tambo: Women United in Moving South Arica Forward .Although women have made important gains in South Africa, more needs to be done and government programmes will continue to prioritise the involvement of women in developing our communities, the economy and countr Women still continue to face unacceptable levels of abuse and violence, poverty, unemploymen Cabinet noted the Poverty Trends Report released by Statistics South Africa and will engage with i Cabinet reiterated its commitment to its pro-poor programmes, particularly as it relates to children coming from poor householdOver the last 23 years, government has increased the social grants programme to poor and vulnerable communities from 2, 7 million to 17 million peopl This programme covers over 91% of eligible children and 95,5% of the eligible old age peopl Over 20 000 schools have been declared no-fee schools, with over nine million learners benefiting from the school nutrition programmeThe National Student Financial Aid Scheme has since 1999 disbursed more than R72 billion in loans and bursaries to students from poor household This has resulted in more than two million students from poor communities accessing tertiary educatio A total of 1,7 million children are accessing registered Early Childhood Development services, which is a critical foundation for educatio In 2012 government also introduced a school health programme, which is an intervention to some of the barriers that hinder progress in some of the learnerAdditionally, government has a number of anti-poverty measures which provide free access to basic services to millions of indigent families such as free piped water, sanitation, free electricity and refuse remova Government has also implemented public employment programmes and housing schemes to enable poor families to have houseGovernment will continue to find ways to strengthen some of the social security programmes that are designed to cushion the poor and vulnerable communitie Cabinet commends the launch of the Ghana Radio Astronomy Observatory, by the Ghanaian President Nana Akufo-Addo and South Africa s Minister of Science and Technology, Ms Naledi PandoThis is significant for Africa s participation in the Square Kilometre Array (SKA) projec The observatory in Ghana is the first other than South Africa, as one of the partner countrieAs SKA Africa partners, the SKA South Africa/Hartebeesthoek Radio Astronomy Observatory group collaborated with Ghana to harness the radio astronomy potential of the redundant satellite communication antenna at KuntunsThe Department of International Relations and Cooperation (DIRCO) has funded a large part of the conversion project through the African Renaissance and International Cooperation Fund, which is aimed at strengthening cooperation between South Africa and other African countrieA vital part of the effort towards building the SKA on the African continent over the next decade is to develop the skills, regulations and institutional capacity needed in SKA partner countries to optimise African participation in the projec Cabinet welcomes the announcement from the Minister of Environmental Affairs, Ms Edna Molewa that South Africa is finalizing in the outstanding three provinces, a verification and audits of all the existing privately owned rhino horn stockpileThe initial audit which was conducted by the provinces is being checked and verified by the national Department of Environmental AffairThis will assist in preventing the potential smuggling of illegally obtained rhino horns and will ensure that the country has full and accurate information on the number of horns in South Africa at any given time, as well as the registered owner of each one of such hornOn the ruling by the North Gauteng High Court on the issuing of the permit on the selling of Rhino horns to breeder Mr John Hume, which saw South Africa s first online auction of Rhino horn, Cabinet reiterates amongst several other operational conditions, that; the position permit holder, who must have acquired a sellers permit can only sell rhino horn to a person who has a buyers permit issued in terms of the National Environmental Management Biodiversity Act, 2004 (Act 10 of 2004), authorizing him/her to buy rhino horn from a sellers permit holder, in this case being Mr HumThe permit does not authorize international trade in rhino hor International trade on horn remains banned, in terms of the provisions on the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES).During the entire auction the department of environment must be granted access to the online auction to do the necessary compliance monitorinSouth Africa remains committed to a regulated process that manages the trade in threatened or protected species in line with the domestic legislation, as well as the legally binding provisions of the CITE Cabinet welcomes the High Court guilty verdict against the perpetrators involved in a case involving racially motivated violation of an African man by being put in a coffiThe guilty verdict will serve as a warning to those who still continue to harbor racial prejudices in the countr Cabinet reassures South Africans that any form of racism or act of hate will not be tolerate",0.8434914
"[ 0.01400214 -0.43094575  5.4381547  ...  1.5376478   0.51564384
  1.3311267 ]",[0.02312194 0.00381216 0.00307659 ... 0.03722367 0.03656289 0.01420515],"Lolu hlelo lusiza izingane ezingaphezu kwama-91% ezifanelekile kanye nabantu abadala abafanelekile abangama-95,5%.","Cabinet applauded the financial contribution by the National Disaster Management Centre to the Western Cape Provincial Governmen More than R74 million was made available to address drought-related challenges, including recent ravaging fires and shortage of livestock fee",0.6069058
[0.23198256 0.08755806 0.47741205 ... 1.0518063  0.4749628  0.9826083 ],"[ 0.02492251 -0.00076521  0.02795151 ...  0.03965915  0.0427783
  0.05900586]","Izikole ezingaphezu kwezi-20 000 sezidalulwe njengezingayikhokhisi imali yesikole, nalapho kunabafundi abangaphezu kwezigidi eziyisishiyagalolunye abahlomula ezinhlelweni zokuphakelwa kwezingane ukudla okunomsoco ezikolen Isikimu Sikazwelonke Sosizo Lwezimali Lwabafundi (i-NSFAS) kusukela ngowe-1999 sesikhiphe imali engaphezu kwezigidigidi ezingama-72 zamarandi kumalimboleko kanye nemifundaze kubafundi abavela emakhaya ahlwemp Lokhu sekuholele kubafundi abangaphezu kwezigidi ezimbili abavela emakhaya ahlwempu asebefinyelele imfundo esemazingeni aphezul Isamba sezingane eziyizigidi eziwu-1,7 zifunda ezinkulisa, eziyisisekelo esisemqoka sezemfundNgowe-2012 uhulumeni waphinda wethula uhlelo lwezempilo esikoleni, oluyisinyathelo sokungenelela olwenziwa kwezinye izingqinamba ezithuntubeza inqubekelaphambili kwabanye abafundNgaphezu kwalokho, uhulumeni unenqwaba yezinyathelo ezilwisana nobubha ezihlinzeka ngezinsizakalo eziyisisekelo ezimahhala ezigidini zemindeni ehlwempu ezinjengamanzi ahamba ngamapayipi, ukuthuthwa kwemfucuza, ugesi wamahhala kanye nokuthuthwa kukadot Uhulumeni uphinde waqalisa ukusebenza kwezinhlelo zokunikezwa komphakathi umsebenzi kanye nezikimu zezezindlu ukuvumela imindeni ehluphekayo ukuba ikwazi ukuba nezindlUhulumeni uzoqhubeka nokuthola izindlela zokuqinisa ezinye zezinhlelo zezibonelelo zikahulumeni ezisungulelwe ukusimamisa abantu abahluphekayo kanye nemiphakathi ebuthakathak IKhabhinethi incoma ukwethulwa kwesibonakude i-Ghana Radio Astronomy Observatory, okwenziwe nguMongameli waseGhana uNana Akufo-Addo kanye noNgqongqoshe Wezesayensi Nobuchwepheshe waseNingizimu Afrika, uNks Naledi PandoLokhu kusemqoka ngokubamba iqhaza kwe-Afrika emklamweni we-Square Kilometre Array (i-SKA).","FACIM is an international multi-sectoral trade fair held annually to showcase Mozambique as an attractive destination for trade and investmen Twenty companies were funded by the Department of Trade and Industry (the dti) while 10 were supported by the Mpumalanga Economic Growth Agenc The companies represented various sectors including chemicals, agro-processing, clothing and textile, engineering, mining and capital equipment, and electro-technical and built environment sectorMozambique is South Africa s third largest trade partner in the SADC region, after Botswana and Namibi Trade between the two countries increased from R29 billion in 2012 to R43 billion in 2016.",0.84097695
"[ 0.3566072  -0.01537025 -0.05937572 ...  1.470073    1.5499517
  1.4071753 ]",[0.01089579 0.00125474 0.00883757 ... 0.02622895 0.03648348 0.03016987],"Isibonakude esiseGhana singesokuqala ngaphandle kwesiseNingizimu Afrika, njengelinye lamazwe okubanjiswene nawNjengabalingani be-SKA yase-Afrika, iqembu le-SKA South Africa/Hartebeesthoek Radio Astronomy lisebenze ngokuhlanganyela neGhana ukuvuselela isibonakude","South Africa s biggest export destination within BRICS remains China, followed by India, Brazil and then Russi The same pattern is also evident in imports, with China remaining the biggest source of importThe 2017 BRICS Summit will feature five key priorities namely, deepening cooperation, strengthening global governance, undertaking people-to-people exchanges, advancing institutional improvements and building broader partnershipThe strategic focus for South Africa in BRICS is to promote value-added trade, attract investment into the country s productive sectors and enhance cooperation to advance our development objective Cabinet noted the participation of South African companies in the 53rd edition of the Maputo International Trade Fair, commonly known as FACIM, which is taking place in Mozambique from 28 August to 3 September 2017.",0.7486619
"[ 0.09075857 -0.37428108  0.1814014  ... -0.08487777 -0.02893731
  0.05101602]","[ 0.01207694 -0.00260699 -0.00058891 ...  0.02135532 -0.00179358
  0.00479707]",ebesingasebenzi,historical municipal deb,0.54897684
"[ 0.3115125  -0.26043695 -0.22900587 ...  0.257315    0.13922544
  0.25123432]","[ 0.00874794 -0.00078439  0.00041018 ...  0.03185842  0.01234395
  0.01806693]",esiseKuntunsUmnyango Wezobudlelwano Bamazwe,"National Treasury, the Department of Public Service and Administration, and the State Information Technology Agency",0.6265004
[0.16520119 0.01006268 1.0441265  ... 1.068215   1.2400208  0.5059147 ],"[ 0.0210116  -0.0005781   0.01057528 ...  0.02993448  0.03766426
  0.01894982]","Nokubambisana (i-DIRCO) uxhase ngezimali ingxenye enkulu yomklamo wokuvuselela esi sibonakude usebenzisa Isikhwama Sezimali Sokuzalwa Kabusha Kwe-Afrika kanye Nokubambisana Kwamazwe Omhlaba, esihloselwe ukuqinisa ukusebenza ngokubambisana phakathi kweNingizimu Afrika kanye namanye amazwe ase-AfrikIngxenye esemqoka yomzamo oqondiswe ekwakheni i-SKA ezwenikazi lase-Afrika eminyakeni eyishumi ezayo ukuthuthukisa amakhono, izimiso kanye namandla esikhungo adingeka emazweni abambisene kwi-SKA ukuze anikeze ithemba elikhulu ngokubamba iqhaza kwe-Afrika emklamwen IKhabhinethi iyasamukela isimemezelo esivela kuNgqongqoshe Wezemvelo, uNks Edna Molewa sokuthi iNingizimu Afrika isiyaphothula ezifundazweni ezintathu ezisilele emuva, ukuqinisekiswa kanye nokucwaningwa kwazo zonke izindawo ezikhona eziphethwe ngabantu abazimele eziphakela ngezimpondo zobhejan Ucwaningo lokuqala olwabanjwa yizifundazwe lusabhekwa futhi luqinisekiswe nguMnyango kazwelonke WezemvelLokhu kuzosiza ekuvimbeleni ukushushumbiswa okungenzeka kwezimpondo zobhejane ezitholakale ngokungemthetho futhi kuzoqinisekisa ukuthi izwe linolwazi olugcwele futhi olushaya emhloleni maqondana nesibalo sezimpondo zobhejane ezikhona eNingizimu Afrika ngesikhathi esithile, kanye nomnikazi obhalisiwe wophondo likabhejane ngalunye kulezo zimpondMaqondana nesinqumo esikhishwe yiNkantolo Ephakeme yaseNyakatho Gauteng maqondana nokukhishwa kwemvume yokudayisa izimpondo zoBhejane inikezwa umfuyi uMnu John Hume, okubonise indali yokuqala ngqa eyenziwa kwi-inthanethi eNingizimu Afrika yezimpondo zoBhejane, iKhabhinethi igcizelela phakathi kwezinye izimo eziningi zokusebenza, ukuthi; umnikazi wemvume okukhulunywa ngaye, okufanele ukuba uyitholile imvume yokudayisa angadayisa uphondo lukabhejane kuphela kumuntu onemvume yokuthenga ekhishwe ngokoMthetho Kazwelonke Wokuphathwa Kwengxubevange Yezemvelo, wezi-2004 (uMthetho we-10 wezi-2004), omgunyaza ukuthenga uphondo lukabhejane kumnikazi onemvume yokudayisa, kulokhu okunguMnu HumImvume ayikugunyazi ukuhwebelana kwamazwe ngamazwe ngezimpondo zobhejan Ukuhwebelana ngezimpondo zikabhejane kusalokhu kuvaliwe, ngokwemihlinzeko yeSivumelwano maqondana Nokuhwebelana Kwamazwe Ngamazwe Ngezilwane Nezitshalo Zasendle Ezisengcupheni Yokushabalala (i-CITES).","In aligning legislation with developments in the education landscape, Cabinet approved for the publication of the Basic Education Laws Amendment Bill of 2017 in the Government Gazette for public commenThe Bill is the outcome of the review of all basic education legislation with a view to enhancing organisational efficiency so as to improve school governance, leadership and accountability, transforming education services, and protecting vulnerable groups to ensure the well-being of learnerAmendments were proposed to the South African Schools Act, 1996 (Act 84 of 1996), and the Employment of Educators Act, 1998 (Act 76 of 1998) Upcoming events In September we will mark Heritage Month, Tourism Month, Arbor Week, Public Service Month, National Development Plan (NDP) Month and Thusong Service Centre Wee Further details on these events will be communicated by the relevant department As the chair of the SADC, South Africa has offered to host the SADC ICT Ministers Meeting from 4 to 7 September 2017 to discuss progress made on the implementation of the SADC Communications and ICT ProgrammMinister Ayanda Dlodlo and Minister Siyabonga Cwele will lead the South African delegation in this meetin The meeting is to provide guidance on strategic communications and ICT issues and also track implementation of decisions made at previous meeting South Africa will use the meeting to promote access to affordable ICT infrastructure services, thereby positioning the country as a regional infrastructure hub and promoting small, medium and micro enterprises under the overall SADC industrialisation and regional integration agenda The 9th Brazil, Russia, India, China and South Africa (BRICS) Summit will take place in Xiamen, China from 4 to 5 September 2017.",0.8298438
