zu,en,src_text,trg_text,Cosine_Score
"[ 1.6335932  -0.23488155 -0.1996075  ...  0.71116495  0.54356617
  1.4172307 ]","[ 0.01087041  0.00584459 -0.00012778 ...  0.04117208  0.02597933
  0.02384419]","IKhabhinethi labamba umhlangano walo wokugcina wezi-2017, e-Union Buildings ePitol Izinqumo zeKhabinethi1.","Cabinet convened for its last 2017 meeting at the Union Buildings in Pretori Cabinet DecisionsCabinet approved the National Tourism Sector Strategy (NTSS) 2016-2026 for implementatio The NTSS is anchored on five strategic pillars, namely marketing, facilitation of ease of access for tourists, enhance visitor experience, destination management and broad-based benefit The full document is available on the Department of Tourism s website: wwtourisgozCabinet approved the framework for the establishment of a National Broadband Network Compan It will be formed out of the merger of Sentech and Broadband Infrac This will facilitate the roll-out of the interdependent elements in a coordinated manner and create a national broadband champioCabinet approved the First Annual Progress Report on Implementation of the White Paper on the Rights of Persons with Disabilities (WPRPD).",0.64896756
"[ 0.9684005  -0.0506912   0.13564375 ...  1.0037355   0.99770784
  1.8038816 ]","[ 1.3710434e-02  1.8870450e-03 -5.1495917e-06 ...  1.7413089e-02
  1.4876372e-03  2.1637736e-02]",IKhabhinethi likugunyazile ukuqaliswa kokusebenza kweQhingasu Likazwelonke Lomkhakha Wezokuvakasha (i-NTSS) lowezi-2016-2026.,"The Development Indicator Report focuses on South Africa s development since democracy and monitors implementation of the National Development Plan Vision 2030.Cabinet approved measures to strengthen the management of discipline of public servants in relation to officials conducting business with organs of stat It gives effect to the Public Service Regulations 2016, which prohibits public servants from conducting business with the Stat",0.7130499
"[ 0.33321115  0.08172448 -0.22740926 ...  1.1414188   0.5976359
  1.1635497 ]","[ 0.01474291 -0.00158781  0.0444677  ...  0.03112271  0.01358059
  0.01862939]","I-NTSS isekelwe ezinsikeni ezinhlanu ezikhethekile okusetshenzelwa phezu kwazo, okusho, ezokukhangisa, ukulawulwa kahle kwenqubo yokufinyelela kwabavakashi ezinhlelweni zokuvakasha, ukuphathwa kahle kwabavakashi nokwenziwa ngcono kwendlela abathokozela ngayo ukuvakasha kwabo, ukuphathwa nokulawulwa kahle kwezindawo ezivakashelwa ngabavakashi kanye nemihlomulo ebanzi yezokuvakashUmbhalo ophelele waleli qhingasu uyatholakala kuwebhusayithi yoMnyango Wezokuvakasha ku: wwtourisgoza IKhabhinethi lilugunyazile uhlaka lokusungulwa kweNkampani Kazwelonke Yohlelo Lwe-inthanethi Esheshay Le nkampani izosungulwa ngokuthi kuhlanganiswe i-Sentech ne-Broadband Infrac Lokhu kuzokwenza lula ukuqaliswa nokuqhutshwa ngendlela ehambelanayo kwaleyo misebenzi okudingeka ukuba yenziwe yilezi zikhungo ezimbili ngokubambisana, futhi lokhu kuzokwakha isikhungo sikazwelonke esingushampeni weze-inthanethi esheshayo IKhabhinethi liwugunyazile uMbiko Wokuqala Wenqubekela Eseyenziwe Okhishwa Minyaka Yonke Wohlaka Lomthetho Odingidwayo Wamalungelo Abantu Abanokukhubazeka (i-WPRPD).","From 1 March, National Treasury, supported by the Department of Public Service and Administration (DPSA), will monitor all new registrations on the online Central Supplier Database against the Persal SysteCabinet approved the New Performance Management and Development System for Heads of Department, which accurately reflects the link between individual and organisational performanc It comes into effect on 1 April 2018.Cabinet approved the introduction and implementation of the Public Service Graduate Recruitment Scheme Framewor This forms part of the development programme within the Public Service to attract talented graduates into the Public ServicThe framework includes earmarking a percentage of each department s vacant posts for the recruitment of graduates in scarce occupation The Minister of Public Service and Administration will also align this framework to the Youth Employment Service ProgrammCabinet approved for the publication of the following Notices in the Government Gazette relating to the Rationalisation of Courts Jurisdiction, which aims to increase access to justice for previously marginalised and under-serviced rural village",0.81264055
"[ 0.45803306  0.08974942 -0.02413384 ...  1.1176165   0.5982281
  1.6019329 ]",[0.01153951 0.03220819 0.00014117 ... 0.03913446 0.010395   0.04904792],"Lo mbiko uqondene nesikhathi esisukela mhla lu-1 kuMasingana kuya kumhla zingama-31 kuZibandlela 2016.Uhlinzeka ngomphumela wokuhlola nokuhlaziya okusezingeni eliphezulu okubonisa ukuthi iminyango kahulumeni isihambe ibanga elingakanani ekuqiniseni imiyalelo yezinqubomgomo ze-WPRPD, ukuze ifakwe futhi isetshenziswe ngendlela ejulile ezinhlelweni zokuhlela zeminyango ehlukahlukene, ukwabiwa kwemali, ukuhlinzekwa kwezidingongqangi kanye nezinhlelo zokubika IKhabhinethi likugunyazile ukushicilelwa koHlaka Olukhethekile Lwenqubomgomo Yokukhubazeka oluqondiswe Ohlelweni Lwemfundo Ephakeme Nokuqeqesha ukuze umphakathi uzwakalise imibono yawo IKhabhinethi lethulelwe umbiko mayelana nemiphumela yokuBuyekezwa Kohlelo Lokuhlelwa Kabusha Kwemboni Yamatekisi okwenziwa kusukela ngoLwezi 2015 kuya kuMandulo 2016.","The report covers the period from 1 January to 31 December 2016.The report gives a high-level assessment of the extent to which government departments have started embedding the policy directives of WPRPD into their respective planning, budgeting, and service delivery and reporting systemCabinet approved the publication of the Strategic Disability Policy Framework for the Post-School Education and Training System for public commenCabinet was briefed on the outcomes of the Review of the Taxi Recapitalization Programme conducted from November 2015 until September 2016.",0.8549217
[0.48218676 0.13664202 0.52025753 ... 0.42842793 0.8972825  2.1827822 ],"[-0.00060464 -0.00098156  0.000942   ...  0.02245483  0.01224578
  0.04362863]","Lolu hlelo luyingxenye yeQhingasu Elibanzi Lezithuthi Zomphakathi, okuhloswe ngalo ukuhlinzeka eNingizimu Afrika ngohlelo lwezokuthutha oludidiyelwe, oluphephile futhi olusebenza kahlIKhabhinethi livumile ukuba kubanjwe ezinye izigcawu zokubonisana nababambiqhaza, futhi kusenomsebenzi okumele wenziwe ngokubambisana neminyango kahulumeni efanelekile ngaphambi kokuba uMnyango Kazwelonke Wezokuthutha uqalise ukusebenza kohlelo olusha olubuyekeziwe IKhabhinethi livumile ukuba zikhishelwe umphakathi iziNkomba Zentuthuko zehlandla lesi-8 (zowe-2016).","The programme is part of the broader Public Transport Strategy, which aims to provide an integrated safety and efficient transport system in South AfricCabinet approved that more consultation and work must be done with relevant departments before the National Department of Transport can embark on the revised approacCabinet approved the public release of the 8th edition of the Development Indicators (2016).",0.8752109
"[ 0.16611832  0.17861387 -0.17430377 ...  0.9544094   0.44962582
  0.6753967 ]","[ 0.02916085 -0.00014547  0.0014923  ...  0.01120242  0.0289446
  0.02735895]","Umbiko Wezinkomba Zentuthuko ugxile kwintuthuko yeNingizimu Afrika kusukela esikhathini sokufika kwentando yeningi labantu, futhi izinkomba zentuthuko zihlola futhi ziqaphe ukuqaliswa kweNhlosombono yowezi-2030 yoHlelo Lokuthuthukiswa Kwezwe (i-NDP) IKhabhinethi lizigunyazile izinyathelo zokuqinisa ukulawulwa kokuziphatha ngendlela efanele kwezisebenzi zikahulumeni, odabeni oluphathelene nezikhulu zikahulumeni ezenza ibhizinisi nezikhungo zikahulumen Lokhu kuqalisa ukusebenza kweMithethonqubo Yomkhakha Wezemisebenzi Kahulumeni yowezi-2016, enqabela abasebenzi bakahulumeni ukwenza ibhizinisi noMbus Kusukela mhla lu-1 kuNdasa, Umnyango Wezezimali Kuzwelonke, ngokwesekwa wuMnyango Wezemisebenzi Kahulumeni Nokuphathwa Kwayo (i-DPSA), lizoqapha futhi liqhathanise imininingwane yabo bonke abahlinzeki bempahla nezinsizakalo abasha ababhalisa nge-inthanethi kwiSizindalwazi Sikazwelonke Sabahlinzeki Bempahla Nezinsizakalo (i-CSD) nemininingwane equkethwe oHlelweni lwe-Persal, okuwuhlelo lwemiholo yabasebenzi bakahulumeni IKhabhinethi lilugunyazile uHlelo Olusha Lokuthuthukiswa Nokulawulwa Kwendlela Ezisebenza Ngayo iziNhloko Zeminyango Kahulumeni, okuwuhlelo olubonisa ngendlela enembayo ukuxhumana phakathi kwendlela asebenza ngayo umuntu ngamunye kanye nendlela osebenza ngayo umnyango kahulumeni wonkan Lolu hlelo luzoqala ukusebenza kusukela mhla lu-1 kuMbasa 201 IKhabhinethi likugunyazile ukwethulwa nokuqaliswa koHlaka Lohlelo Lokuqashwa Kwabafundi Abasanda Kuphothula Iziqu Zemfundo Ephakeme Emkhakheni Wezemisebenzi Kahulumen Lokhu kuyingxenye yohlelo lokuthuthukisa oluqhutshwa ngaphakathi eMkhakheni Wezemisebenzi Kahulumeni okuhloswe ngalo ukuheha abafundi abanamakhono abasanda kuphothula iziqu zabo zemfundo ephakeme, ukuze beze bazosebenzela uMkhakha Wezemisebenzi KahulumenLolu hlaka luhlanganisa nokwabiwa kwephesenti elithile lezikhala zomsebenzi emnyangweni kahulumeni ngamunye okuzoqashwa kuzona abafundi abasanda kuphothula iziqu zabo zemfundo kuleyo mikhakha edinga amakhono ayivela kancan UNgqongqoshe Wezemisebenzi Kahulumeni Nokuphathwa Kwayo uzoqinisekisa futhi ukuthi lolu hlaka luhambisana kahle noHlelo Lokuqashwa Kwentsh IKhabhinethi likugunyazile ukushicilelwa kweZaziso ezilandelayo kuSomqulu Kahulumeni mayelana nokuHlelwa Kabusha Kobubanzi Begunya Lokusebenza Nokwengamela Kwezinkantolo, okuhloswe ngakho ukukhulisa izinga lokutholakala kobulungiswa kubantu ababencishwe amathuba phambilini kanye nasezindaweni ezisemakhaya ezingazitholi izinsizakalo zobulungiswa ngendlela efanel Ukuhlelwa kabusha kwegunya lezinkantolo lokusebenza nokwengamela kuzokwenziwa kwizifunda-nkantolo ezithile eFreyistata naseNyakatho Kapa, futhi kuzokhishwa iziFunda-nkantolo ezithile ngaphansi koPhiko Lwenkantolo Ephakeme lwaseGauteng, zifakwe ngaphansi kwegunya lokusebenza nokwengamela loPhiko Lwenkantolo Ephakeme yaseNyakatho NtshonalangIKhabhinethi liyigunyazile iMithethonqubo ephathelene Nemithetho Yokuxazululwa Kwemibango ngaphansi koMthetho Wokuvikelwa Kotshalomali wezi-2015 (uMthetho wama-22 wezi-2015).","In 2018 the country will mark the centenary of the life of Mandela and all South Africans are encouraged to join in the year-long celebration as we pay tribute to one of Africa s greatest sonCabinet thanks all South Africans for their participation in the various OR Tambo commemoration events across the country and looks forward to the same level of participation as we remember our icon, MadibFestive Season Cabinet wishes all South Africans a joyous and safe festive seaso We call on those who will be travelling to ensure their vehicles are roadworth All road users, drivers and pedestrians must abide by the rules of the roaThe Minister of Transport, Mr Joe Maswanganyi, launched the Arrive Alive campaign on the 5 December in Bela-Bela, Limpop The SAPS is implementing its nationwide campaign for a safer festive season and all have a responsibility to support the SAPS by upholding the law and behaving responsiblThe Department of Home Affairs will announce the 2017/18 festive season plans for the South African border environmen This is for smooth facilitation and enhanced management of movement of people and goods in and out of South Africa during this peak perioWe also appeal to parents and guardians not to leave children unattended as we are duty-bound to take care of our childreCabinet is pleased that the Matric exams proceeded without major incidents and wish the class of 2017 well as they await their final result AppointmentsAll appointments are subject to the verification of qualifications and the relevant clearancMs Ilise Karg as the dti s representative on the National Advisory Council on InnovatioBoard of Trustees of the National Empowerment Fund:1 Ms Nonkqubela Helen Maliza;2 Ms Lerato Cynthia Molefe;3 Ms Nthabiseng Mateboho Moleko;4 Mr Ernest Kwinda; and5 Mr Sipho Zikode (the dti representative).Mr Sandile Mkhize, as Chief Executive Officer (CEO) of Magalies WateMr Wiseman Mkhize, as Board member of the National Energy Regulator of South AfricMr Phakamani Buthelezi, as CEO of Overberg WateAdvocate Samuel Vukela, as Director-General (DG) of the Department of Public WorkMs Brenda Sibeko, as Deputy DG (DDG) for Comprehensive Social Security in the Department of Social DevelopmenMr Zephania Nhleko, as DDG for Economic Planning and Coordination in the Economic Development DepartmenMr Mandla Victor Ngcobo, as DDG: Government Chief Information Officer in the",0.8510045
"[ 0.31979236  0.05886502 -0.22673987 ...  1.3871312   0.5189939
  1.1664373 ]",[0.00683795 0.03487026 0.00493404 ... 0.00101317 0.03570494 0.06222059],"Le mithethonqubo ihlinzekela ukuba umtshalimali ongagculisekile ngesinyathelo esithile esithathwe nguhulumeni, esinomthelela kutshalomali lwakhe, acele ukuba uMnyango Wezohwebo Nezezimboni (i-dti) ungenelele ngenhloso yokuthi kuxoxiswane bese kutholakala isixazululIKhabhinethi likugunyazile ukubanjwa kwezingqungquthela ezilandelayo:","The regulations provide for an investor that has a dispute in respect of action taken by government that affects an investment, to request the Department of Trade and Industry (the dti) to intervene with possible mediation mechanisCabinet approved the convening and hosting of the following conferences:National Community Development Workers Programme Consultative Conference 2018 by the DPS International Association of Prosecutors 23rd Annual Conference, to be hosted by the National Prosecuting Authority in Durban during September 20121 World Science Forum in South Afric The Department of Science and Technology will engage with the World Science Forum Steering Committee for possible hosting17 African Union (AU) High-Level Dialogue, hosted by the DPSA from 6 to 8 December 2017.",0.7514682
"[ 0.42283136 -0.21333298 -0.32420263 ...  0.6966655   0.15852211
  0.7793427 ]","[ 0.02311192  0.00024405 -0.00119595 ...  0.01352372  0.02311703
  0.02185342]",INgqungquthela Kazwelonke Yokubonisana Nokuxoxisana Yabasebenzi Bezokuthuthukiswa Komphakathi yowezi-2018 ezosingathwa yi-DPS,RightCabinet welcomes the announcement by authorities that they will set up a transit and departure facility in Tripoli for refugees and migrants in need of international protectioOutbreak of ListeriosisCabinet appeals to all people to take the necessary precaution,0.6568999
"[ 0.9718053   0.20652014 -0.09868911 ...  0.6856924   1.2754463
  2.1396132 ]",[0.03372424 0.00174088 0.00860373 ... 0.02799976 0.05513751 0.02948971],"INgqungquthela yama-23 Yamazwe Ngamazwe Yabashushisi Ebanjwa Minyaka Yonke, ezosingathwa wuPhiko Lwezokushushisa Lukazwelonke (i-NPA) eDurban ngoMandulo 2018.","and circulation coin series to be issued in 2018.The coin designs, with their proclamations, will be printed in the Government Gazette: 2018 2oz, 22-carat gold Krugerrand;2018 24-carat gold Natura coin series (Rise of the dinosaurs",0.66623104
"[ 0.13835289  0.00398933 -0.27490798 ...  1.176429    0.7740377
  1.823764  ]","[ 2.6058534e-02 -4.4709200e-04 -6.2577150e-05 ...  3.0433146e-02
  4.3740302e-02  3.9674610e-02]",Isithangami Somhlaba Wonke Sezesayensi sowezi-2021 okuhlelwa ukuba sibanjelwe eNingizimu Afrik UMnyango Wezesayensi Nobuchwepheshe uzoxoxisana neKomidi Elilawulayo Lesithangami Somhlaba Wonke Sezesayensi ngenhloso yokunxenxa ukuba sivume ukuba le ngqungquthela ibanjelwe kulel,"Seekoe, liberation struggle veteran and former South African Ambassador to the Russian Federatio He has served the country with distinction as a South African Ambassador to Russia and as Chairperson of the South African Nuclear Energy Corporatio President Zuma had declared a Special Provincial Official Funeral for himThe family and friends of Struggle stalwart and ex-Robben Island prisoner, Mr Eddie Daniels, who recently passed awa He will be remembered for his selfless dedication and service to the people of South AfricaThe family of Minister of Defence and Military Veterans, Ms Nosiviwe Mapisa-Nqakula, on the passing away of her father, Mr Douglas Mapis He passed away at the Cecilia Makiwane Hospital in East London at the age of 96.",0.7153295
