zu,en,src_text,trg_text,Cosine_Score
"[ 0.12172295 -0.33622175  0.258443   ... -0.05734028  0.22555247
  0.25355998]","[ 0.00778594 -0.0007077   0.00053992 ...  0.00284386  0.00279296
  0.00283432]",Ezisematheni1.,Economy,0.7883593
"[ 0.12403445 -0.36763138  0.46801898 ... -0.0150638   0.20936784
  0.07780506]","[ 0.0055456   0.10863436  0.0014488  ... -0.00156413 -0.00342323
 -0.00016912]",Umnotho,Crime,0.7482959
"[ 0.50250804 -0.2527955   2.9546719  ...  1.2370169   0.95554966
  2.7488256 ]","[ 0.01182612 -0.00174731  0.11171225 ...  0.03755266  0.03249948
  0.07145927]","IKhabhinethi lamukele ukwehla kancane kwezinga labantu abangasebenzi kuleli lizwe, okwehle nge-, kusuka kuma-3 kwikota yokuqala kwaya kuma-3 kwikota yesibili ngowezi-2022.","Cabinet welcomed the slight decline in the country s unemployment rate, which dropped by percent, from 3 in the first quarter to 3percent in the second quarter of 2022.",0.9060507
[0.93697023 0.01895912 1.9103719  ... 0.6441148  0.8883864  0.9975918 ],[0.02650982 0.00206013 0.03083766 ... 0.01329854 0.01013236 0.03366211],"Amanani ashicilelwe kuCwaningo Lwabasebenzi Lwekota ngabeZezibalo eNingizimu Afrika abonisa ukuthi imisebenzi eminingi ebe khona ibe semkhakheni wezoMphakathi Nezinsiza Zenhlalo (276 000), wezoHwebo (169 000), weZezimali (128 000) kanye nowoKwakha (104 000).","The figures published in the Quarterly Labour Force Survey by Statistics South Africa show that the biggest job gains were recorded in Community and Social Services (276 000), Trade (169 000), Finance (128 000) and Construction (104 000).",0.90627396
"[ 0.3156742  -0.32347012  2.7335753  ...  1.033164    0.8808909
  2.43249   ]","[ 0.003169   -0.00025772  0.06670545 ...  0.0399767   0.02630427
  0.06667893]","Inani eliphelele labantu abaqashiwe lime kwizigidi eziyi-1kwikota yesibili ngowezi-2022, kwathi inani labantu abangasebenzi lakhula ngezi-132 000 laya ezigidini eziyi-kwikota yesibili ngowezi-2022 uma kuqhathaniswa nekota eyedlul","The total number of employed persons stood at 15, 6 million in the second quarter of 2022, and the number of unemployed persons increased by 132 000 to 8, 0 million in the second quarter of 2022 compared to the previous quarte",0.91608214
"[ 0.5493308  -0.00549315 -0.11165993 ...  0.85379606  1.0161966
  0.3524426 ]","[8.85718409e-03 7.08271982e-05 4.77549527e-03 ... 4.43733707e-02
 1.93800237e-02 1.29417945e-02]",Le mpumelelo engatheni kodwa ejabulisayo ibonisa ukuthi inhlanganisela yemizamo kahulumeni ekanye nozakwabo emiphakathini yokukhulisa umnotho nokusungula imisebenzi edingekayo isiqala ukuthela izithel,These modest yet impressive gains show that the concerted efforts by government and its social partners to grow the economy and create much-needed jobs are beginning to bear frui,0.89241457
"[ 0.50429416 -0.19264925 -0.00850643 ...  0.6470535   0.49520954
  1.4852407 ]","[ 1.9468840e-02 -4.1309548e-05 -1.3945278e-04 ...  2.2748163e-02
  1.7525762e-03  3.4885831e-02]","Lokhu kungubufakazi bokuthi uma sonke sisebenza ngokubambisana siphikelele phambili ngamandla ahlangene, singazinqoba izinselele ezibhekene nomnotho weth","This is a testament to the fact that if we all work together by harnessing our collective strengths, we can overcome the challenges facing our econom",0.85787815
"[ 0.32722127 -0.08529101  0.02419813 ...  0.9271273   0.6469769
  0.8010149 ]",[0.01218107 0.00139241 0.00065826 ... 0.02305007 0.01702972 0.01442265],"IKhabhinethi liyakuqonda ukukhungatheka kwabantu baseNingizimu Afrika njengoba bethwele kanzima ukuphila nsuku zonke ngenxa yezindleko eziphezulu zempilo kanye nezinga eliphezulu labantu abangasebenz Njengohulumeni onakekelayo, silokhu sizimisele futhi sizinikele ekusebenzisaneni nozakwethu emiphakathini ukwakha ikusasa elingcono lawo wonke umunt Uhulumeni usalokhu ezinikele ekwesekeni amabhizinisi alapha ekhaya ngokuthenga impahla nokusebenzisa izinsiza zalapha ekhaya","Cabinet understands the frustrations of South Africans as they struggle to go about their daily lives owing to the cost of living and high unemployment rat As a caring government, we remain determined and committed to working together with our social partners to build a better tomorrow for everyon Government remains committed to supporting local businesses by buying local goods and services",0.90656
"[ 0.24457337 -0.0855981  -0.0620409  ...  0.54719526 -0.28775254
 -0.04347839]","[ 0.00317568 -0.00055323  0.00012978 ...  0.00647747 -0.00561066
 -0.00298943]",Ingqalasizinda Yomphakathi,Public infrastructure,0.7794516
"[ 2.4197726  -0.01647972 -0.15568961 ...  0.9105284   1.1894351
  1.3094666 ]","[ 0.03599494 -0.00082297  0.00045902 ...  0.02972131  0.04257071
  0.01080704]",Ikhabhinethi liyakugxeka kakhulu ukucekelwa phansi kwengqalasizinda ngabahlali basoThongathi KwaZulu Natali ngesikhathi bebhikishela amanz IKhabhinethi licela ukuthi kwehliswe amaphaphu futhi kubekezelwe njengoba umsebenzi usuqalile wokulungisa iSizinda Samanzi oThongath,Cabinet condemned the destruction of infrastructure by Tongaat residents in KwaZulu-Natal during a protest over access to wate Cabinet called for calm and patience as work is underway to restore the Tongaat Water Treatment Work,0.85872114
"[ 8.4639621e-01 -2.9843894e-04  3.4399550e-02 ...  7.3775136e-01
  2.8230554e-01  8.2228583e-01]","[ 0.01623381 -0.00081253 -0.0003208  ...  0.03669006  0.00658506
 -0.00281108]","IKhabhinethi liyakuqonda ukukhungatheka kwabahlali okufanele basebenzise izimoto zamathangi amanzi isikhathi esengeziwe selokhu kwaba nezikhukhula ekuqaleni kwalo nyak Noma kunjalo, udlame nesiphithiphithi akusona isixazululo, futhi ukucekelwa phansi kwengqalasizinda yomphakathi kulimaza imiphakathi esendaweni kuphela","Cabinet understands the frustrations of residents who have had to use water tankers for an extended period since the flooding earlier this yea However, violence and anarchy are not a solution, and the destruction of public infrastructure only hurts local communities",0.88518155
"[ 0.48523125 -0.01954641 -0.1661383  ...  0.57504827  0.0206528
  1.1548103 ]","[ 0.0085302  -0.00073236  0.00238188 ...  0.0185788  -0.0045133
  0.02549889]",ISichibiyelo soMthetho Wezindlela Zokusebenza Zomasipala Bohulumeni Basekhaya sezi-2022,Local Government Municipal Systems Amendment Act of 2022,0.8569934
