zu,en,src_text,trg_text,Cosine_Score
"[ 0.19454862 -0.10549285  0.20295109 ...  1.1966422   0.87029225
  0.6313432 ]",[0.02186609 0.00774011 0.01425197 ... 0.03674611 0.02538178 0.01811851],"Ukuqaliswa Kokusebenza Kwezinhlelo Zikahulumeni IKhabhinethi iyazeseka izibophezelo ezenziwe kwiSabelomali Sikazwelonke sowezi-2017 zokuqhubekisela phambili ngenkuthalo uguquko lwezomnotho olunohlonze kanye nokukhulisa isibalo sabantu baseNingizimu Afrika ababandakanywa emnothweni ngenhloso yokufezekisa injongo yokukhula komnotho okubandakanya umuntu wonk Ikakhulukazi, isabelomali siyavuma ukuthi ukukhula komnotho okungahambisani noguquko kuyoba nomphumela ongemuhle neze wokuqinisa isimo sokwabiwa komnotho ngendlela engalingani njengoba bekwenzeka esikhathini esedlulUkwabiwa kabusha komnotho ngenhloso yokweseka ezemfundo, izinsizakalo zezempilo kanye nemisebenzi yomasipala ezindaweni zasemakhaya kusalokhu kuyindima esigxile kuyona kakhulu ezinhlelweni zethu zokusetshenziswa kwezimal Izinguquko emkhakheni wokuthengwa kwempahla nezinsizakalo ziyaqhubeka nokwenza ngcono ukusetshenziswa kwezimali zikahulumeni ngendlela efanelekile kanye nokuvula amathuba okuba amabhizinisi amancane abambe iqhazUkwabiwa kwemali kahulumeni kubonisa ukwesekwa kwezinhlelo zokukhulisa umnotho kanye nokuletha intuthuko: u-Rwamabhiliyoni wabelwe amabhizinisi asafufusa kanye nemifelandawonye; u-Rwamabhiliyoni wabelwe ingqalasizinda yezimboni esezizindeni zomnotho ezikhethekile kanye namapaki ezimboni; u-Rwamabhiliyoni wabelwe ukuqaliswa kwemiklamo ye-inthanethi esheshayo; u-Rwamabhiliyoni wabelwe uMkhandlu Wocwaningo Lwezesayensi Nolwezezimboni; futhi kunesamba semali eyengeziwe engamarandi ayizigidi ezingama-494 yokugqugquzela ezokuvakasha kanye nesinye isamba semali engamarandi ayizigidi ezingama-266 yokweseka umkhakha wezezinhlanzi nezitshalo zasolwandle ukuze kufezekiswe izinjongo zomkhankaso we-Operation Phakisa oqondiswe eMnothweni Wasolwandle, futhi kunemali eyabelwe ezolimo, nokuthuthukiswa kwezindawo zasemakhaya kanye nezinguquko kwezomhlaba ezofinyelela kwisamba esingamarandi angamabhiliyoni angama-30 ngowezi-2019/20.Isabelomali sidlala indima esemqoka kakhulu ekulethweni koguquko ngokugqugquzela ukwabiwa kabusha kwezinsiza nezimali zikahulumeni eziyingcosana ngenhloso yokutshala izimali kubasebenzi bakahulumeni nempahla yokusebenza ukuze kwenziwe ngcono izinga lokusebenza kanye nomkhiqiz Ngenhloso yokubonisa ukuthi uhulumeni uyasibona isidingo sokuxhasa ngezimali zokubhekelela ingomuso lentsha yakuleli, isabelomali siyaqinisekisa ukuthi abafundi abaswele imali yokufunda bayafinyelela emfundweni ephakem IsiKhwama Sikazwelonke Sokuxhasa Abafundi Ngezimali (i-NSFAS) sesixhase abafundi abasha abangena ezikhungweni zemfundo ephakeme kanye nalabo asebengenile kulezi zikhungo abayizi-300 000 ukuze bakwazi ukuqhuba imfundo yabo emanyuvesi nasemakolishi ezeMfundo Nokuqeqeshelwa Amakhono Obuchwepheshe Bezandla (ama-TVET) ezweni lonkana ngowezi-2017.","Implementation of Government Programmes Cabinet supports the commitments made in the 2017 National Budget to advance radical economic transformation and draw more South Africans into the economy towards inclusive growt In the main the budget acknowledges that growth without transformation would only reinforce the inequitable patterns from the pasRedistribution in support of education, health services and municipal functions in rural areas remains the central thrust of our spending programme Procurement reforms continue to improve the effectiveness of public spending and opening opportunities for small business participatioBudget allocations support economic growth and development: Rbillion for small, medium and micro enterprises and cooperatives; Rbillion for industrial infrastructure in special economic zones and industrial parks; Rbillion for broadband implementation, Rbillion for the Council for Scientific and Industrial Research, an additional R494 million for tourism promotion, an additional R266m to support the aquaculture sector and realise the goals of the Oceans Economy Phakisa Operation, and spending on agriculture, rural development and land reform amounting to nearly R30 billion by 2019/20.The budget plays a central role in transformation by promoting redistribution and directing scarce resources towards catalytic investments in human and physical capita In recognition of our need to invest in the future of youth, the budget ensures that financially needy students can access tertiary educatio The National Student Financial Aid Scheme (NSFAS) has provided funding to over 300 000 new and returning students to study at universities and Technical and Vocational Education and Training (TVET) colleges across the country in 2017.",0.8757437
[0.3916918  0.03182629 0.20221747 ... 1.1359116  1.1811023  1.229438  ],"[ 0.0225809  -0.00277106  0.00522768 ...  0.04589771  0.05813308
  0.04063838]","Lesi sikhwama sihlose ukwengeza abafundi abayizi-100 000 kulo nyak Isamba semali engamarandi angamabhiliyoni ayi-15 eyabelwe i-NSFAS nguhulumeni sizolekelela ekunciphiseni umthwalo wesikweletu sokufunda obhekene nabafundi abaphuma emakhaya ahlwempu kanye nalawo angatholi imali enkulu kakhulu kodwa futhi angatholi imali encane kakhul Kulandela ukwethulwa ngempumelelo komkhankaso we-Operation Phakisa emikhakheni enjengoMnotho Wasolwandle, Ezempilo kanye neMfundo Eyisisekelo, uMongameli Jacob Zuma wethule umkhankaso we-Operation Phakisa yeZolimo, neYezinguquko Kwezomhlaba kanye Nokuthuthukiswa Kwezindawo Zasemakhaya mhla zingama-24 kuNhlolanja 2017.","The fund expects to add a further 100 000 students this yea The R15 billion allocated to NSFAS by government will assist in alleviating the financial burden faced by financially needy and missing middle student Following the successful launch of Operation Phakisa in sectors such as the Oceans Economy, Health and Basic Education, President Jacob Zuma launched the Operation Phakisa for Agriculture, Land Reform and Rural Development on 24 February 2017.",0.8786587
[0.12925829 0.01029399 0.71545625 ... 0.95709854 0.25503176 0.8021055 ],[0.00177038 0.00351056 0.06258667 ... 0.01999262 0.03061103 0.03109795],"Umkhankaso we-Operation Phakisa ususelwa ohlelweni lokusebenza lwase-Malaysia olubizwa ngohlelo lokuthola iMiphumela Emikhulu futhi Esheshayo olwasetshenziswa yizwe lase-Malaysia ngempumelelo ukuletha uguquko olusheshayo lwezomnotho; futhi njengoba lolu hlelo lokusebenza seluguqulwe ngempumelelo ukuze luhambelane nezimo zaseNingizimu Afrika, manje seluyingxenye yohlelo lwethu lokusebenza, okuwuHlelo Olunamaphuzu AyisishiyagalolunyI-Operation Phakisa yeZolimo, neYezinguquko Kwezomhlaba kanye Nokuthuthukiswa Kwezindawo Zasemakhaya ihlose ukufezekisa ukukhula komnotho okubandakanya wonke umuntu, njengoba lokhu kubekwe ngokucacile kwinhloso-mbono ye-NDP futhi ihlose ukufaka isandla ekugqugquzeleni ukukhula komnotho, nokukhuthaza ukuvulwa kwamathuba emisebenzi kanye nokuletha uguquko emkhakheni wezokukhiqizwa nokulungiswa kwemikhiqizo yezolim Lo mkhankaso uhlose futhi nokuqinisekisa ukuthi abantu bathola umhlaba ngendlela elinganayo, ukuze kuthuthukiswe umnotho futhi kusenjalo kulethwe noguquko kwezolim Lo mklamo uzobuyekeza uhlelo olukhona njengamanje lokusekela abakhiqizi futhi uthuthukise izinhlelo zokuxhasa ngezimali okuhloswe ngazo ukusheshisa izinguquko kwezomhlaba, njengoba kunesidingo esiphuthumayo sokuba uhulumeni enze inqubekelaphambili ekuqinisekiseni ukuthi kunokudla okwanele kulel Ngaphezu kwalokho, lo mklamo uhlose ukuxazulula izingqinamba ezikhona ukuze kuqinisekiswe ukuthi abantu bawuthola ngokulinganayo umhlaba, ngenhloso yokuthuthukisa umnotho futhi kanjalo kulethwe noguquko kwezolim Lokhu kubandakanya uguquko kwezomhlaba, ukuthuthukiswa kwezindawo zasemakhaya, ezabasebenzi, izitshalo ezisanhlamvu, imfuyo, ubuchwepheshe nesayensi yokulima kanye nokwesekwa kwabakhiqiz Izibalo zowezi-2016 zibonisa ukuthi zingaphezu kwezigidi eziyi-10 izivakashi zakwamanye amazwe ezavakashela eNingizimu Afrika, okuyisibalo esikhuphuke ngamaphesenti ayi-13% uma siqhathaniswa nesowezi-2015.","Operation Phakisa is derived from Malaysia s Big Fast Results methodology which Malaysia used successfully to achieve rapid economic transformation; and having been successfully adapted to South African conditions, it now forms part of our Nine Point Plan Implementation toolkiOperation Phakisa for Agriculture, Land Reform and Rural Development seeks to achieve inclusive growth, as prescribed by the vision of the NDP and aims at contributing to stimulating economic growth, fostering job creation, and transforming the agricultural value chai It further seeks to ensure equitable access to land, both towards economic development and agrarian transformatioThe programme will review existing producer support models and develop finance models aimed at fast tracking land reform, given the urgent need for government to make progress in food securit Furthermore, the programme seeks to address constraints in ensuring equitable access to land, both towards economic development and agrarian transformatio These include land reform, rural development, labour, grains, livestock, horticulture and producer suppor In 2016, over 10 million tourist arrivals were recorded in South Africa, a 13 per cent increase from 2015.",0.8679891
"[ 0.28369012 -0.08776389  0.28201246 ...  1.1767665   0.74300885
  1.4588779 ]",[0.01268391 0.00498127 0.0038201  ... 0.04422354 0.03980241 0.04182648],"Imboni yethu yezokuvakasha, eqhuba kahle kakhulu futhi edlondlobalayo, iwubufakazi obuqinile bobambiswano phakathi kukahulumeni, izinyunyana zabasebenzi kanye nabanikazi bamabhizinisi beholwa nguMnyango Wezokuvakasha ngokubambisana neNhlangano Yezokuvakasha yaseNingizimu Afrika ngenhloso yokuyivula ngokuphelele imihlomulo yezomnotho ehlinzekwa yimithombo yethu yezokuvakash Siyabanxusa bonke esibambisene nabo kule mboni ukuba baqhubeke nokuthuthukisa nokugqugquzela ezokuvakasha ukuze kuhlomule imiphakathi eyakhele izindawo ezahlukahlukene zakuleli ngokuthi kuvulwe amathuba emisebenzi futhi kuthuthukiswe nengqalasizind Njengengxenye yemizamo kahulumeni yokugxila ekuhlinzekeni ama-SMME kanye namabhizinisi asemalokishini ngethuba lokuba abonakalise ikhono lawo, iNingizimu Afrika izosingatha iNgqungquthela Yamazwe Ngamazwe Yezokusungulwa Nokuphathwa Kwamabhizinisi phakathi komhla ziyi-13 nomhla ziyi-16 kuNdasa 2017 eGol Le ngqungquthela iwumbuthano omkhakha-mningi oheha izithunywa eziyizi-4 000 ezivela emazweni angaphezu kwe-150.","Our thriving tourism industry is testament to the close collaboration between government, organised labour and business led by the Department of Tourism together with South African Tourism to unlock the full economic benefits of our tourism asset We call on all industry partners to continue developing and promoting tourism so that it may benefit local communities through jobs and infrastructure developmen As part of Government focus to unlock the potential of SMME s and township enterprises, South Africa will host the Global Entrepreneurship Congress between the 13 and16 March 2017 in Johannesbur The congress is an inter-disciplinary gathering of start-up champions that attracts 4 000 delegates from more than 150 countrie",0.8915184
"[ 0.52890277  0.89762264 -0.00485964 ...  0.9783368   1.3690463
  1.8273859 ]",[0.00785742 0.01947897 0.00674263 ... 0.0182175  0.04013246 0.03942989],"Uzokwethanyelwa yizincithabuchopho, osomabhizinisi, abatshalizimali, abacwaningi kanye nabenzi bezinqubomgomo asebeyingxenye yombutho wamazwe ngamazwe ogqugquzela ukusungulwa kwamabhizinisi njengendlela ephusile yokwakha iminotho kanye nokwenza ngcono inhlalakahle yabantKungokokuqala ngqa ukuba le ngqungquthela ibanjelwe e-Afrika futhi ihlinzeka iNingizimu Afrika kanye nezwekazi lonkana ngethuba lokuvuselela ugqozi nomoya wokusungula amabhizinis INingizimu Afrika ibungaze ukuqala kweNyanga Yamalungelo Esintu mhla lu-1 kuNdasa 2017 ngaphansi kwesiqubulo esithi: Unyaka ka-OR Tambo: Sisebenza Ngokubambisana Ukugqugquzela Amalungelo Esintu","Thought-leaders, entrepreneurs, investors, researchers and policymakers who have become part of a global movement that advances entrepreneurship as a means to build economies and improve human welfare, will attenThis is the first time the congress will be hosted in Africa and provides an opportunity for South Africa and the rest of the continent to ignite its entrepreneurial spiri",0.8827845
[0.7742767  0.00830685 0.03875915 ... 1.2163755  0.9049589  1.5498978 ],"[1.9395379e-02 1.4366982e-02 4.3296714e-05 ... 4.2292155e-02 2.1807805e-02
 5.1064175e-02]","ngenhloso yokuqwashisa nokukhuthaza ukuhlonishwa kwamalungelo esintu ayisisekelImibungazo yokugubha iNyanga Yamalungelo Esintu izoqhubeka ezweni lonkana kuze kufike umgubho kazwelonke ngoSuku Lwamalungelo Esintu mhla zingama-21 kuNdasa 2017, ozobanjelwa endaweni yase-Ginsberg, e-King William s Town esifundazweni saseMpumalanga KapNgalolo suku, uMongameli Jacob Zuma uzonikezela ngokusemthethweni idlinza lika-Steve Bantu Biko emndenini wakwa-Bik Lokhu kuyingxenye yokubungaza nokugqugquzela ubumbano ngokulandela inhloso-mbono ka-OR Tamb IKhabhinethi iwuphawulile futhi nomphumela wophenyo lweKhomishana Yezokuncintisana oluphathelene nezinsolo zomkhonyovu wokusebenzisana ngokungemthetho kwezikhungo zezimali mayelana nokuhwebelana ngemali yakuleli neyamazwe angaphandle futhi ikulindele ngabomvu ukuphothulwa kwenqubo yeNkantolo Yezokuncintisana yokuqulwa kwaleli cala, kubandakanya nesinqumo salokho okutholwe yinkantolo ebufakazini obuthuliwe kanye nesijeziso esifanelekil Njengoba sigubha iNyanga Kazwelonke Yezamanzi ngoNdasa wezi-2017 ngaphansi kwesiqubulo esithi:","to raise awareness and promote respect for basic human rightHuman Rights Month will be celebrated across the country leading to the national celebrations on Human Rights Day on 21 March 2017 in Ginsberg, King William s Town in the Eastern CapOn the day, President Jacob Zuma will officially handover the memorial grave site of Steve Bantu Biko to the Biko-famil This is part of celebrating and promoting unity in line with the vision of OR Tamb Cabinet also noted the outcome of the Competition Commission investigation into alleged foreign exchange collusion and awaits the conclusion of the Competition Tribunal proceedings, including its findings and decision on the appropriate sanctio As we commemorate National Water Month in March 2017 under the theme:",0.8939804
[0.45248583 0.05149937 0.24798469 ... 1.3415192  1.4755152  2.0199344 ],"[ 0.01560835 -0.00095945  0.00312421 ...  0.03354059  0.034159
  0.06558216]","Amalungelo Esintu Kwezamanzi Nokuthuthwa Kwendle , bonke abantu baseNingizimu Afrika bayakhunjuzwa ukuthi bonge amanzi ukuze nasesikhathini esizayo sibe namanzi anele kulelIKhabhinethi ithulelwe umbiko mayelana nesiphakamiso seNhlangano Yezesayensi Amasiko Nezemfundo (i-UNESCO) sokusingatha umgubho woSuku Lomhlaba Lwezamanzi eNingizimu Afrika mhla zingama-22 kuNdasa 2017 ngaphansi kwesiqubulo esithi:","Human Rights for Water and Sanitation , all South Africans are reminded to conserve water to ensure sustainability of future supplCabinet was briefed on the proposal by the United Nations Educational Scientific and Cultural Organisation (UNESCO) to host World Water Day in South Africa on 22 March 2017 under the theme:",0.8929124
[0.6861664  0.35875335 0.00788743 ... 1.0013974  1.368129   1.8404076 ],"[ 2.2866793e-02  7.4825590e-03 -2.5602221e-05 ...  1.5658278e-02
  1.4652752e-02  2.4041574e-02]","Amanzi angcolile angumthombo wamanzi ongakasetshenziswa .UMongameli Jacob Zuma oyilungu leThimba Eliphakeme LeNhlangano Yezizwe Lohlelo Lokusebenza Lwezamanzi uzovula lo mcimbi ngokwethula uMbiko wezi-2017 Wokuthuthukiswa Kwamanzi Emhlabeni ophathelene namanzi angcolile kanye nemisebenzi ehlobene nalokh IKhabhinethi iyamukela ngezandla ezimhlophe inqubekelaphambili esiyenziwe ekwabiweni kokudla kwemfuyo ngenhloso yokulekelela abalimi ezindaweni zakuleli ezikhahlanyezwe yisomis Lolu hlelo luyingxenye yosizo lwemali engamarandi ayizigidi ezinga-212, eyabiwe nguhulumeni ngowezi-2016/2017 ngenhloso yokulekelela abalimi abakhahlamezekile ezweni lonkanIzifundazwe nazo sezibeke eceleni imali eyizigidi eziyi-198 ngokusebenzisa isikhwama soxhasomali olulingene, kanye nezimali eziphuma ohlelweni lokuNqandwa Nokuncishiswa Kobungozi Bezinhlekelele, ukumba amapitsi kanye nokhwakha amabhande ezivimbamlil.","Waste Water the untapped resource .President Jacob Zuma who is a member of the United Nations High Level Panel on Water Action Plan will open the event, by launching the World Water Development Report 2017 on wastewater and related activitie Cabinet welcomes the progress made on the distribution of animal feeds to support farmers in the country s drought affected area The initiative is part of the R212 million in support, which government has made available in 2016/17 to assist affected farmers across the countrProvinces have also made R198 million available through equitable share funding, and funds from the Prevention and Mitigation of Disaster Risk programme were used to drill boreholes and construct fire break.",0.8875075
[0.32982975 0.14627537 1.739194   ... 0.99711734 0.531092   0.66615653],"[ 0.01583435 -0.00174602  0.09623074 ...  0.01817474  0.02390782
  0.04457121]","Ngenhloso yokulekelela ezinkingeni eziphathelene nokushoda kwamanzi eMpumalanga Kapa, kumele kwenziwe imizamo yokubhekelela umphakathi kangconywana ngokuthi kutholakale imithombo ehlukile yokuphakelwa kwamanzi ezosetshenziswa uma kwenzeka kuba nesimo sokushoda kakhulu kwamanzi ngale nkathi yonyakNgenhloso yokukhulisa imizamo yokunqanda ukusetshenziswa kwamanzi ngokweqile, uMnyango Wezamanzi Nokuthuthwa Kwendle usuwazisile umkhakha wezolimo ngokubekwa komkhawulo owengeziwe wokuncishiswa kokusetshenziswa kwamanz Umkhawulo wokuncishiswa kokusetshenziswa kwamanzi uzoqhubeka nokusebenza kuze kufike isikhathi lapho umthamo wamanzi emadanyini usukhuphuke wafinyelela kuma-85%.. Njengoba izwe lisathokozela ukufika kwezimvula ezidingeka kakhulu, futhi ezizolekelela kakhulu ekunciphiseni umthelelela wesomiso kuleli, amadamu nemifula kubonisa izinkomba zokukhula komthamo wamanz Ngenxa yalokhu-ke alokhu ephakeme njalo amathuba okuba kube nezikhukhul Siyayinxusa imiphakathi ukuba ihlale iqaphile ngoba kungenzeka kube nezikhukhula ezingaholela ekutheni kuphume imiphefumulo, kanye nokucekelela phansi kwempahla nengqalasizind Uhulumeni kanye nezikhungo ezingaphansi kwakhe basiqaphe ngeso lokhozi isimo futhi bame ngomumo ukuze bathathe izinyathelo uma kunesiding.","In order to assist with the difficulties with regard to water availability in the Western Cape, attempts need to be instituted to provide greater comfort in the form of additional alternate water supply sources that must be on standby should inadequate water be received for this seasoTo further curb excessive water use, the Department of Water and Sanitation has informed the agricultural sector of 10% additional water restriction",0.8329117
"[ 0.8286516  -0.06454835  0.09243362 ...  1.1528758   0.9807554
  1.670173  ]","[ 0.02362746 -0.00044718  0.00683142 ...  0.03091794  0.02422667
  0.05682464]",UMongameli Jacob Zuma uzokwethula inkulumo yakhe yaminyaka yonke phambi kweNdlu Kazwelonke Yabaholi Bendabuko mhla zi-3 kuNdasa 2017.Ngokususela kule Nkulumo iNdlu Yabaholi Bendabuko kanye noMnyango Wezindaba Zendabuko bazothuthukisa futhi baqalise uHlelo Lokusebenz Ukuvulwa ngokusemthethweni kwendlu yabaholi bendabuko kuzogubha futhi nokuhlangana kweminyaka engama-20 yasungulw.,President Jacob Zuma will deliver his annual address to the National House of Traditional Leaders on 3 March 2017.Emanating from the Address a Programme of Action will be developed and implemented by the House and the Department of Traditional Affair The official opening of the house will also celebrate 20 years since it was constitute.,0.89282036
