xh,en,src_text,trg_text,Cosine_Score
"[ 1.0893372  -0.14075188  0.42092845 ...  0.88269     1.1645461
  1.0772167 ]","[ 0.01079391 -0.0014424   0.00252767 ...  0.01134935  0.00040437
  0.03735143]","IKhabhinethi ibidibene ngoLwesithathu, umhla wesi-4 kweyoMsintsi 2019 eTuynhuys eKapa","Cabinet met on Wednesday, 4 September 2019 at Tuynhuys in Cape Town Current affairsBased on an analysis of the current affairs environment, the following was agreed by Cabinet: 1.",0.7630547
[1.0772979  0.04477175 0.4857368  ... 0.84882027 0.7440949  1.8834563 ],"[ 0.01210715  0.02130375 -0.00030764 ...  0.02275788 -0.00451191
  0.01773297]","Imiba engundaba-mlonyeniEmva kokuba iKhabhinethi ihlalutye imiba engundaba-mlonyeni, iye yavumelana ngoku kulandelayo:1.","The display of the old apartheid flag should be restricted to genuine artistic, academic or journalistic expression that are in the public interes Cabinet decisions1.",0.7278119
[1.1098263  1.0429181  0.19837329 ... 0.21790956 0.46687225 0.27394143],"[ 0.01830444 -0.00176041  0.0164211  ...  0.00721698  0.01438015
  0.00419329]",UbuNdlobongela obuJoliswe kwiSini (i-GBV),Gender-Based Violence (GBV),0.8815465
"[ 0.722935    0.28622565 -0.10443237 ...  1.1539426   1.2187954
  0.9858281 ]",[0.01941265 0.02315835 0.00293436 ... 0.03178496 0.02462867 0.02432738],"IKhabhinethi nayo njengesizwe iyangqukruleka ziziganeko ezithe gqolo kweli lizwe lakuthi zokubalawa, ukudlwengulwa nokuphathwa kakubi kwabantu basetyhini ngamadod Iziganeko ezihlasimlisa umzimba zokuhlaselwa kwabantu basetyhini zibonisa ukuba thina sisonke asisabeli ngokufanelekileyo kwizijwili nezililo zabantu abasemngciphekweni ombi wokuba ngamaxhoba ezehlo ezibuhlungu ezifana nezi kweli lizw","Cabinet joins the nation in mourning the killings, rape and abuse of women by men that continue to take place in our countr These horrific attacks on women reflects our collective failure to respond to the cries of the most vulnerable in our mids",0.8375279
"[ 0.46873155  0.513741   -0.09470468 ...  1.3982837   1.39278
  0.75768423]","[1.7496012e-02 3.3517432e-04 8.3575542e-05 ... 1.8197911e-02 4.5468491e-02
 3.9998369e-04]","Eyona ntsusa yalo mkhuba kukungathathi amanyathelo afanelekileyo okulwa ingxaki eyambethe eli yokuxhatshazwa kweentsana, abantwana, abantu abadala, abantu basetyhini abakhubazekileyo, abantu ababhinqileyo abathandana nabanye ababhinqileyo, abangamadoda abathathanda namanye amadoda, abathandana nezini zozibini, abanamalungu obufazi nawobudoda, abatshintshe isini sabo, abo bazikhethela ukuphila njengamadoda kodwa babe benamalungu obufazi kunye nabantu ababhinqileyo abangabafudukeli kwel","At its core is the manifestation of a profound lack of adequate response to the continued daily violation of babies, children, the elderly, women living with disabilities, the lesbian, gay, bisexual, transgender/transsexual, intersex and queer/questioning community and migrant wome",0.85437715
[0.9550949 1.0518472 2.90196   ... 1.009909  1.1292503 0.8377489],[0.0136965  0.02151735 0.10058782 ... 0.04341669 0.03481609 0.00849175],"IKhabhinethi icele ukuba abenzi bezi zenzo banikwe izigwebo eziqatha xa begwetyw Nangona bebaninzi abantu abafunyaniswa benamatyala e-GBV baze bagwetywe (bangama-74%) futhi bengaphezulu kwama-4 000 abo bafumene izigwebo zobomi bethothoza kwezimnyama izisele, kusekuninzi ekufuneka kwenziw Nokuba mnye umntu wasetyhini obuleweyo,","Cabinet has called for the imposition of the maximum sentence to the perpetrator Notwithstanding the fact that there is a high conviction rate (74%) of GBV and over 4 000 perpetrators who have received life sentences, more still needs to be don One women killed, raped and abused is one too man",0.88107413
"[ 0.22384141  0.3040519  -0.3688945  ...  0.62561923  0.28998962
  0.81421196]","[ 0.02818499 -0.00032917  0.00062481 ...  0.02611828  0.04444283
  0.02385885]","odlwenguliweyo okanye oxhatshaziweyo, oko kugqithisile futhi akwamkelekanga kwaphel",impairs the dignity of black people and that those who display the apartheid flag consciously choose oppression over liberation .,0.6493547
[0.7019164  2.2846925  0.02216806 ... 0.69647557 0.83727264 1.0538371 ],"[ 3.2281242e-02  4.6725724e-02 -8.6430824e-05 ...  4.2496961e-02
  5.3395048e-02  1.8537872e-02]","ULuhlu lweSizwe lamaTyala ezeSondo liza kuthiwa thaca phambi kwePalamente ukuze luqwalaselwe kulungiselelwa ukuba kutshintshwe uMthetho wamaTyala ezeSond Ezi zilungiso ziza kuqinisekisa ukuba olu luhlu luyandiswa ukuze lufake nabophuli-mthetho ababandakanya zonke iintlobo zamatyala ezesond Ngokwangoku, olu luhlu lufake kuphela abantu asele befunyaniswe benetyala baze bagwetywa ngenxa yokuba bexhaphaze ngokwesondo (bedlwengule) umntwana okanye umntu ogula ngengqond","The national Register of Sexual Offences will be placed before Parliament for consideration for amendment to the Sexual Offences Ac These amendments will ensure that the register is extended to cover offenders who have committed any sexual offence, as it stands currently the register is limited to only individuals who are convicted and sentenced for violating a minor or an individual who is mentally disable Cabinet expresses its deepest condolences to the families and friends of Uyinene Mrwetyana, Leighandre Jegels, Nolunde Vumsindo, Meghan Cremer, Jess Hess, Ayakha Jiyane and her three siblings and all women and children who were brutally murdered by me",0.81336665
"[ 1.2452446   0.511422   -0.20351723 ...  1.0384767   1.4205062
  0.97878736]","[4.7049157e-02 2.4938153e-02 1.7860209e-06 ... 5.3199332e-02 3.5937402e-02
 2.1200161e-02]","IKhabhinethi ithi tutwini kusapho nezihlobo zika-Uyinene Mrwetyana, Leighandre Jegels, Nolunde Vumsindo, Meghan Cremer, Jess Hess, Ayakha Jiyane kunye nabantwana abeza emva kwakhe abathathu kunye nabo bonke abantu basetyhini nabantwana ababulewe kabuhlungu nangolunya ngamadod","family and friends of veteran journalist, writer and researcher, Mr Harry Mashabel In July 1976, he was arrested, together with many seasoned journalists in the country, under the infamous Terrorism Ac He worked for many publications, including the Rand Daily Mail, The Star, Drum and Financial Mai He was also the author of a number of books including the Townships of the PWV, a People on the Boil (1988) and Mekhukhu: Urban African Cities of the Future (1990).",0.79760456
"[ 0.8018353  -0.07859293 -0.20253526 ...  1.0051572   1.0943551
  1.5660496 ]","[ 0.01343193 -0.00376556  0.00056964 ...  0.0438623   0.02236556
  0.04026117]",IKhabhinethi iye yanqumama ithutyana yaze yakhulula igqiza labaPhathiswa abebekwintlanganiso yesiqhelo yeKhabhinethi ukuba baye kudibana namakhulu-khulu abantu abebeqhankqalaza ePalamente bekhalazela i-GB,Cabinet temporarily adjourned and released a delegation of Ministers from an ordinary sitting of Cabinet to meet with hundreds of protestors who had gathered at Parliament to protest against GB,0.8805038
