xh,en,src_text,trg_text,Cosine_Score
"[ 0.78477293 -0.1775054   0.17851481 ...  1.141316    1.1865084
  1.355793  ]",[0.0090309  0.00141116 0.00302796 ... 0.01352801 0.00059486 0.03418839],"Ingxelo yeNtlanganiso yeKhabhinethi ibibanjwe ngoLwesithathu, umhla we-13 kweyoKwindla eTuynhuys eKap Imiba engundaba-mlonyeni1.",Cabinet met on Wednesday 13 March 2019 at Tuynhuys in Cape Town Issues in the environment1.,0.83786964
[1.2118464  0.28311163 0.28090185 ... 1.1903099  1.0747242  1.2500858 ],"[ 0.02752559 -0.00126948 -0.00053697 ...  0.02700224  0.03975736
  0.03456434]","Amaphulo Esizwe okuCoca okusiNgqongileyo IKhabhinethi ibamba ngazibini kubo bonke abemi boMzantsi Afrika abathe bathatha inxaxheba ngethuba uMongameli Cyril Ramaphosa ephehlelela iphulo leSizwe lokuCoca okusiNgqongiley Eli phulo, linika ithuba amacandelo ahlukeneyo kweli lizwe ukuba adlale indima futhi abe yinxalenye yabo benza izinto ezingazikwenza izinto eziyingozi kokusingqongiley UMzantsi Afrika ulelinye lamazwe atyikitye isiVumelwano saseParis esingoguqu-guquko lwemozulu esisisikhokelo samalinge ehlabathi okuphungula isisi esingcolisa umoya okanye i-atmosfer","Good Green Deeds Cabinet thanks all South Africans who joined President Cyril Ramaphosa in the launch of the national Good Green Deeds campaig The campaign, presents an opportunity for the various sectors of society to play their part and become more environmentally consciou South Africa is one of the signatories to the Paris Agreement on climate change which guides the international efforts to limit greenhouse gas emission",0.87387466
"[ 0.8216694   0.00187265 -0.15287279 ...  1.3582907   0.47695297
  0.8269152 ]","[ 1.1098644e-02 -7.4195144e-05  1.0826521e-06 ...  3.6641903e-02
  1.5544759e-02  2.7936123e-02]","Ukuqinisekisa ukuba okusingqongileyo kucocekile futhi akuyongozi kwimpilo yethu ngoku ukulungiselela nezizukulwana ezizayo kungumsebenzi noxanduva lwabo bonke abantu baseMzantsi Afrik Ukuba okusingqongileyo kuphethwe kakuhle oko kungaphungulula isisi esingcolisa umoya, kuncede ekuqinisekiseni ukuba kukho ukutya okwaneleyo, amanzi, amandla ombane kunye nokuba ubomi babantu ngokubanzi abuphazamisek","It is the duty and responsibility of all people in South Africa to ensure a clean and healthy environment now and for the future generation A well-managed environment will contribute in reducing the greenhouse gas emissions, contribute towards food security, water, energy and general livelihood",0.8614739
"[ 0.6704885   0.05251003 -0.09946854 ...  1.5905268   0.9917444
  1.223101  ]","[ 0.02112637 -0.00104525 -0.00034879 ...  0.0103985   0.03688138
  0.03618145]","IKhabhinethi ihlaba ikhwelo kubo bonke abantu ukuba bathathe inxaxheba kwiPhulo leSizwe lokuCoca okusiNgqongileyo futhi baziphathe ngokwemiqathango yeli phulo ukuze iindawo esakhelene nazo, esihlala kuzo kunye nelizwe ngobubanzi likwazi ukuba ngumzekelo wehlabathi ngokococeko, ukwenza izinto ezingenzi monakalo kwindalo kunye nokuba kwisimo esifanalekileyo abantu abanokuphila kus 2.","Cabinet calls on everyone to make the Good Green Deeds campaign a way of living so that our neighborhoods, communities and the country can become a global example of being clean, green and habitabl 2.",0.8663646
"[ 0.46652648  0.02843003 -0.1572482  ...  1.2128195   1.0491134
  0.9351975 ]",[0.02065188 0.00309349 0.00296035 ... 0.0435818  0.0360751  0.01450628],Amabango oMhlaba IKhabhinethi yonelisekile yinkqubo eqhubayo yokubuyiselwa komhlaba ebantwini eenjongo zayo ikukulungisa umonakalo owenziwa ngurhulumente wangaphambili kuze kwakhiwe isizwe esisekelwe kubulungisa obuza kuxhatshazwa ngabo bonke abemi boMzantsi Afrik,Land Claims Cabinet is pleased with the continued roll out programme of land reforms that seek to correct the wrongs of the past and build a more equitable society that will benefit all South African,0.8752631
[0.9416218  0.5548634  0.08619395 ... 0.9698931  1.2325252  0.8185045 ],"[ 4.3576345e-02 -8.5093168e-04 -2.7841275e-05 ...  1.1565084e-02
  3.9444368e-02  2.6603490e-02]","Njengelinge lokuqhubela phambili inkqubo yokwabiwa komhlaba ngokulinganayo nangobulungisa, uMongameli Ramaphosa ebekhokela umsitho wokunikezelwa komhlaba otyebileyo ozihektare ezili-142 ebantwini baseMoretele, abathe lo mhlaba baza kuwusebenzisela amaphulo ophuhliso nokwakha iziseko ezingundoq","In advancing the equitable distribution of land, President Ramaphosa led the handover of the settled and finalised 142 hectares of prime land claims to the community of Moretele, who indicated that they will use the land for developmen",0.86539257
"[ 0.6666556  -0.01756162 -0.23477739 ...  0.71507645  0.9580326
  1.5075351 ]","[ 0.00495855 -0.00186028 -0.00039879 ...  0.01440302  0.02476681
  0.03212097]",Aba bantu bathathelwa umhlaba wabo ngethuba besuswa ngendlondlo emhlabeni wabo kulandela ukungena koMthetho woMhlaba waBantu abaNtsundu wowe-1913.,These communities lost their rights to land when they were abruptly removed from their properties following the implementation of the provisions of the Natives Land Act of 1913.,0.8399253
"[ 1.0625085  -0.05986013  0.084111   ...  0.7288083   1.3348174
  1.2471961 ]","[ 0.00343669  0.00063533 -0.00013835 ...  0.03928682 -0.00256902
  0.01848023]",IKomishini yokuBuyiselwa kwamaLungelo oMhlaba (i-CRLR) sele ichithe imali ezizigidi ezingama-203 zeerandi kwiindleko zokubuyiselwa kwabantu umhlaba Imiba enxulumene no-Eskom,"The Commission on Restitution of Land Rights (CRLR) has spent over R203 million in settling and finalising the claims Eskom Cabinet received a report from Deputy President David Mabuza on the work of the joint Special Cabinet Committee on Eskom that was established in response to recent, electricity supply disruptions and its negative impact on the econom",0.75786
"[ 0.61483413  0.18028235 -0.13099027 ...  0.96860266  0.77680355
  1.3417028 ]","[ 0.02308366 -0.00029719  0.00034069 ...  0.01823003  0.01193199
  0.0215545 ]","IKhabhinethi ifumene ingxelo kuSekela-Mongameli uDavid Mabuza engomsebenzi owenziwa yiKomiti eKhethekileyo eHlangeneyo yeKhabhinethi ejongene nomba ka-Eskom eyasekwa ngenxa yengxaki yokucima kombane ibisanda kwenzeka kunye neziphumo ezibi zoku kuqoqoqosho lwel Amalinge karhulumente aqhutywa ngokubambisana okuzisa uzinzo kwizimali, imisebenzi kunye namacandelo ahlukeneyo ka-Eskom aqhuba kakuhle kakhul IQela leeNgcali lokuHlaziya lika-Eskom elonyulwe nguMphathiswa wamaShishini kaRhulumente kunye neBhodi ka-Eskom liwuqalisile umsebenzi walo kule vek Kulindeleke ukuba likhuphe ingxelo yalo yokuqala zingaphelanga iiveki ezine (4).","Government s coordinated efforts to bring financial, operational and structural sustainability to Eskom are proceeding in earnes The Eskom Technical Review Team appointed by the Minister of Public Enterprises and the Board of Eskom started its work this wee It is expected to produce a preliminary report within four (4) week The performance of the power plants remain volatile even though load-shedding has not been implemented since 15 February 2019.There has been a number of major incidents in the distribution areas that have contributed to the power disruptions Cabinet noted the good progress that has been made with the recovery of coal stocks across the power stations, but further attention must be given to the Coal Supply Chai Cabinet however, remains concerned about the performance of the Medupi and Kusile power stations and has mandated the Minister of Public Enterprises to provide a comprehensive recovery plan based on a reassessment of the key drivers of the cost and time overruns for this new build project ILO commission on the future of work and EDCON agreement Cabinet welcomes the global commission s report which made 10 recommendations grouped into three pillars: investing in the capabilities of people, investing in the institutions of the world of work; and investing in decent, sustainable wor",0.80202574
"[ 0.7718596  -0.26919612 -0.04651184 ...  0.6575614   0.66587114
  1.4130597 ]",[0.02895772 0.00557652 0.00274692 ... 0.01260649 0.02625214 0.03956549],Kusekho ukungazinzi kwindlela elisebenza ngayo eli ziko lokuphehla umbane nangona kungakhange kukhe kucinywe mbane ukususela ngomhla we-15 kweyoMdumba 2019.,The national event will be celebrated on Thursday 21 March 2019 at Sharpeville in Gauteng where 59 years ago residents peacefully protested against the unjust pass laws and were subsequently gunned down by the apartheid polic,0.6643194
"[ 0.909372   -0.12722436 -0.15396747 ...  0.30418068  0.59759176
  0.62813336]","[ 0.01337745 -0.00215091  0.00271103 ...  0.03094588  0.02336854
  0.02937121]",Bekukho iziphazamiso ezininzi kumaziko okuhambisa umbane into leyo ethe yanegalelo kule ngxaki yokucima komban,"In order to conclude an agreement to save Edcon, all parties had to make sacrifices and to work closely togethe At the heart of efforts to ensure that Edcon stays afloat is the impact on employmen",0.68108684
[0.7261181  0.16740969 0.22709945 ... 0.75100976 0.88415164 1.238701  ],"[ 0.03390837 -0.00026495  0.00278447 ...  0.03528563  0.02277244
  0.01578053]","IKhabhinethi iwuqaphele umsebenzi omhle kakhulu owenziwayo kwiphulo lokuthengwa kwamalahle aneleyo kuzo zonke izitishi zokuphehla umbane, kodwa kufuneka ithathelwe ingqalelo ngamandla iNkqubo yokuThengwa kwamaLahl Noko kunjalo iKhabhinethi ixhalabile yindlela esiqhuba ngayo isitishi sokuphehla umbane saseMedupi naseKusile ke ngoko iye yacela uMphathiswa wamaShishini kaRhulumente ukuba eze nesicwangciso esigcweleyo sokubuyisela uzinzo esiza kuthathela ingqalelo imisebenzi eyiyeyona ineendleko ezininzi kunye nengxaki yokugqitha kwexesha ebelicwangcisiwe lokugqiba ukwakha la maziko matsha okuphehla umban 4.","The SKA Observatory will be the first international organisation dedicated to science, in which Africa will exercise a strong leadership role, in the science, engineering and policy domains KwaZulu-Natal flooding Cabinet extends its appreciation for the support from non-governmental organizations (NGOs) which have also joined forces with government in dispatching aid during the recent floods experienced in some parts of the countr In minimising the impact of the recent flash floods in KwaZulu-Natal, government continues to provide aid and support to affected familie Disaster teams and officials are assessing the damag",0.77017325
"[ 0.8509527   0.93894255 -0.3013354  ...  0.5573207   0.6766867
  0.98427504]","[ 0.01309549 -0.00190833 -0.00090758 ...  0.01523152  0.00641851
 -0.00337866]",IKhomishini ye-ILO yeMisebenzi yangoMso kunye nesiVumelwano se-Edcon,The Year of Indigenous Languages: Promoting and Deepening a Human Rights Culture,0.598737
[0.13773613 0.07009973 0.21264258 ... 0.7610611  0.97624135 0.54387194],"[ 0.01999322 -0.00047566  0.00355434 ...  0.01764638  0.03718464
  0.01060448]","IKhabhinethi iyayamkela ingxelo yekhomishini yehlabathi ethe yenza izindululo ezilishumi ezithe zahlelwa zayimixholo emithathu: ukutyala imali kumaphulo okuphuhlisa izakhono zabantu, ukutyala imali kumaziko adala imisebenzi kunye nokutyala imali kwimisebenzi endilisekileyo nesisigxin Ezi zindululo zilungiselelwe ukulwa kanye le mingeni intlantlu-ntathu: owokungalingani, indlala kunye nentswela-misebenz Ngenxa yamalinge oMphathiswa wezeMisebenzi uMildred Oliphant, iyabonakala indima kumsebenzi owenziwa nguMzantsi Afrika kumalinge okuphucula iimeko zasemisebenzini ngokuqalisa amanyathelo okuqinisekisa ukuba liyalingana inani labantu basetyhini nabangamadoda abasemisebenzini, iinkcukacha ngemivuzo azifihlwa, kuliwa ubundlobongela nokuxhatshazwa kwabantu emisebenzini kunye namanyathelo ajoliswe kanye kumba wokuqinisekisa ukuba abantu banikwa amathuba ngokufanay IKhabhinethi iyawamkela namalinge karhulumente, iNgxowa-mali ye-Inshorensi yabangaSebenziyo (i-UIF) (kuquka nemibutho yabasebenzi) kunye necandelo labucala (iibhanki kunye neenkampani ezingabanikazi bamaziko anodederhu lweevenkile) ukuncedisa ngemali enye yeevenkile ezinkulu zempahla eMzantsi Afrika, u-Edco Ukuze siqukunjelwe esi sivumelwano sokuncedisa u-Edcon ngemali, onke amaqela achaphazelekayo aye anyanzeleka ukuba ancame izinto ezithile futhi asebenzisane ngamandl Iinjongo zethu eziphambili zokuqinisekisa ukuba u-Edcon akatshoni kukoyika intlungu yokuphelelwa kwabantu yimisebenz Bebeza kuphelelwa yimisebenzi abantu abangaphezulu kwama-40 000 abasebenzela le nkampani kunye nabanye abangamawaka abasebenzela iinkampani ezisebenzisana no-Edcon ukuba ebengalifumananga olu ncedo lwemal IKhabhinethi ihlaba ikhwelo kubo bonke abemi boMzantsi Afrika ukuba balixhase ikhwelo elenziwa kwiNgqungquthela yemiSebenzi ukuba bathenge iimveliso neempahla ezinophawu oluqinisekisa ukuba ziveliswe kweli loMzantsi Afrika oluthi Proudly South African, ngolo hlobo baxhase amashishini alapha ekhaya","The recommendation directly speaks to the triple challenges of inequality, poverty and unemploymen Through the work of Minister of Labour Mildred Oliphant, South Africa has made progress in improving workplace conditions through gender balanced measures, more transparency in pay, eliminating violence, harassment in the workplace and specific measures to ensure equal opportunitie Cabinet also, welcomes the joint efforts of government, the Unemployment Insurance Fund (which includes trade unions) and the private sector (banks and shopping mass landlords) to recapitalize South Africa s largest clothing retailer",0.8500428
"[ 0.786791   -0.05000841 -0.04784343 ...  0.9373236   1.2863686
  2.1083543 ]","[ 0.03309941 -0.00031003  0.00216115 ...  0.03104082  0.04904949
  0.05202344]","ISiza esiyiKhilomitha Ubude nobuBanzi (i-SKA) Ubungqina bokuba ixesha elitsha lolawulo lwehlabathi lwecandelo lezenzululwazi lifikile bubonanekele ngethuba uMphathiswa wezeNzululwazi nobuChwepheshe uNksk Mmamoloko Kubayi-Ngubane, egameni likarhulumente woMzantsi Afrika, etyikitya isivumelwano sehlabathi (esibizwa ngokuba sisiVumelwano saseRome) e-Italy, ngomhla we-12 kweyoKwindla 2012.","Cabinet calls on South Africans to support the call made at the Jobs Summit to buy Proudly South African products and support local industry Square Kilometer Array (SKA) A new era for global science governance was realised when the Minister of Science and Technology, Mmamoloko Kubayi-Ngubane, on behalf of the South African government, signed the international treaty (called the Rome Convention) in Italy, on 12 March 2012.",0.8445586
[0.5497324  0.00459639 0.27208742 ... 1.0970747  1.1994236  1.1313736 ],"[ 1.8216422e-02  4.0365430e-04 -4.2728963e-05 ...  3.0731814e-02
  5.2777894e-02  4.4123206e-02]","Esi sivumelwano siseka ngokusesikweni iZiko eliSiza esiyiKhilomitha ubuDe nobuBanzi (i-SKAO), njengombutho wezizwe ngezizwe, onoxanduva lokwakha nokusebenzisa isibonakude samaza omoya senzululwazi ngezeenkwenkwezi esisesona sinamandla kakhulu ehlabathini, esiza kuba seMzantsi Afrika nase-Australi IKhabhinethi iwaqhwabela izandla amazwe ayinxalenye ye-SKA ngokuthatha inxaxheba kweli phulo liyimbali kwaye iyakubethelela ukuba uMzantsi Afrika uzimisele kule projekthi ye-SKA, ilandela ukuvulwa ngokusesikweni kwesibonakude i-MeerKAT kunye nendima emandla edlalwe nguMzantsi Afrika ngethuba kuyilwa esi sibonakud I-SKA iza kuba liqumrhu lamazwe ngamazwe lokuqala elakhelwe ukujongana nezenzulwazi kuphela, apho icandelo lezobunzululwazi, lezobunjineli kunye nemigaqo-nkqubo iza kukhokelwa leli lizwekazi le-Afrika Izikhukhula kwiphondo laKwaZulu-Natal IKhabhinethi ibulela imibutho engekho phantsi korhulumente (ii-NGO) esebenzisana norhulumente ukuhambisa izinto zoncedo ngethuba lezikhukhula ebezithwaxe iindawo ezithile kweli lizw","This establishes the Square Kilometer Array Observatory (SKAO), as an intergovernmental organization, tasked with building and operating the world's most powerful radio astronomy telescope, to be located in South Africa and Australi Cabinet congratulates the partner nations on this historic milestone and reaffirms South Africa s commitment to the SKA project, continuing on the successful launch of our MeerKAT telescope and South Africa s critical contribution to the SKA telescope desig",0.8900844
