xh,en,src_text,trg_text,Cosine_Score
"[ 0.4269323  -0.34436974 -0.31346545 ...  0.22167459 -0.08546679
 -0.15149315]","[ 0.01003314 -0.00076524  0.03194606 ...  0.01121077  0.00101076
  0.00310309]",IziGqibo zeKhabhinethi,In the reporting quarter,0.641852
[0.23119706 0.51399106 1.7759385  ... 1.2201982  0.6989666  0.8123517 ],"[ 0.02399216 -0.00204145  0.00658369 ...  0.04608804  0.0217486
  0.04789091]","IKhabhinethi ikhe yaxoxa ngeeNgxelo zoKwazisa ngeziPhumo zoMsebenzi weKota yesiThathu yexesha elisuka kweyeDwarha ukuya kweyoMnga yowama-2016, nengokuhlolwa kokuphunyezwa kweNkqubo yokuSebenza kaRhulumente (i-PoA) ngokuhambelana nemimiselo yeNkqubo-sikhokelo yobuChule yesiGaba esiPhakathi (i-MTSF) kunye nesiCwangciso seSizwe soPhuhliso (i-NDP).AbaPhathiswa abangamaLungu eeNtlanganisela ezahlukeneyo, besebenzisa iZiko lezoNxibelelwano nokuSasazwa koLwazi lukaRhulumente (i-GCIS), baza kubiza iindibano noonondaba zentlanganisela zabo ngeenjongo zokwaziswa ngemisebenzi eyimpumelelo yamasebe abo ngeli xeshKwezi ntlanganiso noonondaba kuza kucaciswa ngale miba ibalulekileyo ilandelay INguqu yezoQoqosho INguqu yezoQoqosho idinga utshintsho olugqibeleleyo kwiziseko ezivelisayo zaseMzantsi Afrika; ikwadinga nokutshintsha kweendlela zokuthatha inxaxheba kwabo babesakuvinjwa amathuba kwezoqoqosh","Cabinet decisions Cabinet deliberated on the Third Quarter Outcomes Performance Update Reports for the period October to December 2016, which monitor implementation of Government s Programme of Action in line with the provisions of the Medium Term Strategic Framework and the National Development PlanRespective Cluster Ministers, through the GCIS, will coordinate cluster media briefings to present departmental milestones reached in the perioThe following highlights will be elaborated on during Ministerial cluster briefing",0.83904743
"[ 0.47897542 -0.008376    0.84867775 ...  0.9378825   0.96085
  1.4983436 ]","[ 0.01256944 -0.00095709  0.00247268 ...  0.01250977  0.01523107
  0.02234622]","Ngokumalunga nesibhengezo sikaRhulumente sokuba uza kuvelisa oosomashishini abamnyama abali-100 kweli xesha lesigaba esiphakathi ukuzisa inguqu yezoqoqosho, ngooSomashishini abaMnyama abali-100 abasebexhasiwe ukususela oko kwasungulwa le nkqubo, abasi-9 kubo baxhaswe kule kot Le nkxaso kaRhulumente ikhokelele kutyalo-mali lwecandelo labucala olulindeleke ukuba libe ngama-956 zezigidi zeerandi ngeli xesha kulindeleke ukuba kudalwe imisebenzi eli-1 053.","Economic Transformation Economic Transformation requires radical change in the productive base of the South African economy; it also requires changing the patterns of participation by previously disadvantaged individuals in the econom Following Government s announcement that it would create 100 black industrialists over the medium term to bring about economic transformation, 27 Black Industrialists have been supported since the inception of the programme, 9 of which were supported in this quarte Government support resulted in a total projected private-sector investment of R956m while 1 053 jobs are projected to be establishe Additionally, the Industrial Development Corporations",0.8271606
"[ 0.66889226 -0.14450394  1.5305355  ...  0.92746556  0.866599
  2.5092175 ]","[ 0.01856135 -0.00055589  0.08107589 ...  0.01540506  0.02720164
  0.08479108]","Ukongeza apho, inkxaso-mali epheleleyo yoosomashishini abamnyana eyenziwe liQumrhu loPhuhliso lwezoShishino (i-IDC) efikelela kwi-4, 575 seebhiliyoni zeerandi, ukususela kwikota yokuqala yowama-2015/16 ukuya kweyesithathu yowama-2016/17.","(IDC) gross funding for black industrialists amounted to R4, 575 billion, from quarter one of 2015/16 to quarter three of 2016/17.",0.8539628
"[ 0.4004636  -0.00468442  0.4806735  ...  0.91737044  1.1996642
  2.4389036 ]","[ 0.01478545 -0.00011997  0.03569096 ...  0.01808136  0.0361714
  0.03140062]","Utyalo-mali Kwilinge lokunyusa izinga lentembeko, uRhulumente ngephulo lotyalo-mali elibizwa i-Invest SA uchonge iiprojekthi eziza kwenza umahluko omkhulu ezingama-40 nesezilungele ukuphunyezwa kule minyaka mibini izay Inkxaso evela kwiSebe lezoRhwebo noShishino itsale utyalo-mali lwecandelo labucala elingange-4 seebhiliyoni zeerandi, elinamandla okonga nokudala imisebenzi emalunga nama-3 614 kwikota eqala kweyoMsintsi ukuya kweyoMnga yowama-2017.","Investment In an effort to boost confidence levels, Government through Invest SA has identified 40 high-impact projects that are ready for implementation within the next two year Support from the Department of Trade and Industry attracted R4bn in private-sector investment, with the potential to save and create approximately 3 614 jobs in the September-December 2017 quarteThe Dube Trade-Port attracted Rn of private-sector investment while the OR Tambo International Airport SEZ attracted R260m in private sector investmen Economic diplomacy initiatives undertaken yielded increased sales of manufactured value-added exports by R247 million which brings the cumulative total for the year to R5 billio Foreign Direct Investment (FDI) confirms that South Africa remains a preferred investment destinatio The Q3 additions to the Pipeline represent potential FDI of R billion particularly in the energy and chemicals secto This brings the total potential FDI to R32 billio Officials are working extensively to move these potential investments from the pipeline to actual investmen President Jacob Zuma will launch the Invest SA National One Stop Shop tomorrow Friday 17 March 2017 at the dti Campus in Pretoria, Sunnysid Small Business Development As part of implementing the 30%",0.78804684
"[ 0.83593166 -0.27071384  1.2026013  ...  0.6424808   1.300592
  1.928493  ]","[ 8.0225356e-03 -3.0924890e-05  7.8277394e-02 ...  1.0299380e-02
  1.4361832e-02  4.0665917e-02]",UMmandla woRhwebo waseDube utsale utyalo-mali lwecandelo labucala eli-seebhiliyoni ngeli xesha uMmandla woQoqosho oKhethekileyo (i-SEZ) weSikhululo seeNqwelo-moya samaZwe,244 073 people benefitted from the food security initiatives including those that were fed at Community Nutrition Development Centre The Department of Social Development procured produce from 43 local cooperatives at R1 684 23 in line with 75% local procurement proposal.,0.7229767
"[ 0.8565166  -0.2740536   0.9185651  ...  0.49020508  1.0273112
  0.7352891 ]","[ 0.02773745 -0.00146417 -0.00098696 ...  0.02261327  0.01967074
  0.03231694]",ngemazwe i-OR Tambo utsale utyalo-mali lwecandelo labucala elingama-260 ezigidi zeerand,611 360 households gained access to sanitation services and 20 599 households were served through the Rural Household Infrastructure Grant to eradicate the sanitation backlog: 1 405 buckets were replaced with adequate sanitation services in the formally established settlement,0.7036599
"[ 0.6123573  -0.06751888  2.4611998  ...  0.87396663  1.3699185
  1.5056561 ]",[0.02848583 0.00996104 0.02447341 ... 0.01435229 0.03242342 0.03618192],Amaphulo okukhangela amathuba ezoqoqosho kumazwe angaphandle enziweyo anyuse izinga lokuthengwa kweemveliso ezenza ingeniso eninzi ezithunyelwa kumazwe angaphandle ngama-247 ezigidi zeerandi ethi xa idibeneyo iyonke ibe zibhiliyoni eziyi--5 zeeranndi ngonyak Utyalo-mali lwaMazwe angaPhandle oluNgqalileyo (i-FDI) luyakungqina ukuba uMzantsi Afrika usahleli uyeyona ndawo yotyalo-mali ithandway Ukongezwa kweengxelo zekota yesithathu,"Healt Prevention is the cornerstone of the public sector s efforts to combat HIV and AID As part of HIV Counselling and Testing services, a total of 3 022 988 clients were tested for HIV, against the third quarter target of 2 500 0027.",0.7617023
"[ 0.8332239  -0.00129044  0.59570265 ...  0.87987256  1.1699787
  0.9145936 ]",[0.03321496 0.00367144 0.06252236 ... 0.00538457 0.03373653 0.02270873],"kutyalo-mali olulindelekileyo lulonke kuthetha ukuba kungakho utyalo-mali lwe-FDI oluzibhiliyoni eziyi-- zeerandi ngokukodwa kwicandelo lezamandla nelamachiz Oku kusibeka kutyalo-mali lwe-FDI olulindelekileyo olukuma-32 eebhiliyoni zeerandi luphelel Amagosa asebenza ngamandla ukuqhuba olu tyalo-mali lusuke ekubeni lolulindelekileyo luye kutyalo-mali lokwenen UMongameli uJacob Zuma uza kumisela iziko elingunto-zonke elibizwa Invest SA National One Stop Shop ngomso ngoLwesihlanu kwiziko le-dti ePitoli, e-Sunnysid Uphuhliso lwamashishini amancinci","Government s Programme of Action has played a significant role in GDP growth as reflected in the GDP figures released by Statistics South Afric In support of the National Development Plan, the country s Nine Point Plan outlines specific interventions for growing and transforming the economy, creating jobs and attracting investmenThe largest positive contributors were the trade, catering and accommodation industry as well as finance, real estate and business services, which increased by 2,1% and 1,6% respectivelEach contributed 0, 3 of a percentage point to GDP growth Implementation of government programmes Cabinet joins Deputy President Cyril Ramaphosa in welcoming the full endorsement of the minimum wage agreement that was agreed to by labour, government and business under the auspices of the NEDLAC Committee of PrincipalThis endorsement is an important milestone in the process of making the National Minimum Wage a reality which will reverse the phenomenon of the",0.78944206
[0.57816523 0.01869394 3.389911   ... 0.81110024 0.81983405 1.8507708 ],"[ 0.02121102 -0.00248258  0.00296565 ...  0.03600697  0.0234183
  0.05070764]","Njengenxalenye yokuphumeza ukuba kubekelwe bucala ama-30% kwimali iyonke eza kuchithwa ekuthengeni iinkonzo neempahla kuze kuthengwe kumashishini amancinci, aphakathi namancinane (ii-SMME), uNondyebo weSizwe uye wahlaziya iMimiselo yoMthetho weNkqubo-sikhokelo yoMgaqo-nkqubo wokuThenga ngeNdlela eyeNzelelayo waza wapapasha izihlomelo kwiphephandaba lombuso kweyoMqungu yowama-20110.","of total procurement expenditure for SMMEs, National Treasury has reviewed the Preferential Procurement Policy Framework Act Regulations and gazetted amendments in January 20110.",0.8242649
