xh,en,src_text,trg_text,Cosine_Score
"[ 0.87184864 -0.06819484  0.00150533 ...  0.338132    0.6100037
  0.94496226]","[ 2.0932527e-03 -2.0482007e-04  4.8137208e-05 ...  1.0729753e-03
  1.5222355e-03  7.8740353e-03]",IMIBA ENGUNDABAMLONYENI 1.,Messages1.,0.7608671
"[ 1.5592877  -0.08906192  0.09442882 ...  0.7025349   1.3357756
  1.6545305 ]","[ 0.05977703 -0.00233796  0.00084099 ...  0.01490684  0.01986509
  0.01410953]",IsiBonelelo sokweHlisa uXinzelelo lweNtlalo (i-SRD) olubangelwa siSifo seNtsholongwane ye-Corona (i-COVID-19),a Black Business Growth Fund and Abadali Grant (R40 million).,0.7015673
[1.7725043  0.03400831 0.24673001 ... 0.8204259  1.3589339  2.3627543 ],[0.04316645 0.02231144 0.00548791 ... 0.01761468 0.03463138 0.05011851],"IKhabhinethi iyabuqonda ubunzima obubangelwe ngubhubhane we-COVID-19 kunye nobundlobongela basesidlangalaleni obusandula ukuba khona kwezinye iindawo zaKwaZulu-Natal naseRhawutin Ngenxa yoku, ikhumbuze abemi boMzantsi Afrika ukuba izicelo zesiBonelelo se-COVID-19 SRD ukuxhasa abantu abangenangeniso ziye zavula ngoLwesihlanu, umhla we-6 kweyeThupha 2021.","Coronavirus Disease (COVID-19) Social Relief of Distress (SRD) Grant Cabinet is conscious of the hardships caused by the COVID-19 pandemic and the recent public violence in some parts of KwaZulu-Natal and Gauten In this regard, it reminded South Africans that applications for the country s COVID-19 SRD Grant to support people who have no income opened on Friday, 6 August 2021.",0.890954
"[ 0.90338826 -0.10744607 -0.20919777 ...  1.2357868   1.7604632
  1.5168746 ]","[ 1.7712699e-02 -1.0651746e-03 -8.2602921e-05 ...  4.5785785e-02
  5.6335744e-02  6.0608264e-02]","I-Arhente yoKhuseleko lweNtlalo yoMzantsi Afrika ivule amajelo amatsha ekungafakwa kuwo izicelo kwi-govchaapp naku-Facebook Messenger, ukongeza kwiwebhusayithi https://srsassgoza okanye u-WhatsApp ku-082 046 8553.","The South African Social Security Agency (SASSA) has opened new channels where applications can be submitted via the govchaapp and Facebook Messenger, in addition to its website: https://srsassgoza or through WhatsApp on 082 046 8553.",0.9070666
"[ 0.59962314 -0.15287355  0.19502641 ...  0.9290902   0.6918457
  0.7719084 ]","[ 0.02149951 -0.00084548  0.00032628 ...  0.04155799  0.03477665
  0.03509278]",Abantu abaneminyaka ephakathi kwe-18 nama-60 abangenalo naluphi na uhlobo lwenkxaso yezezimali kumelwe ukuba bafake isicel Isibonelelo se-R350 ngenyanga ngumnatha wokhuseleko obalulekileyo kwiintsapho ezingathi kungenjalo zidandathekiswe sisibetho sentlupheko nentswela-ngqesho,People between the ages of 18 and 60 who have no financial support of any kind should appl The R350 per month grant is an important safety net for families who would otherwise be devastated by the scourge of poverty and unemployment Energy,0.8931046
"[ 0.41456196 -0.27032998 -0.06516801 ...  0.1765264   0.021041
 -0.05445363]","[ 0.06666877 -0.00088927 -0.00143237 ...  0.0011933   0.01536643
  0.00430065]",Amandla ombane,Abadali,0.6484092
"[ 0.69002646 -0.05891683  0.17135467 ...  0.98538107  0.9705413
  1.6147703 ]","[ 0.03495074 -0.0014866   0.00161501 ... -0.00096449  0.0158779
  0.01493285]",IKhabhinethi ikwamkele ukushicilelwa kwiphepha-ndaba likarhulumente kule veki kwemigaqo eyonyusa umlinganiselo wokuveliswa okuzinzileyo ukusuka kwi-megawatt (MW) eyiyo ngoku ukuya kwii-MW ezili-100.,"Cabinet welcomed the gazetting this week of the regulations that increase the threshold for embedded generation from the current one megawatt (MW) to 100 M In June 2021, President Cyril Ramaphosa announced the amendment of Schedule 2 of the Electricity Regulation Act, 2006 (Act 4 of 2006) to increase the National Energy Regulator of South Africa s licensing threshold for embedded generation projects to allow for more private generation of electricit Companies in energy-intensive sectors will now be able to",0.7746771
"[ 1.5051079   0.12206495 -0.04957044 ...  0.7989317   0.6391867
  0.80638194]","[ 0.05557413 -0.00036714  0.029558   ...  0.00935029  0.02767269
  0.01969114]","KweyeSilimela 2021, uMongameli Cyril Ramaphosa ubhengeze ukuhlonyelwa kweShedyuli yesi-2 yoMthetho woLawulo loMbane, ka-2006 (uMthetho we-4 ka-2006) ukonyusa umlinganiselo wokunika amaphepha-mvume oMlawuli waMandla oMbane weSizwe weeprojekthi zokuveliswa okuzinzileyo ukuvumela ukuveliswa kombane bucala okongezelelekiley","Economic Recovery Support Package Cabinet called on all eligible businesses affected by the recent civil unrest in KwaZulu-Natal and Gauteng to apply for industrial loan support at zero-percent interest, under the R-billion Economic Recovery Support Package offered by governmen",0.7144376
"[ 0.61101943 -0.22892319  0.8219465  ...  0.79605496  1.1406497
  1.1541127 ]",[0.01831597 0.00033487 0.00974388 ... 0.00291091 0.03527437 0.03529245],Iinkampani ezikumacandelo asebenzisa umbane kakhulu ngoku ziza kukwazi ukuzivelisela umbane ngokwazo ngaphandle kwemfuneko yephepha-mvum Ubungakanani bokuvelisa obutsha buza konyusa ukhuseleko lwamandla ombane ngokucutha ukuxhomekeka kwisiseko samandla nokuvula utyalo-mali olukhulu kwicandelo labucala,generate their own electricity without the need for a licenc The new generation capacity will increase energy security by reducing reliance on the power grid and unlocking significant private sector investmen 3.,0.8414805
"[ 0.74457306 -0.29223248 -0.23542365 ...  0.28807566  0.38954523
 -0.15562737]","[ 0.00760987 -0.00330364  0.00302072 ...  0.01374019  0.00800165
  0.00387427]",IPhakheji yeNkxaso yokuVuselelwa koQoqosho,financial and non-financial support,0.6808369
