xh,en,src_text,trg_text,Cosine_Score
"[ 0.52860796 -0.14491193  0.3906105  ...  0.82148236  0.79371035
  2.1883454 ]",[0.02188233 0.0033799  0.001195   ... 0.00695619 0.0113432  0.04533548],"Ingxelo yeNtlanganiso yeKhabhinethi ibibanjwe kusetyenziswa unxibelelwano ngevidiyo ngoLwesithathu, umhla wama-27 kuCanzibe 2020 1.","Ministers across a range of portfolios will unpack the details in media briefings that will be conducted today, Thursday 28 May and tomorrow, Friday 29 May 2020.Cabinet Decisions2.",0.7510946
"[ 1.2385523  -0.15589829  0.09111278 ...  1.1280679   1.1158133
  1.886042  ]",[0.02998602 0.0020374  0.00857503 ... 0.01729704 0.02922225 0.040137  ],Isifo seNtsholongwane i-Corona yowama-2019 (i-COVID-19) eMzantsi Afrika,Coronavirus Disease 2019 (COVID-19) in South Africa,0.93752015
[0.7866721  0.55813426 0.36204052 ... 1.0000106  0.98830855 1.1244016 ],"[ 0.02275859 -0.0011391   0.00429463 ...  0.05660686  0.03578519
  0.03021264]","IKhabhinethi inikwe amagqabantshintshi ngeziphumo zeendibano zokufakana imilomo ebezibanjwe nguMongameli Cyril Ramaphosa nemibutho yoluntu eyahlukeney Iinjongo zezi ndibano ibikukuqinisekisa umba wokunyenyisa kususwa ilizwe kwisiGaba sesi-4 linyuselwa kwesesi-3 zifumana iinkxaso futhi namahlakani ezentlalo nawo avakalisa ezawo izimv Ekhatshwa ngabaPhathiswa abohlukeneyo, uMongameli uye wadibana noluntu, abasebenzi kunye necandelo lezoshishini, iBhunga leeTyalike loMzantsi Afrika; iinkokheli zemibutho eyahlukeneyo yezenkolo; ooSodolophu; iiNkulumbuso, uMbutho woMzantsi Afrika oRhulumente baseKhaya (i-SALGA), iinkokheli zemveli kunye nemibutho yezopolitiko enabameli ePalament IKhabhinethi ichulumancisiwe ziziphumo zezi ndibano zokufaka imilomo, ebezisakha futhi zanegalelo elimandla kwizicwangciso zokunyenyisa imigqaliselo silungiselela ukuya kwisiGaba sesi-3 esiza kuqalisa ngomhla woku-1 kweyeSilimela 2020.","Cabinet was briefed on the outcome of consultations undertaken by President Cyril Ramaphosa with various civil-society organisations, to ensure that the country s progression from Level 4 to Level 3 of the national lockdown has the support and inputs of all social partner Accompanied by various Ministers, he met with community, labour and business sectors, South African Council of Churches; leadership of interfaith communities; Mayors; Premiers; South African Local Government Association, traditional leadership and political parties represented in Parliamen",0.8887571
[0.40763912 0.00405672 0.43916747 ... 1.0185289  1.1622698  1.774299  ],[0.02535518 0.03599682 0.01220076 ... 0.03185505 0.03667394 0.02978172],Esi sigaba siza kuquka ukuvula amacandelo amaninzi ezoqoqosho kuze kususwe nemiqathango ethintela ukuhamba-hamba kwabant Siza kuvulela nabemi boMzantsi Afrika abamalunga nezigidi ezisibhozo ukuba babuyele emisebenzin,This level will entail a further broadening of economic activity and the removal of restrictions on the movement of peopl It will also enable about eight million South Africans to return to wor Special attention will be given to,0.8599181
[0.78921807 0.11842795 0.3329633  ... 0.91779625 0.8338128  0.75050116],[0.02512435 0.00339868 0.03257165 ... 0.01479282 0.02937025 0.0155114 ],"Kuza kuthathelwa ingqalelo ngamandla iindawo ezinabantu abaninzi abosulelwe sesi sifo nezithe zabona ukunyuka ngamandla kwamanani abantu abosulelwe yile ntsholongwan Amasebe ezempilo amaphondo aza kuqalisa ngamanyathelo ezempilo okungenelela ingakumbi kwiindawo ezinabantu abaninzi abosulelwe sesi sifo afana nokuhlolwa ngamandla kwabantu bejongwa iimpawu zesi sifo, uvavanyo, ukugcinwa kwindawo eyodwa kubantu abanesi sifo kunye namaphulo othintel","areas which have increased rates of coronavirus infection Provincial health departments will roll out dedicated health interventions in those hotspot areas in the form of intensified screening, testing, and quarantine and prevention measure",0.8553193
[0.4855555  0.7476759  0.12769139 ... 0.84069806 0.47065806 2.6343071 ],"[ 0.01944401 -0.00127117  0.00640858 ...  0.01747697  0.01080333
  0.06485668]",IKhabhinethi iphinde yakubethelela ukuba iyawaxhasa la maphulo aqhutywa nguMongameli Ramaphosa okubonisana nomntu wonke awawaqala ukususela oko kwaqala imo yentlekele kwizwelonke ngomhla we-15 kweyoKwindla 2020.,Cabinet reiterated its support for the inclusive consultations undertaken by President Ramaphosa since the start of the national state of disaster on 15 March 2020.,0.8412032
[1.4268575  0.03540827 0.05066091 ... 0.79944015 0.9298686  1.0812157 ],[0.02049758 0.02353232 0.00377064 ... 0.00938744 0.02869342 0.00495161],"Ezi ndibano zenze kwalula ukuba onke amacandelo esizwe akwazi ukudlala indima kwidabi lokulwa lo bhubhane we-COVID-19, ukusindisa abantu ekubulaweni yile ntsholongwane kunye neempilo zab","These consultations have made it possible for all sectors of society to play a role in the fight against the Covid19 pandemic, saving of lives and protecting livelihood The operational and technical management of COVID-19 interventions is driven by the National Joint Operational and Intelligence Structure (NATJOINTS) and the Department of Healt NATJOINTS is a multidisciplinary coordinating structure of government that is activated to manage large project",0.8082973
"[ 0.4880006   0.12903754 -0.15110394 ...  1.0010949   0.84495944
  0.7504915 ]","[ 0.01886361  0.00577557 -0.00010074 ...  0.03249732  0.02622299
  0.02713241]","Icandelo lezemisebenzi nobungcali lamaphulo okulwa i-COVID-29 likhokelwa liQumrhu leSizwe eliDibeneyo lezeMisebenzi nezobuNtlola (i-NATJOINTS) kunye neSebe lezeMpil I-NATJOINTS liqumrhu eliquka amacandelo amaninzi lokuququzelela eliphantsi korhulumente elithi livuselelwe ukuze lilawule amaphulo amakhul I-COVID-19 NATJOINTS yenziwe ngamaqela azingcali aquka oosonzululwazi; ingcali zezempilo, iinjineli; abo bamele amaziko oLawulo lweeNtlekele zeSizwe; abacebisi bezomthetho; iziphathamandla ze-arhente zezokhuseleko nezogcino-mthetho zesizwe, kunye namaqela aphuma kumasebe ayinxalenye yentlanganisela yezoqoqosho nezempilo kunye neQumrhu labaLawuli-Jikelele boMzantsi Afrika (i-FOSAD).","The COVID-19 NATJOINTS is built on work streams that comprise scientists; health specialists; engineers; representatives of the National Disaster Management centres; legal advisors; leadership of the country s security and law-enforcement agencies, and teams from departments that make up the economic and social clusters of the Forum of South African Directors-Genera NATJOINTS receives reports from different departments and submits proposals to Directors-General (DGs) to develop recommendations that are presented to the National Coronavirus Command Council (NCCC).",0.82845104
"[ 0.87119895  0.05736077 -0.17953308 ...  0.75484735  1.699726
  1.0941212 ]",[0.00641534 0.00200297 0.00535697 ... 0.04740785 0.02559784 0.02576478],I-NATJOINTS ifumana iingxelo kumasebe ahlukeneyo ize ingenise iziphakamiso kubaLawuli-Jikelele (ii-DG) ukuze zona ziqulunqe izindululo eziza kuthi zinikwe iBhunga leSizwe loLawulo lweNtsholongwane i-Corona (i-NCCC).,"recommendations and also makes its own recommendations to Cabinet where proposals, including regulations, are approve This process ensures that the Executive takes collective decisions that are consensual and inclusiv Therefore, Cabinet condemns in the strongest possible terms false suggestions that individual members of the Executive are responsible for recommendations that emanate from the NCCC or decisions taken by Cabine.",0.74557555
"[ 0.7835323   0.13536918 -0.15362154 ...  1.2636557   0.9650239
  1.1306266 ]",[0.00833919 0.00224238 0.00288559 ... 0.02502007 0.0319453  0.01063281],"I-NCCC iye ixovule ezi zindululo zee-DG emva koko yenze ezayo izindululo izithumele kwiKhabhinethi apho iziphakamiso, eziquka imimiselo, zithi zivunywe khon Le nkqubo iqinisekisa ukuba isiGqeba soLawulo (iKhabhinethi) sisonke sithatha izigqibo ekuvunyelenwe ngazo futhi neziquka izimvo zomntu wonk Ke ngoko iKhabhinethi izigxeka kabukhali iingxelo ezibubuvuvu ezithi izigqibo nezindululo ze-NCCC neKhabhinethi zithathwa ngamalungu athile eKhabhinethi ewodw.","Executive functions during Level 3 Cabinet approved that under Level 3, which starts from Monday, 1 June 2020, it would adopt a blended approach which includes both physical and virtual Cabinet meetingCabinet also approved the monitoring teams comprising Ministers and Deputy Minister They have been allocated to each of the 52 districts and metros to monitor the measures that have been put in place to combat the spread of COVID-19.AppointmentsAll appointments are subject to the verification of qualifications and the relevant clearance Council for Mineral Technology (MINTEK) Board: Dr Vanguard Mbuyiseli Mkosana (Chairperson);Ms Ntokozo Faith Ngcwabe",0.7666595
"[ 1.2459701  -0.00891226  0.04325876 ...  1.2576339   1.3024037
  1.3442876 ]",[0.02397179 0.02766234 0.01051713 ... 0.03685239 0.05227147 0.02535207],"IKhabhinethi icela ukuba kubanjiswane ngamacandelo onke esizwe kuliwe utshaba olunye noluze kakubi, olungubhubhane we-COVID-111.","Cabinet appeals for the unity in action by all sectors of society against a common and dangerous enemy, the COVID-19 pandemi.",0.8348671
