xh,en,src_text,trg_text,Cosine_Score
"[ 0.38334498  0.11002418 -0.11158372 ...  0.66802406  0.8446336
  0.43803972]",[0.01973989 0.0137928  0.01884313 ... 0.01576011 0.0097819  0.02680079],"Uluvo lweKhabhinethi kwimiba ebalulekileyo kwiimeko ezigqubayo nezingundabamlonyeni IKhabhinethi ivakalise ukukhathazeka kwayo yimigushuzo yabasebenzi baseLonmin kumgodi oseMarikana kutshanje, ekhokelele ekubeni bazibeke phantsi izixhobo zokusebenza nto leyo iphazamise imvelis Kukho ingxelo yokuba oku kungaboni ngasonye kumalunga nemiba yokumelwa kwiiManyano ezibizwa ngokuthi yiNational Union of Mineworkers (NUM) kunye ne-Association for Mining and Construction Union (AMCU).IKhabhinethi ibongoza iinkokeli zezi manyano (i-NUM kunye ne-AMCU) ukuba zikusombulule ukungaboni ngasonye ngoxolo zicingele ilizwe nabasebenzi ngaphezu kwayo yonke int Abasebenzi kufuneka baqonde ukuba ugwayimbo olungekho mthethweni lunganeziphumo ezimandundu kungekho kubo kuphela, kodwa kuchaphazele nekamva lomgodi kunye nemisebenzi yabIKhabhinethi isekwabongoza abalawuli baseLonmin ukuba benze konke abanakho ukuqinisekisa ukuba iingxaki zisonjululwa kamsinyane kangangoko nangaphandle komonakal Kubalulekile kakhulu kwilizwe lethu ukuba zombini ezi manyano kunye nabalawuli baseLonmin babonise ubunkokeli obufunekayo nobufanelekileyo kunye nolawulo lobudlelwane kwezoshishin IKhabhinethi izixhasa ngokupheleleyo iziphumo eziyintshayelelo ezivela kuphando lokuchopha ngokungekho mthethweni nangokungagunyaziswanga kwenqwelontaka yokuthwala abantu abangewona malungu ombutho womkhosi kwisikhululo soMkhosi woKhuselo iWaterkloof Air Force BasIkhabhinethi igxininisa ukuba ukhuseleko nokuzimela koMzantsi Afrika kubaluleke kakhul Ukophulwa kwemithetho nemiqathango elawula amazibuko okungena kweli kunye neendawo zobuchule besizwe ezibalulekileyo kufuneka kujongwane nako ngqongqo nangaphandle kokoyika nokwenzelelelw Abo bafunyaniswe njengabophule imithetho nemiqathango baza kujongana nengalo yomtheth IKhabhinethi iyawamkela umsebenzi wamaSebe kaRhulumente njengoko iingxelo zawo zithiwe thaca ngaBaphathiswa abohlukileyo ngexesha leeVoti zoHlahlo-lwabiwo-mal IKhabhinethi iqaphela ukuba usasazo olwenziwayo lwezi Voti lunceda ekuxhobiseni abemi ngolwazi kunye nokunyanzela urhulumente athathe uxanduva anike neempendul IKhabhinethi iyazamkela iingxoxo phakathi kweSebe lezeMfundo esiSiseko kunye nemanyano yootitshala i-South African Democratic Teacherr s Union ezikhokelele ekuxhonyweni","Cabinet s position on prominent issues in the current environment Cabinet expressed concern at recent labour unrest at Lonmin s Marikana Mine which has led to the downing of tools and a disruption of productivit The dispute is reported as centering around issues of majority representation involving the National Union of Mineworkers and the Association for Mining and Construction Unio Cabinet appeals to the leadership of both unions (NUM and AMCU) to resolve their dispute amicably and put the interests of the country and workers above everything els Workers must be aware that the unprotected strike could have serious consequences not only for themselves, but for the future of the mine and that of their jobCabinet also appeals to Lonmin management to do everything possible to make sure that the problems are resolved as soon as possible without further damag It is in the best interest of the country for both unions and management at Lonmin to demonstrate required levels of leadership and industrial relations managemen Cabinet fully supports the preliminary findings from the investigation into the unauthorised landing of a civilian aircraft at Waterkloof Air Force BasCabinet stressed that the safety and sovereignty of South Africa is of paramount importanc Violation of laws and rules relevant to the ports of entry and facilities of strategic national importance must be dealt with firmly and without fear or favou Those who are found to infringe and compromise regulations must face the full might of the la Cabinet welcomes the work by Government Departments which has been reported on by various Ministers during the departmental Budget Vote Cabinet notes that the coverage afforded to the Budget Votes assists in empowering citizens with information and holding government accountabl",0.88537693
[0.9750661  0.2939347  2.326634   ... 1.0709487  0.28894156 1.3440775 ],"[ 0.02263242 -0.00115793  0.06316757 ...  0.02395647  0.01257191
  0.01628591]","koqhankqalazIKhabhinethi ihlaba ikhwelo kubo bonke abachaphazelekayo kwicandelo lezemfundo ukuba basombulule ukungaboni ngasonye ukuze imfundo yabantwana bethu ingabi sengozin IKhabhinethi iqaphele uPhando lwekota lwaBasebenzi (i-QLFS) olubonisa ukwanda kwentswela-ngqesho ukusuka kwiipesenti ezingama-24,9 ukuya kwezingama-25,2.URhulumente ukhawulezisa amanyathelo afana nephulo leziseko eziluncedo nezophuhliso elikhokelwa ngurhulumente ukwandisa imisebenzi ngokungenelela kwamaCandelo kaRhulumentURhulumente esebenzisana nezabasebenzi kunye noshishino basungule iSivumelwano sokuQeshwa koLutsha kuTshazimpunzi wama-2013.","Cabinet welcomes the discussions between the Department of Basic Education and the South African Democratic Teachers' Union (SADTU) which led to the suspension of protest actio	Cabinet calls on all stakeholders in the education sector to resolve their disputes so that education of our young people is not compromise Cabinet noted the Quarterly Labour Force Survey (QLFS) which shows an increase in the unemployment rate from 24,9 per cent to 25,2 per cenGovernment is accelerating measures, such as the state-led infrastructure drive, to increase employment through Public Sector intervention",0.85147774
[0.51321644 0.20103037 0.10824399 ... 0.9670929  0.89111996 0.9149982 ],"[ 0.01244416 -0.00016974  0.00050239 ...  0.0218226   0.02698388
  0.03889106]","Oku kusekwabonisa ukuzinikela ngokuhlangeneyo ekushukuxeni umba wentswela-ngqesh Kucacisa ukuzinikela kwecandelo ngalinye ekwenzeni igalelo ekulweni nokungaphangeli kolutsha ngokujolisa kokubonakalayo kunye nexesha eliza kuthathwa ukuze kuphunyezwe ngempumelelo, ukongamela kunye nokuhlola kokungenelela okuchongiweyIKhabhinethi isaqinisekile ukuba amanyathelo asele ethathiwe aza kuncedisa ilizwe lidale imisebenzi emitsha kunye nokufikelela kokujoliswe kuko okuyimisebenzi ezizigidi ezintlanu ungekafiki owama-2026.","This further demonstrates a collective commitment towards addressing the issue of unemploymen It maps out individual sector pledges to contribute in fighting youth unemployment with concrete targets and time frames for successful execution, monitoring and collective evaluation of the identified intervention	Cabinet remains confident that measures already underway will assist the country to create new jobs and realise its target of five-million new jobs by 2026.",0.89080083
[0.40007082 1.4103734  0.03389223 ... 0.860313   0.9631367  0.8014375 ],"[ 0.01024166  0.05157422 -0.00012455 ...  0.04048027  0.03331786
  0.03793947]","Ikhabhinethi yamkele ukutyikitywa kwesicwangciso sokusebenza ukuphumeza iMemorandam yokuQondwa nokuLondolozwa kweNdalo eyoHlukahlukileyo phakathi koMzantsi Afrika kunye neVietnaIsiCwangciso sokuPhumeza siza kuqhuba kude kube ngonyaka wama-2017 kwaye siza kuncedisa kwiinzame zokulwa ulwaphulo-mthetho oluquka izilwanyana zasendle, ingakumbi ukubulawa kwemikhombe ngokungekho mthethwen Ikhabhinethi iyaphinda igxininisa ukuba uRhulumente uzinikele ekushukuxeni ukubulawa kwemikhombe kwaye ungqina ukuba abo bophulimthetho baza kutshutshisw Ikhabhinethi yamkele isibhengezo esenziwe liSebe leMicimbi yezeKhaya lokuqalisa iphulo lokusebenzisa inkqubo yesazisi esilicwecwe, nto leyo isimanya njengesizwe esinye kunye nokhuseleko lwesizwEli linyathelo elingundoqo nelinamandla okukhawulezisa iinkonzo zikarhulumente, lo gama linciphisa ulwaphulomthetho norhwaphilizo olubandakanya izasizIkhabhinethi ihlaba ikhwelo kubemi boMzantsi Afrika ukuba baxhase le nkqubo ukuze ngonyaka wama-2020 sonke sibe sesilifumene icwecwe lesazisi njengendlela yokuzazisa kwesizw Ikhabhinethi ilugxeka kakhulu uhlaselo lwezithuthi ezikhaphayo zeZizwe eziManyeneyo e-Abyei, eSudan, olube neziphumo zokusweleka kwenkokeli yemveli kunye nomgcinixolo wase-Ethiopi Esi sehlo silusizi sibeka emngciphekweni uzinzo lwase-Abyei kwakunye nenkqubela ezuzwe kutshanje yiSudan noMzantsi Suda Ikhabhinethi ichasa uhlaselo lwaseSyria ngamajoni omkhosi wokhuselo akwaSirayel Ikhabhinethi ihlaba ikhwelo kwiZizwe eziManyeneyo ukuba zicenge imikhosi yangaphandle ukuba ihloniphe ukuzimela kweSyria kunye nokuvumela abemi baseSyria basebenze bebonke ukusombulula ukungaboni ngasonye kwab.","Cabinet welcomes the signing of an action plan to implement the Memorandum of Understanding on Biodiversity Conservation and Protection between South Africa and Vietna	The Implementation Plan will run until 2017 and will assist efforts to combat crime involving wildlife, particularly rhino poachin Cabinet reiterates that Government is committed to addressing the scourge of rhino poaching and reaffirms that perpetrators will be prosecute Cabinet welcomes the announcement by the Department of Home Affairs to pilot the Smart ID card system, which further consolidates our national identity and enhances national securit	This key milestone holds the potential to speed up government services, while cutting down on crime and corruption involving identity documentCabinet calls on South Africans to support this process so that by 2020 we are all in receipt of a Smart ID Card as a form of national identificatio Cabinet condemns the attack on a United Nations convoy in Abyei, Sudan, which resulted in the deaths of a tribal chief and an Ethiopian peacekeepe This regrettable incident threatens the stability of Abyei as well as the progress recently achieved by Sudan and South Suda Cabinet",0.893638
"[ 0.6274081   0.11551375 -0.28263664 ...  1.1940451   0.9618484
  1.2362986 ]","[ 0.02422706  0.02662392 -0.00013031 ...  0.04022779  0.03037747
  0.03415357]",Ikhabhinethi yamkele ukumiselwa nokubekwa kuka-Advocate Lawrence Mushwana njengomtsha uSihlalo weKomiti yaMazwe ngaMazwe (ICC) yamaZiko eSizwe okuXhasa nokuKhusela amaLungelo Olunt Esi sisihlandlo sokuqala ukuba i-Afrika ikhokele i-ofisi kaSihlalo wale komit Isikhundla sikaSihlalo wale komiti siqinisekisa ukwandiswa kwengqalelo kwimbali yamalungelo oluntu eli lizwe kunye nokuthotyelwa kwembophelelo zamalungelo oluntu ngamazwe ngamazw.,Cabinet welcomed the inauguration of Advocate Lawrence Mushwana as the new Chairperson of the International Co-ordinating Committee (ICC) of National Institutions for the Promotion and Protection of Human Right This is the first time that Africa heads the office of the Chairperson of the IC The position of ICC Chairperson secures increased focus on the country's human rights track record and its compliance with international human rights obligation.,0.88968265
"[ 0.68840754 -0.02658738  0.10231035 ...  1.0242419   1.3678846
  2.0139782 ]",[0.00636844 0.02594759 0.00507674 ... 0.03705351 0.04070715 0.06715352],Ikhabhinethi yamkele isikhumbuzo sama-50 eminyaka yoMbutho weManyano yaMazwe ase-Afrika (i-OAU) esiza kubhiyozelwa ngoSuku lwe-Afrika umhla wama-25 kuCanzibe wama-2013.IKhabhinethi iqaqambise ukuba ubunye be-OAU nokumkhetha urhulumente wengcinezelo ukuba ungabi lilungu lawo kwawuphakamisa umzabalazo wenkululeko kunye nokufumaneka kwentando yesininzUMzantsi Afrika uza kuzimanya nelizwekazi ekubhiyozeleni isikhumbuzo seminyaka engama-50 yeMbumba yase-Afrik Imibhiyozo iquka umbukiso wobugcisa bale mihla oza kuthatha inyanga yonke kwingingqi yaMazantsi e-Afrika ukususela ngomhla wama-24 kuCanzibe ukuya kowama-28 kweyeSilimela wama-2013.,"Cabinet welcomed that the 50th anniversary of the Organisation of African Unity which will be celebrated on Africa Day, 25 May 2013.Cabinet highlighted that the solidarity of the OAU in excluding the apartheid government from its organs uplifted our struggle for freedom and attainment of democracSouth Africa will join the continent in commemorating the 50th Anniversary of the African Unio The activities include a month-long exhibition of contemporary visual arts in the SADC region from 24 May to 28 June 2013.",0.90689456
"[ 0.7909205  -0.14784558 -0.01455951 ...  0.8006522   1.1938497
  2.572395  ]","[ 0.01529923 -0.00088693  0.01943712 ...  0.03309423  0.02738639
  0.09513815]",IZiko le-Afrika eliseMzantsi Afrika liza kuhlanganisa uluntu oluzingcungela kwezemfundo kunye nezizwe zase-Afrika njengenxalenye yemibhiyozo yesikhumbuzo ngomhla we-19-21 kuCanzibe wama-2013.,The Africa Institute of South Africa will also convene the academic community and diaspora as part of the commemorations on 19-21 May 2013.,0.86796594
"[ 0.6038011  -0.08874472  0.02978321 ...  0.4676701   1.016437
  2.053344  ]","[ 1.9946139e-02 -5.2473857e-05  4.3525575e-03 ...  1.4167527e-02
  1.6884398e-02  8.2840405e-02]","Ngaphaya koko, kuza kubakho umbukiso kwiziko lamagugu iDitsong (kwisiXeko saseTshwane) ukukhumbula uSuku lwe-Afrika ngomhla wama-21 kuCanzibe wama-2013 phantsi komxholo osihloko sithi","Furthermore, there will be an exhibition at the Ditsong Museum (City of Tshwane) to commemorate Africa Day on 21 May 2013 under the theme",0.8965664
"[ 0.36236972 -0.34889868 -0.41658914 ...  0.4108709   0.7607407
 -0.0672152 ]","[ 0.00065036  0.00297312 -0.00113675 ...  0.00580776  0.02196053
  0.01129928]",Iminyaka engama-50 emva kokusekwa koMbutho weManyano yaMazwe ase-Afrika,50 Years after forming the Organisation of African Union,0.8540943
"[ 0.6509609  -0.25237074 -0.21832897 ...  0.3427202   0.3798552
  0.3520939 ]","[ 0.01505962 -0.00094548  0.00044269 ...  0.01334332  0.03704685
  0.01912845]",i-Afrika mayimanyane okanye iTshabalale,Africa must unite or Perish .,0.7567196
