xh,en,src_text,trg_text,Cosine_Score
"[ 0.9350657  -0.00781715 -0.11431357 ...  0.2783163   0.45753944
  0.90221626]","[-1.3246041e-04  1.8291839e-03 -2.0094540e-05 ...  2.9652196e-03
  2.0951522e-03  5.2276361e-03]",Imiba engundaba-mlonyeni1.,Message1.,0.7567063
"[ 0.27939186 -0.32384765  0.36572582 ...  0.26553136  0.2631649
  0.13123633]","[ 0.00778594 -0.0007077   0.00053992 ...  0.00284386  0.00279296
  0.00283432]",Ezoqoqosho,Economy,0.9452652
"[ 0.8302336  -0.05137311  2.1336474  ...  1.0773765   0.9785789
  2.4365802 ]","[ 0.02138615 -0.00066679  0.08986804 ...  0.02222481  0.02980519
  0.0881729 ]","IKhabhinethi izamkele indaba ezincumisayo zakutsha nje ezimalunga namanyathelo esizwe okungenelela ngeenjongo zokukhwezela uhlumo loqoqosh Ngokweengxelo zakutsha nje zeZiko leeNkcukacha-manani zoMzantsi Afrika (i-StatsSA), inani labantu abangasebenziyo lehlile lisuka ku-3 kwikota yesine yowama-2021 laya kutsho ku-3 kwikota yokuqala yowama-2022.","Cabinet has welcomed the recent positive developments in the country s interventions aimed at stimulating economic growt According to the recent unemployment figures from Statistics South Africa, unemployment decreased from 3per cent in the fourth quarter of 2021 to 3per cent in the first quarter of 2022.",0.8908355
[0.49538752 0.13587905 3.1915364  ... 0.58312106 0.6196518  0.5368358 ],"[ 0.01850027  0.00357079  0.07298747 ...  0.00969446  0.0031778
 -0.00353225]","Inani labantu abangasebenziyo bebonke lehlile kwiikota ezimbini zilandelelan Amacandelo adale eyona misebenzi mininzi leleenkonzo zoluntu nentlalontle, elemizi-mveliso kunye nelorhweb","The expanded unemployment rate has declined for a second quarter in a ro The biggest job gains were in community and social services, manufacturing and trad",0.85054237
[0.83837867 0.00933044 1.4314096  ... 1.2073457  1.0142888  0.94492155],"[ 0.02378126 -0.0002072   0.05475863 ...  0.03004153  0.04440656
  0.00812829]","Imveliso yonyaka yelizwe (i-GDP) kwikota yokuqala yowama-2022 ikhule ngo- into leyo eyenze ukuba uqoqosho lweli lizwe lubuyele kwela nqanaba lalikulo phambi kwalo bhubhane siphuma kuy Kule kota, icandelo lemizi-mveliso lilo eliqhube kakuhle kakhulu nelithe landisa imveliso yepetroli neekhemikhali, ukutya neziselo, kunye nesinyithi kunye noomatshin","which takes the size of our economy to pre-pandemic level Over the quarter, the manufacturing sector was the economy s key performer with an increase in the production of petroleum and chemicals, food and beverages, and metals and machiner",0.8458321
"[ 1.0437917  -0.04945587  0.01086683 ...  1.0127313   0.63970894
  0.8587911 ]","[ 0.02180083 -0.00149683 -0.00043733 ...  0.01886317  0.00826327
  0.009247  ]",Lo mnconwana siwubonayo ubonakalisa ukuba uqoqosho lweli lizwe lusemi ngeenyawo kwaye amanyathelo okungenelela afana nesiCwangciso soKwakha Ngokutsha nokuVuselela uQoqosho (i-ERRP) ayaqalisa ukwenza umahluk IKhabhinethi ihlaba ikhwelo kuye wonke umntu ukuba axhase amashishini kunye nemizi-mveliso yalapha ekhaya ngokuthi athenge iimveliso kunye neenkonzo eziveliswe apha ekhay,These moderate gains show that our economy remains robust and that interventions such as the Economic Reconstruction and Recovery Plan are gaining momentu Cabinet calls on everyone to support local businesses and industries by buying local products and service,0.8739705
"[ 0.38973707 -0.06511419 -0.16590048 ...  1.1260502   1.1746349
  1.0447865 ]","[ 0.00888147 -0.00269977 -0.00050193 ...  0.02660366  0.04312323
  0.01877312]","IKhabhinethi isamkele isigqibo se-arhente ehlela isakhono sokukwazi ukubhatala izikweliti, u-S&P Global ngokuthi ayitshintshe indawo ebebeka kuyo uMzantsi Afrika ngokwesakhono sokukwazi ukubhatala izikweliti",Cabinet also welcomed the decision by the rating agency S&P Global to revise South Africa's credit rating outlook,0.81976867
"[ 0.69719845 -0.1882697  -0.08147863 ...  0.6291459   1.1560644
  0.9880743 ]","[ 0.03048041 -0.00334966  0.0005892  ...  0.01930729  0.02983944
  0.03654599]",isuke kwimeko ezinzileyo iye kwimeko encumisay U-S&P Global usibeke kwizinga ngokwesakhono sokubhatala amatyala exesha elide abalwe ngezimali zangaphandle waze wasibeka ku-BB minus naku-BB kweletyala elibalwe ngemali yalapha ekhaya,from stable to positiv Rating agency also affirmed the long-term foreign and local currency debt ratings at BB minus and BB respectivel,0.8413882
"[ 0.20045814 -0.39409223 -0.14951265 ... -0.09644376 -0.06515325
  0.55341214]","[ 0.00668259 -0.00304642 -0.00204783 ... -0.00464316 -0.00610534
  0.00280948]",Iindleko zokuphila,Cost of living,0.8926462
[0.857222   0.07462526 0.26599956 ... 0.7066985  0.90836006 1.1891106 ],[0.02545343 0.0128979  0.00553856 ... 0.01752177 0.02596714 0.03440845],"Ubhubhane weSifo seNtsholongwane ye-Corona (i-COVID-19) kunye nongquzulwano oluqhubayo kwihlabathi zenze iindleko zokuphila zenyuka kakhulu kwihlabathi liphel Abemi boMzantsi Afrika bathwaxwa ngamaxabiso okunyuka kwamafutha ezithuthi, ukutya kunye nezinye izinto ezisisisek","The Coronavirus Disease (COVID-19) pandemic and the ongoing global conflict have had a severe impact on the cost of living worldwid South Africans too are frustrated by rising prices of fuel, food and essential",0.89033186
